seqID	sampleID	mouse	percent_weight	CageID	Group	CageID_Assigned	BD	ExpStart	sex	Gavaged_fecal_material	Mb_input	FMT	Cdiff_infection	Cdiff_day_infected	ABX	clinda35	FMT_day	Harvest_pi	FMT_input	FMT_type	Model	Experiment	Mouse_genotype	Mouse_status	ExpDay	day	type	CFU	sampleType	simpsoneven	simpson	simpson_lci	simpson_hci	invsimpson	invsimpson_lci	invsimpson_hci	shannon	shannon_lci	shannon_hci	npshannon	sobs	chao	chao_lci	chao_hci	nseqs	group	NMDS.axis1	NMDS.axis2	NMDS.axis3	pcoa.axis1	pcoa.axis2	pcoa.axis3	GROUP	TYPE
c21_1839_1	d21_1839_1	1839_1	93.39622642	1839	NA	NA	6/12/2018	8/20/2018	F	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	1110000000	mouse	0.066891	0.120562	0.118053	0.123072	8.294462	8.125329	8.470785	2.66715	2.642852	2.691448	2.679337	124	145.368421	132.615934	176.995927	14347	hFMT	0.166949	0.071678	0.643929	0.133314	0.114259	0.020594	AMS005	cecal
c21_1839_2	d21_1839_2	1839_2	97.78761062	1839	NA	NA	6/12/2018	8/20/2018	F	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	350000000	mouse	0.059556	0.11269	0.110644	0.114736	8.87389	8.715626	9.038008	2.683412	2.665626	2.701199	2.697175	149	204.038462	176.695323	258.377035	22546	hFMT	0.16681000000000001	0.025592	0.625935	0.132572	0.165519	0.038346	AMS005	cecal
c21_1839_3	d21_1839_3	1839_3	97.64150943	1839	NA	NA	6/12/2018	8/20/2018	F	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	1600000000	mouse	0.071257	0.119947	0.117116	0.122777	8.337036	8.144828	8.538535	2.650354	2.625646	2.675062	2.666265	117	166.4	138.910067	228.380764	12547	hFMT	0.146125	0.018669	0.631273	0.148042	0.1731	0.03173	AMS005	cecal
c21_1840_1	d21_1840_1	1840_1	102.0905923	1840	NA	NA	6/13/2018	8/20/2018	M	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	0	mouse	0.051922	0.063147	0.061518	0.064776	15.83618	15.437926	16.255527	3.596986	3.573634	3.620338	3.619281	305	400.923077	360.343644	471.256431	19748	mFMT	-0.230519	0.519809	-0.392008	0.16979	-0.279835	0.241794	yWT	cecal
c21_1840_2	d21_1840_2	1840_2	104.6428571	1840	NA	NA	6/13/2018	8/20/2018	M	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	0	mouse	0.065371	0.055026	0.053131	0.056921	18.173196	17.568251	18.821288	3.753374	3.726295	3.780452	3.780706	278	379.527778	336.203933	455.099538	13754	mFMT	-0.172468	0.548379	-0.401516	0.148658	-0.27713	0.279355	yWT	cecal
c21_1840_3	d21_1840_3	1840_3	99.26199262	1840	NA	NA	6/13/2018	8/20/2018	M	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	0	mouse	0.099574	0.035114	0.03378	0.036449	28.47829	27.435397	29.603602	4.105383	4.080557	4.130209	4.130109	286	379.363636	338.295801	452.681999	13207	mFMT	0.215234	0.66622	0.058713	0.14192	-0.294218	0.33054	yWT	cecal
c21_1901_1	d21_1901_1	1901_1	94.02173913	1901	NA	NA	9/28/2018	11/26/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF10	BL6	SPF-Young	21	21	cecal	20000	mouse	0.068893	0.037702	0.036866	0.038537	26.523984	25.949063	27.124958	3.924648	3.903661	3.945635	3.954775	385	524.451613	474.117731	603.214176	20098	mFMT	0.377253	0.479555	0.096783	0.067251	-0.150223	0.307636	yWT	cecal
c21_1901_3	d21_1901_3	1901_3	91.40271493	1901	NA	NA	9/28/2018	11/26/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF10	BL6	SPF-Young	21	21	cecal	0	mouse	0.070003	0.035098	0.034284	0.035912	28.491286	27.845516	29.16772	4.018842	3.9974	4.040283	4.050865	407	550.227273	499.468844	628.848254	19531	mFMT	0.292973	0.537476	0.27642	0.122139	-0.144833	0.342864	yWT	cecal
c21_1901_4	d21_1901_4	1901_4	100.4273504	1901	NA	NA	9/28/2018	11/26/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF10	BL6	SPF-Young	21	21	cecal	20000	mouse	0.075769	0.037494	0.036588	0.038401	26.670671	26.041284	27.331234	3.914597	3.893132	3.936062	3.942257	352	437.344828	403.427778	493.630456	18483	mFMT	0.344021	0.572356	0.189596	0.093293	-0.184434	0.332033	yWT	cecal
cecal_1191_2	d42_1191_2	1191_2	NA	1191	NA	NA	8/21/15	10/5/15	F	NA	NA	mFMT1	CDI	0	cef	yes	11	d42	yWT	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.030932	0.163276	0.158635	0.167917	6.124605	5.95533	6.303784	2.847035	2.817364	2.876705	2.864174	198	222.375	209.120482	251.427595	16044	mFMT	-0.553562	0.202047	0.031551	0.395381	-0.199607	-0.241123	yWT	cecal
cecal_1191_3	d42_1191_3	1191_3	NA	1191	NA	NA	8/21/15	10/5/15	F	NA	NA	mFMT1	CDI	0	cef	yes	11	d42	yWT	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.041861	0.127746	0.124066	0.131426	7.828011	7.608826	8.060198	2.95873	2.927931	2.98953	2.975627	187	206.344828	195.279046	232.201146	13406	mFMT	-0.511179	0.250343	0.135326	0.361999	-0.135438	-0.152825	yWT	cecal
cecal_1192_1	d42_1192_1	1192_1	NA	1192	NA	NA	9/29/2015	11/2/2015	M	NA	NA	none	CDI	0	cef	yes	11	d42	none	noFMT	Rc	HF4	BL6	SPF-Young	42	42	cecal	40000000	mouse	0.16343	0.169968	0.167243	0.172692	5.883474	5.790659	5.979312	1.934237	1.922815	1.945658	1.940502	36	49	39.703423	81.633456	14464	noFMT	-0.311846	-0.488485	-0.456397	-0.080766	0.026235	0.093195	none	cecal
cecal_1192_3	d42_1192_3	1192_3	NA	1192	NA	NA	9/29/2015	11/2/2015	M	NA	NA	none	CDI	0	cef	yes	11	d42	none	noFMT	Rc	HF4	BL6	SPF-Young	42	42	cecal	261000000	mouse	0.211126	0.169161	0.166409	0.171914	5.911521	5.816869	6.009304	1.933192	1.92165	1.944734	1.938502	28	41.2	31.443297	78.60266	12915	noFMT	-0.314281	-0.450349	-0.491409	-0.080575	0.00363	0.093691	none	cecal
cecal_1268_1	d42_1268_1	1268_1	NA	1268	NA	NA	8/2/15	10/5/15	M	NA	NA	mFMT2	CDI	0	cef	yes	11	d42	yWT_spore	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.057825	0.08395	0.081711	0.086189	11.911869	11.602411	12.238287	3.15719	3.131671	3.182709	3.178058	206	242.263158	224.270215	277.975978	14800	mFMT_other	-0.074694	0.474712	0.452294	0.215957	-0.136208	0.092505	yWT_spore	cecal
cecal_1268_2	d42_1268_2	1268_2	NA	1268	NA	NA	8/2/15	10/5/15	M	NA	NA	mFMT2	CDI	0	cef	yes	11	d42	yWT_spore	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.0555	0.086625	0.084661	0.088589	11.544043	11.288096	11.811866	3.133809	3.110772	3.156845	3.149719	208	269.875	239.170732	330.824051	18616	mFMT_other	-0.033782	0.418277	0.483809	0.221442	-0.077503	0.100049	yWT_spore	cecal
cecal_1268_3	d42_1268_3	1268_3	NA	1268	NA	NA	8/2/15	10/5/15	M	NA	NA	mFMT2	CDI	0	cef	yes	11	d42	yWT_spore	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.074656	0.062013	0.060019	0.064007	16.125682	15.623337	16.661405	3.463422	3.43579	3.491055	3.487862	216	264.363636	240.904637	309.919913	11858	mFMT_other	0.024129	0.558317	0.444035	0.160975	-0.192328	0.155748	yWT_spore	cecal
cecal_1269_2	d42_1269_2	1269_2	NA	1269	NA	NA	8/3/15	10/5/15	M	NA	NA	mFMT3	CDI	0	cef	yes	11	d42	rWT	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.063481	0.059669	0.05786	0.061478	16.759024	16.265869	17.283018	3.562324	3.535249	3.589399	3.588897	264	316.976744	292.818826	361.385488	13497	mFMT_other	0.573555	0.473362	0.176751	0.034847	-0.16434000000000001	0.268987	rWT	cecal
cecal_1269_3	d42_1269_3	1269_3	NA	1269	NA	NA	8/3/15	10/5/15	M	NA	NA	mFMT3	CDI	0	cef	yes	11	d42	rWT	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.073632	0.054107	0.052427	0.055788	18.48173	17.92504	19.074106	3.688861	3.662612	3.715111	3.711966	251	326.677419	291.938265	390.895323	13842	mFMT_other	0.580873	0.474946	0.17035	0.036687	-0.156216	0.264944	rWT	cecal
cecal_1269_4	d42_1269_4	1269_4	NA	1269	NA	NA	8/3/15	10/5/15	M	NA	NA	mFMT3	CDI	0	cef	yes	11	d42	rWT	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.074837	0.049491	0.048061	0.05092	20.205891	19.638813	20.806692	3.683162	3.657374	3.708949	3.709522	270	353.823529	316.609105	420.751321	13614	mFMT_other	-0.030207	0.50592	-0.551391	0.042446	-0.136368	0.268567	rWT	cecal
cecal_1270_1	d42_1270_1	1270_1	NA	1270	NA	NA	8/9/15	10/5/15	F	NA	NA	mFMT2	CDI	0	cef	yes	11	d42	yWT_spore	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.062199	0.07548	0.073683	0.077278	13.248488	12.940312	13.571701	3.247224	3.222534	3.271914	3.265808	213	262.214286	237.699995	311.058559	15642	mFMT_other	-0.33916	0.542169	0.282841	0.229334	-0.238438	0.04619	yWT_spore	cecal
cecal_1270_2	d42_1270_2	1270_2	NA	1270	NA	NA	8/9/15	10/5/15	F	NA	NA	mFMT2	CDI	0	cef	yes	11	d42	yWT_spore	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.057284	0.084743	0.08258	0.086905	11.800429	11.506797	12.109439	3.188829	3.163203	3.214455	3.20733	206	248.5	227.119334	291.5259	15365	mFMT_other	-0.442813	0.377801	-0.341156	0.22926	-0.237978	0.038663	yWT_spore	cecal
cecal_1270_3	d42_1270_3	1270_3	NA	1270	NA	NA	8/9/15	10/5/15	F	NA	NA	mFMT2	CDI	0	cef	yes	11	d42	yWT_spore	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	1000	mouse	0.071435	0.076496	0.074281	0.078712	13.072542	12.70456	13.462477	3.277274	3.248449	3.3061	3.296697	183	211.888889	196.207897	246.187038	11551	mFMT_other	-0.356947	0.540168	0.261547	0.230299	-0.241296	0.045834	yWT_spore	cecal
cecal_1270_4	d42_1270_4	1270_4	NA	1270	NA	NA	8/9/15	10/5/15	F	NA	NA	mFMT2	CDI	0	cef	yes	11	d42	yWT_spore	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.064646	0.080989	0.078762	0.083215	12.347411	12.017069	12.696428	3.200047	3.170993	3.229101	3.221356	191	218.774194	203.917523	250.717782	11632	mFMT_other	-0.460958	0.384746	-0.294191	0.25292	-0.245795	0.020155	yWT_spore	cecal
cecal_1271_2	d42_1271_2	1271_2	NA	1271	NA	NA	8/14/15	10/5/15	F	NA	NA	mFMT3	CDI	0	cef	yes	11	d42	rWT	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.053237	0.075437	0.07315	0.077724	13.256113	12.86602	13.670601	3.348682	3.319905	3.377458	3.376261	249	307.184211	280.460796	356.607016	12822	mFMT_other	0.586258	0.43105	0.225359	0.036768	-0.130066	0.235888	rWT	cecal
cecal_1271_3	d42_1271_3	1271_3	NA	1271	NA	NA	8/14/15	10/5/15	F	NA	NA	mFMT3	CDI	0	cef	yes	11	d42	rWT	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.042074	0.09248	0.089301	0.095659	10.813098	10.453759	11.19802	3.281055	3.250173	3.311938	3.311832	257	338.428571	302.337241	403.250899	12599	mFMT_other	-0.197332	0.384459	-0.624837	0.03216	-0.13279	0.221429	rWT	cecal
cecal_1272_2	d42_1272_2	1272_2	NA	1272	NA	NA	8/10/15	10/5/15	F	NA	NA	mFMT4	CDI	0	cef	yes	11	d42	yRag	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.073275	0.066898	0.065198999999999993	0.068597	14.948093	14.577808	15.337678	3.300271	3.274785	3.325757	3.32137	204	292.5	248.983308	378.114587	13184	mFMT_other	-0.122145	0.476271	0.259712	0.299869	-0.173886	0.284703	yRag	cecal
cecal_1272_3_B	d42_1272_3	1272_3	NA	1272	NA	NA	8/10/15	10/5/15	F	NA	NA	mFMT4	CDI	0	cef	yes	11	d42	yRag	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.063666	0.073742	0.071844	0.07564	13.560801	13.220489	13.919095	3.240103	3.214171	3.266035	3.26069	213	238.8	225.078394	268.109975	13709	mFMT_other	-0.064791	0.475624	0.278546	0.275319	-0.147406	0.33763	yRag	cecal
cecal_1273_1	d42_1273_1	1273_1	NA	1273	NA	NA	8/14/15	10/5/15	M	NA	NA	mFMT4	CDI	0	cef	yes	11	d42	yRag	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.103159	0.049458	0.04833	0.050586	20.219177	19.768399	20.690993	3.511274	3.48745	3.535098	3.530877	196	223.5	209.088677	253.778948	12776	mFMT_other	-0.288783	0.394088	-0.310806	0.199672	-0.058119	0.22203	yRag	cecal
cecal_1275_1	d42_1275_1	1275_1	NA	1275	NA	NA	8/21/15	10/5/15	F	NA	NA	mFMT1	CDI	0	cef	yes	11	d42	yWT	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.075572	0.070762	0.068981	0.072542	14.131966	13.785034	14.496812	3.224041	3.19777	3.250312	3.243594	187	230.24	207.852414	276.663365	12304	mFMT	-0.131537	0.458833	-0.457869	0.095691	-0.063845	0.30406	yWT	cecal
cecal_1275_2	d42_1275_2	1275_2	NA	1275	NA	NA	8/21/15	10/5/15	F	NA	NA	mFMT1	CDI	0	cef	yes	11	d42	yWT	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.090723	0.055113	0.053676	0.05655	18.14467	17.683612	18.630414	3.491384	3.464701	3.518068	3.511301	200	220.676471	209.220254	246.367098	11770	mFMT	0.273469	0.522581	0.436492	0.076958	-0.149846	0.294115	yWT	cecal
cecal_1275_4	d42_1275_4	1275_4	NA	1275	NA	NA	8/21/15	10/5/15	F	NA	NA	mFMT1	CDI	0	cef	yes	11	d42	yWT	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.103555	0.043304	0.042269	0.044339	23.092788	22.553755	23.658217	3.73277	3.709534	3.756006	3.748809	223	248.625	234.80352	278.630913	14662	mFMT	0.282171	0.50527	0.453066	0.079977	-0.127708	0.295947	yWT	cecal
cecal_1291_2	d42_1291_2	1291_2	NA	1291	NA	NA	9/26/2015	11/2/2015	F	NA	NA	hFMT3	CDI	0	cef	yes	11	d42	R4_F	hFMT	Rc	HF4	BL6	SPF-Young	42	42	cecal	128000000	mouse	0.097933	0.152403	0.148668	0.156139	6.561543	6.40456	6.726415	2.413805	2.391873	2.435736	2.421736	67	79.75	71.138812	106.277575	13724	hFMT	-0.601185	0.101401	-0.225048	0.325719	-0.204655	-0.27826	R4_F	cecal
cecal_1291_3	d42_1291_3	1291_3	NA	1291	NA	NA	9/26/2015	11/2/2015	F	NA	NA	hFMT3	CDI	0	cef	yes	11	d42	R4_F	hFMT	Rc	HF4	BL6	SPF-Young	42	42	cecal	166000000	mouse	0.094591	0.16018	0.156181	0.164178	6.242992	6.090943	6.402826	2.38051	2.356821	2.404199	2.38713	66	90	73.120549	146.89264	12663	hFMT	-0.600227	0.095517	-0.218458	0.327915	-0.202732	-0.282896	R4_F	cecal
cecal_1292_1	d42_1292_1	1292_1	NA	1292	NA	NA	9/28/2015	11/2/2015	F	NA	NA	hFMT4	CDI	0	cef	yes	11	d42	D4_A	hFMT	Rc	HF4	BL6	SPF-Young	42	42	cecal	50000000	mouse	0.089009	0.089165	0.086981	0.09135	11.215103	10.946873	11.496809	2.947946	2.926199	2.969694	2.960001	126	150.166667	135.875136	185.141239	14561	hFMT	-0.197255	-0.046572	0.531679	0.283686	0.192849	-0.136079	D4_A	cecal
cecal_1292_2	d42_1292_2	1292_2	NA	1292	NA	NA	9/28/2015	11/2/2015	F	NA	NA	hFMT4	CDI	0	cef	yes	11	d42	D4_A	hFMT	Rc	HF4	BL6	SPF-Young	42	42	cecal	13000000	mouse	0.087936	0.088154	0.085568	0.09074	11.343767	11.02047	11.686605	3.022737	2.992281	3.053193	3.038868	129	137.26087	131.739053	153.91444	8865	hFMT	-0.297075	0.020669	0.509346	0.319697	0.094738	-0.208553	D4_A	cecal
cecal_1292_3	d42_1292_3	1292_3	NA	1292	NA	NA	9/28/2015	11/2/2015	F	NA	NA	hFMT4	CDI	0	cef	yes	11	d42	D4_A	hFMT	Rc	HF4	BL6	SPF-Young	42	42	cecal	25000000	mouse	0.075035	0.097279	0.094596	0.099961	10.279746	10.00388	10.571257	2.94182	2.914845	2.968794	2.958467	137	164.789474	148.790531	202.497887	11395	hFMT	-0.294723	0.03347	0.537732	0.295063	0.075737	-0.211727	D4_A	cecal
cecal_1292_4	d42_1292_4	1292_4	NA	1292	NA	NA	9/28/2015	11/2/2015	F	NA	NA	hFMT4	CDI	0	cef	yes	11	d42	D4_A	hFMT	Rc	HF4	BL6	SPF-Young	42	42	cecal	19000000	mouse	0.091211	0.080026	0.077513	0.082539	12.495968	12.115475	12.901136	3.075075	3.04608	3.10407	3.09731	137	163.25	148.537509	196.723681	8779	hFMT	-0.259466	0.012986	0.567362	0.273233	0.10365	-0.178121	D4_A	cecal
cecal_1293_1	d42_1293_1	1293_1	NA	1293	NA	NA	9/28/2015	11/2/2015	F	NA	NA	hFMT5	CDI	0	cef	yes	11	d42	D5_A	hFMT	Rc	HF4	BL6	SPF-Young	42	42	cecal	106000000	mouse	0.052844	0.233623	0.227398	0.239848	4.280398	4.169308	4.397571	2.234366	2.208714	2.2600189999999998	2.243146	81	115.5	93.417223	176.854767	15314	hFMT	-0.606542	0.087244	-0.079053	0.389507	-0.21982	-0.350677	D5_A	cecal
cecal_1293_2	d42_1293_2	1293_2	NA	1293	NA	NA	9/28/2015	11/2/2015	F	NA	NA	hFMT5	CDI	0	cef	yes	11	d42	D5_A	hFMT	Rc	HF4	BL6	SPF-Young	42	42	cecal	145000000	mouse	0.062409	0.210835	0.204695	0.216974	4.743055	4.608837	4.885325	2.361949	2.335889	2.388009	2.368344	76	87.666667	79.454231	115.404169	14460	hFMT	-0.599809	0.098622	-0.070421	0.391416	-0.223589	-0.34712	D5_A	cecal
cecal_1293_4	d42_1293_4	1293_4	NA	1293	NA	NA	9/28/2015	11/2/2015	F	NA	NA	hFMT5	CDI	0	cef	yes	11	d42	D5_A	hFMT	Rc	HF4	BL6	SPF-Young	42	42	cecal	133000000	mouse	0.064306	0.187356	0.182011	0.192702	5.337421	5.189358	5.494182	2.345642	2.31784	2.373444	2.357479	83	141.5	104.130066	244.961163	11442	hFMT	-0.614832	0.106548	-0.134852	0.366092	-0.219402	-0.323486	D5_A	cecal
cecal_1294_1	d42_1294_1	1294_1	NA	1294	NA	NA	9/29/2015	11/2/2015	F	NA	NA	none	CDI	0	cef	yes	11	d42	none	noFMT	Rc	HF4	BL6	SPF-Young	42	42	cecal	NA	mouse	0.192925	0.157071	0.153525	0.160617	6.366533	6.225976	6.513582	2.211059	2.189683	2.232436	2.216347	33	66	41.281529	164.497459	9919	noFMT	-0.295847	-0.612637	-0.209257	-0.028173	0.1075	0.164069	none	cecal
cecal_1294_2	d42_1294_2	1294_2	NA	1294	NA	NA	9/29/2015	11/2/2015	F	NA	NA	none	CDI	0	cef	yes	11	d42	none	noFMT	Rc	HF4	BL6	SPF-Young	42	42	cecal	135000000	mouse	0.139682	0.170455	0.16507	0.175841	5.866648	5.68697	6.058051	2.254711	2.229916	2.279506	2.262363	42	68.25	49.446642	134.533319	9004	noFMT	0.578766	-0.237576	0.31727	-0.041729	0.167803	0.165496	none	cecal
cecal_1294_3	d42_1294_3	1294_3	NA	1294	NA	NA	9/29/2015	11/2/2015	F	NA	NA	none	CDI	0	cef	yes	11	d42	none	noFMT	Rc	HF4	BL6	SPF-Young	42	42	cecal	201000000	mouse	0.160191	0.148632	0.145349	0.151916	6.728013	6.582595	6.880001	2.293283	2.274555	2.312011	2.299095	42	68.25	49.446642	134.533319	13121	noFMT	-0.273589	-0.61094	-0.205953	-0.039521	0.120176	0.163507	none	cecal
cecal_1295_4	d42_1294_4	1294_4	NA	1294	NA	NA	9/29/2015	11/2/2015	F	NA	NA	none	CDI	0	cef	yes	11	d42	none	noFMT	Rc	HF4	BL6	SPF-Young	42	42	cecal	136000000	mouse	0.054266	0.188037	0.182538	0.193535	5.318116	5.167019	5.478317	2.422433	2.393579	2.451287	2.434442	98	114.866667	104.14959	144.26072	11925	noFMT	-0.609407	0.113958	-0.120769	0.36817	-0.221811	-0.326023	none	cecal
cecal_1296_1	d42_1296_1	1296_1	NA	1296	NA	NA	9/29/2015	11/2/2015	M	NA	NA	hFMT4	CDI	0	cef	yes	11	d42	D4_A	hFMT	Rc	HF4	BL6	SPF-Young	42	42	cecal	19000000	mouse	0.074657	0.093018	0.090441	0.095596	10.750581	10.460708	11.056978	3.019574	2.990002	3.049146	3.038658	144	172.956522	156.855478	209.22357	10297	hFMT	-0.262013	-0.005624	0.52004	0.310139	0.133404	-0.186575	D4_A	cecal
