seqID	sampleID	mouse	percent_weight	CageID	Group	CageID_Assigned	BD	ExpStart	sex	Gavaged_fecal_material	Mb_input	FMT	Cdiff_infection	Cdiff_day_infected	ABX	clinda35	FMT_day	Harvest_pi	FMT_input	FMT_type	Model	Experiment	Mouse_genotype	Mouse_status	ExpDay	day	type	CFU	sampleType	simpsoneven	simpson	simpson_lci	simpson_hci	invsimpson	invsimpson_lci	invsimpson_hci	shannon	shannon_lci	shannon_hci	npshannon	sobs	chao	chao_lci	chao_hci	nseqs	DCA	HDCA_UDCA	CDCA	aMCA	bMCA	CA	HCA	wMCA	GLCA	GCDCA	GDCA	GHDCA	GUDCA	GCA	GHCA	TLCA	TCDCA	TDCA	THDCA_TUDCA	THCA	TaMCA_TbMCA	TCA	Acetate_nmol	Propionate_nmol	Butyrate_nmol	Isovalerate_nmol	Valerate_nmol	Hexanoate_nmol	Heptanoate_nmol	Octanoate_nmol	group
cecal_d21_1205_2	d21_1205_2	1205_2	107.2961373	1205	NA	NA	5/3/2015	6/11/2015	M	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF1	BL6	SPF-Young	21	21	cecal	100	mouse	0.094649	0.038986	0.038246	0.039726	25.650003	25.172221	26.146272	3.79438	3.775343	3.813418	3.809707	271	340.09375	308.156514	399.482084	21172	2.835141336	0	0	0.828602066	3.359680545	1.235542396	0.099246677	4.556487071	0	1.28209e-4	6.10902e-4	5.21534e-4	0	0.001033618	0	0.00201442	0.005896159	0.006779053	0.012655153	0	20.42826181	0.149365753	58.936034479999996	8.903062935	15.68345722	0.193996967	0.135470055	0.052268464	0.012544563	0.085015403	mFMT
cecal_d21_1205_4	d21_1205_4	1205_4	110.0436681	1205	NA	NA	5/3/2015	6/11/2015	M	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF1	BL6	SPF-Young	21	21	cecal	100	mouse	0.087809	0.040672	0.039867	0.041478	24.586655	24.10928	25.083317	3.816773	3.797301	3.836245	3.83182	280	371.285714	329.596303	448.018203	21935	1.354246781	0	0	0.113329017	0.309759867	0.077718315	0.004065067	1.829842144	0	6.56217e-5	3.39559e-4	9.56616e-5	0	2.05859e-5	0	0.001266485	0.001860364	0.003286612	0.001178595	0	0.277344693	0.009134255	87.03203635	10.26597941	24.21528577	0.143739263	0.793404532	0.034189826	0.0040546	0.08478131	mFMT
cecal_d21_1207_1	d21_1207_1	1207_1	110.4477612	1207	NA	NA	5/7/2015	6/11/2015	M	NA	NA	none	CDI	0	cef	no	11	d21	none	noFMT	Rc	HF1	BL6	SPF-Young	21	21	cecal	15400000	mouse	0.029472	0.292503	0.288632	0.296374	3.418768	3.374115	3.464618	1.717043	1.700472	1.733614	1.726605	116	146.272727	129.431817	184.228895	29449	0.373835947	0	0	0.917781738	4.555018244	1.945107602	0.022072699	0.283257584	0	5.75438e-5	0	1.55528e-5	5.88276e-5	3.47893e-4	0	7.07064e-4	8.66906e-4	0	0.003322574	0	3.009079005	0.069209388	17.3706316	3.082445783	2.369033468	0.19761563	0.07515918	0.022811754	0.004991609	0.051353044	noFMT
cecal_d21_1207_3	d21_1207_3	1207_3	102.7272727	1207	NA	NA	5/7/2015	6/11/2015	M	NA	NA	none	CDI	0	cef	no	11	d21	none	noFMT	Rc	HF1	BL6	SPF-Young	21	21	cecal	5900000	mouse	0.042351	0.227039	0.223979	0.230099	4.404529	4.345954	4.464705	1.994916	1.979117	2.010715	2.002988	104	143.055556	121.375515	191.786543	31068	0.020568165	0	0.02655716	0.175985325	1.839615846	0.852729798	0.012724584	0.363773187	0	4.77722e-5	0	1.46646e-4	0	4.43653e-4	0	1.06932e-4	0.00119398	0	0.001667173	0	0.658500099	0.379127958	35.97354722	5.752083024	4.76634038	0.330870903	0.088501259	0.038530165	0.006492156	0.088668344	noFMT
cecal_d21_1209_1	d21_1209_1	1209_1	105.2631579	1209	NA	NA	5/7/2015	6/11/2015	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF1	BL6	SPF-Young	21	21	cecal	13000	mouse	0.074641	0.044958	0.044063	0.045853	22.24296	21.808669	22.6949	3.695077	3.675921	3.714234	3.714875	298	365.038462	336.672114	414.211783	22363	4.493557487	0	0	1.935620531	4.524528129	0.758317849	0.120237007	11.62317091	0	1.03532e-4	0.002105315	2.21817e-4	0	7.1819e-4	0	0.007045152	0.01031303	0.035440699	0.012623699	0	5.484608022	0.045723828	30.33382342	4.203401945	7.191450763	0.081426542	0.258335919	0.019141907	0.001997397	0.036109027	mFMT
cecal_d21_1209_2	d21_1209_2	1209_2	99.4011976	1209	NA	NA	5/7/2015	6/11/2015	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF1	BL6	SPF-Young	21	21	cecal	100	mouse	0.078519	0.03871	0.037798	0.039623	25.832901	25.237866	26.456671	3.906008	3.885391	3.926624	3.927385	329	367.828125	350.306913	399.75747	20384	2.548175897	0	0	1.201026134	2.014249541	0.445499701	0.034949284	6.614871705	0	0	0.003127741	4.77052e-4	0	2.94782e-4	0	0.010242542	0.003792473	0.044581266	0.014153608	0	3.012765109	0.026396267	31.18917844	5.116508176	5.922181352	0.09869963	0.398723083	0.013203256	0.002171524	0.029118625	mFMT
cecal_d42_1216_1	d42_1216_1	1216_1	NA	1216	NA	NA	5/12/2015	6/29/2015	F	NA	NA	none	CDI	0	cef	no	11	d42	none	noFMT	Rc	HF2	BL6	SPF-Young	42	42	cecal	22000000	mouse	0.052869	0.25910300000000003	0.255801	0.262405	3.85947	3.810905	3.909289	1.682452	1.670795	1.69411	1.689816	73	100.789474	84.790531	138.497887	32668	0.036814618	0	0.06537874	0.07357387	0.503439796	0.550154621	0.009161345	0	NA	1.04779e-5	0	8.25203e-4	0	0	0	0.009624412	0.002720728	0.001270481	0.006437669	0	1.156999277	0.01174997	16.10320789	1.17637036	0.498966585	0.089875949	0.01558597	0.021000235	0.003070435	0.060142285	noFMT
cecal_d42_1216_2	d42_1216_2	1216_2	NA	1216	NA	NA	5/12/2015	6/29/2015	F	NA	NA	none	CDI	0	cef	no	11	d42	none	noFMT	Rc	HF2	BL6	SPF-Young	42	42	cecal	87000000	mouse	0.050872	0.333172	0.32976	0.336585	3.001448	2.971022	3.032505	1.415182	1.402451	1.427912	1.421819	59	125.428571	84.445048	232.422941	30104	0.012809588	0	0.125746671	0.09199604	0.518487256	0.884901987	0.005184498	0	0	6.0649e-5	0	2.4567e-4	0	4.05e-4	0	0.002564884	0.003243016	0	0.009308919	0	4.811052321	0.01059563	20.21918595	2.389252987	0.78520966	0.175514893	0.017863159	0.014347361	0.003114575	0.026235136	noFMT
cecal_d42_1217_2	d42_1217_2	1217_2	NA	1217	NA	NA	5/14/2015	6/29/2015	F	NA	NA	none	CDI	0	cef	no	11	d42	none	noFMT	Rc	HF2	BL6	SPF-Young	42	42	cecal	30000000	mouse	0.040541	0.357483	0.353579	0.361386	2.797339	2.767124	2.828221	1.306518	1.293851	1.319185	1.315713	69	93.473684	79.137642	128.082894	26316	0.007944103	0	0.062935981	0.084812689	0.830538014	0.700665286	0.009574844	0	0	1.06626e-4	0	1.6875e-5	0	4.22188e-4	0	0.00131117	0.002058379	0	0.001721716	0	1.133785328	0.015049495	6.013548589	1.042327741	1.209826497	0.034747783	0.077342559	0.013860711	0.002111016	0.025578507	noFMT
cecal_d42_1223_4	d42_1223_4	1223_4	NA	1223	NA	NA	5/22/2015	6/29/2015	F	NA	NA	hFMT1	CDI	0	cef	no	11	d42	D2_A	hFMT	Rc	HF2	BL6	SPF-Young	42	42	cecal	960000	mouse	0.063999	0.142048	0.13965	0.144446	7.039885	6.923022	7.160761	2.476479	2.456798	2.496161	2.483705	110	123.125	114.577281	147.63492	20389	0.961619456	0	0	0.236548808	1.52638136	0.202287914	0	0	0	1.27241e-4	4.84701e-5	2.04241e-4	0	6.39436e-5	0	9.65677e-4	0.001660273	0.001545244	0.001693792	0	1.040180276	0.0056093	19.16946862	5.474152624	0.907462835	0.242285468	0.123429725	0.055737401	0.017229563	0.067346347	hFMT
cecal_d42_1223_5	d42_1223_5	1223_5	NA	1223	NA	NA	5/22/2015	6/29/2015	F	NA	NA	hFMT1	CDI	0	cef	no	11	d42	D2_A	hFMT	Rc	HF2	BL6	SPF-Young	42	42	cecal	6000	mouse	0.062526	0.140292	0.138187	0.142397	7.128001	7.022641	7.236571	2.475931	2.457132	2.494731	2.484132	114	143	125.791561	185.322197	22403	0.732699947	0	0	0.201028848	1.27322705	0.069303618	0	0	0	2.57382e-5	7.6223e-5	1.36755e-4	0	8.59052e-5	0	0.001581807	0.00105299	0.001334084	0.001474824	0	0.849965351	0.004318449	19.16635208	5.387757307	0.879675802	0.260855852	0.025593697	0.02182224	0.003952561	0.043177711	hFMT
cecal_d42_1225_1	d42_1225_1	1225_1	NA	1225	NA	NA	5/22/2015	6/29/2015	M	NA	NA	hFMT1	CDI	0	cef	no	11	d42	D2_A	hFMT	Rc	HF2	BL6	SPF-Young	42	42	cecal	0	mouse	0.04518	0.210799	0.208123	0.213474	4.743866	4.684416	4.804844	2.06296	2.044062	2.081858	2.070853	105	147.272727	122.041562	209.860308	24383	0.404805165	0	0	0.20706479	1.319009944	0.054045784	0	0	0	7.59826e-5	0	3.2523e-4	0	1.88377e-4	0	8.88911e-4	0.001949653	9.93404e-4	0.001775787	0	1.04590429	0.0058592	15.29028318	3.735041142	0.532383703	0.106118261	0.01573562	0.011737235	0.002094499	0.026353359	hFMT
cecal_d42_1225_2	d42_1225_2	1225_2	NA	1225	NA	NA	5/22/2015	6/29/2015	M	NA	NA	hFMT1	CDI	0	cef	no	11	d42	D2_A	hFMT	Rc	HF2	BL6	SPF-Young	42	42	cecal	0	mouse	0.042104	0.187012	0.184557	0.189467	5.347247	5.277957	5.418381	2.232017	2.213218	2.250815	2.2415	127	181.666667	151.60075	248.477776	26303	0.530254581	0	0	0.279460108	1.508696884	0.036399343	0	0	0	3.40523e-5	0	6.35901e-5	0	2.33162e-5	0	7.32087e-4	6.19772e-4	6.0866e-4	5.38616e-4	0	0.264967103	0.002419701	32.01312907	7.501003251	1.284963469	0.297469699	0.047337651	0.028525959	0.006289717	0.068581149	hFMT
cecal_dn7_1510_1	NA	1	NA	1510	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BL6	SPF-Young	NA	-7	cecal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.057347607	0	0	0.317147507	1.115816717	0.167126491	0.009264243	1.923605456	0	8.01439e-5	1.8392e-4	1.1439e-5	0	3.02298e-5	0	0.004194311	0.006521942	0.006001452	0.007353824	0	3.787110438	0.035832224	381.573227	55.72588162	109.0208305	0.486212802	4.074725057	0.044088377	0.006261925	0.061275699	healthy
cecal_dn7_1510_2	NA	2	NA	1510	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BL6	SPF-Young	NA	-7	cecal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.891380755	0	0	0.194080677	0.530614	0.797119174	0.020942142	1.542957508	0	1.37598e-4	6.88946e-5	5.2765e-5	0	6.52564e-4	0	0.002730962	0.026627199	0.032870002	0.007102004	0	1.484998476	0.126335142	212.5877391	34.03044285	95.91140722	0.345301462	3.291306782	0.055254066	0.007432799	0.066500002	healthy
cecal_dn7_1510_3	NA	3	NA	1510	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BL6	SPF-Young	NA	-7	cecal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.586223178	0	0	1.083639502	1.957438137	0.928243395	0.075238393	3.590365411	0	3.72811e-5	3.59443e-4	1.48218e-4	0	8.0382e-5	0	0.005135119	0.01609273	0.029714857	0.013313979	0	11.20165999	0.590358818	136.2115366	19.08521715	48.48344977	0.186700428	1.879138345	0.047982093	0.012823578	0.058774019	healthy
cecal_d0_1512_1	NA	1	NA	1512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BL6	SPF-Young	NA	0	cecal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.008109275	0	0.015787756	0.003406877	0.002320464	0.083372485	0	0.00759719	0	3.79294e-5	0	3.63955e-5	0	1.09538e-4	0	0.001153854	0.007334197	5.61551e-4	0.012108541	0	13.05497405	0.588595062	6.71825473	0.07848405	0.067433144	0.006501222	0.011766563	0.018451019	0.005055796	0.04890991	preFMT
cecal_d0_1512_2	NA	2	NA	1512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BL6	SPF-Young	NA	0	cecal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.015960671	0	0.038087287	0.009039726	0.009662783	0.693986377	0	0.019042625	0	5.12985e-5	0	4.19954e-4	0	5.1101e-4	0	0.002827583	0.126206009	0	0.123306959	0	63.13575047	4.689625544	3.043785115	0.090299675	0.051092317	0.006693861	0.012522592	0.013570429	0.004112044	0.031920359	preFMT
cecal_d0_1512_3	NA	3	NA	1512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BL6	SPF-Young	NA	0	cecal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.004465243	0	0.012206989	0.003313957	0.001816464	0.157088401	0	0.004686739	0	2.24784e-5	0	1.75228e-4	0	1.06824e-4	0	5.00826e-4	0.034317087	0	0.036232535	0	17.01533739	1.336979309	4.809302186	0.03468167	0.040267888	0.002245859	0.003898595	0.00857683	0.002711778	0.02861713	preFMT
cecal_d1_1511_1	NA	1	NA	1511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BL6	SPF-Young	NA	1	cecal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.007714479	0	0.014359103	0.004800428	0.005044395	0.125685932	0	0.006752752	0	5.71491e-5	7.13487e-6	0	0	0	0	6.7318e-4	0.008707317	0	0.006280378	0	3.950459967	0.396217837	16.60218121	0.110829896	0.458845738	0.010386883	0.016624255	0.014050026	0.003868004	0.047735251	preFMT
cecal_d1_1511_2	NA	2	NA	1511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BL6	SPF-Young	NA	1	cecal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.010373567	0	0.022029397	0.00832047	0.018270996	0.213983878	0	0.014057681	0	3.99712e-5	0	2.81882e-5	2.85486e-6	0	0	5.24933e-4	0.024781999	0	0.026123958	0	26.21785246	1.948151683	6.968069973	0.121802508	0.225332125	0.012941705	0.021690331	0.013145143	0.003830197	0.036935172	preFMT
cecal_d1_1511_3	NA	3	NA	1511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BL6	SPF-Young	NA	1	cecal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002997428	0	0.004142978	8.7165e-4	0.001700081	0.032471463	0	0.002259922	0	1.59319e-5	0	9.47002e-6	0	3.34825e-5	0	9.94598e-5	0.00390387	0	0.004609227	0	4.507522884	0.301360667	13.39741123	0.092920201	0.341401043	0.022128059	0.018770596	0.012455526	0.003017626	0.032492644	preFMT
cecal_d4_975_1	NA	1	NA	975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BL6	SPF-Young	NA	4	cecal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.28955134	0	0	0.017553996	0.42967653	1.538691656	0	0.270822186	NA	2.61069e-4	3.81431e-4	8.43505e-5	0	0.002109591	0	0.001943338	0.351683143	0.030390345	0.277441139	0	101.2703837	6.991822002	6.877180682	0.141136876	1.035266732	0.014620793	0.022487159	0.017682758	0.004437899	0.052552788	preFMT
cecal_d4_907_1	NA	1	NA	907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BL6	SPF-Young	NA	4	cecal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.266647023	0	0	0.18281959	2.458327735	3.685330649	0	0.115976035	0	2.51459e-4	3.73403e-4	1.51413e-4	0	0.007560494	0	0.004052539	0.007300864	0.009836012	0.024720612	0	28.76720392	2.67347073	5.982543956	0.24932528	1.286422292	0.01605635	0.022264662	0.024012363	0.006131187	0.062101483	preFMT
cecal_d4_908_1	NA	1	NA	908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BL6	SPF-Young	NA	4	cecal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.043125143	0	0.090327371	0.136172195	2.812461932	3.346243029	0	1.448770985	0	5.66284e-5	0	5.17542e-5	0	0.001799203	0	8.14712e-4	0.006331277	3.21612e-4	0.004454249	0	8.226671026	0.056002884	16.82822673	0.295405801	4.259268953	0.023363393	0.060591524	0.025249525	0.005484831	0.060592084	preFMT
cecal_d9_907_4	NA	4	NA	907	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BL6	SPF-Young	NA	9	cecal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.010984325	0	0.00860482	0.001564379	0.006666529	0.285967535	0	0.001229771	0	4.72293e-5	0	4.60143e-6	0	2.48449e-4	0	3.79487e-4	0.044873352	0	0.035605302	0	27.41708178	1.718138406	8.634550421	0.953361212	0.118093562	0.009177405	0.019311534	0.022030769	0.006055454	0.06812671	preFMT
cecal_d9_908_3	NA	3	NA	908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BL6	SPF-Young	NA	9	cecal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.012819087	0	0.011296326	4.89073e-4	0.003080834	0.086609111	0	0.001178294	0	6.9751e-5	0	2.83916e-5	0	0	0	0	0.08462626	0	0.036590727	0	26.62520635	1.608274487	10.23340669	1.186157468	0.169997845	0.023023503	0.042250241	0.027639884	0.01019032	0.061897884	preFMT
cecal_d9_908_4	NA	4	NA	908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BL6	SPF-Young	NA	9	cecal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.007229051	0	0.008672211	6.30422e-4	0.003268608	0.075270077	0	6.36534e-4	0	4.36593e-5	0	4.22148e-5	0	1.45905e-4	0	0	0.039230898	0	0.018560464	0	10.91421949	0.742096381	7.558701089	0.903134695	0.20044428	0.025644999	0.051330822	0.026191082	0.009185979	0.042083643	preFMT
