plateID	compound	DataFilename	SampleName	SampleID	SampleType	Level	Ret.Time	Area	Height	ISTDArea	ISTDHeight	AreaRatio	HeightRatio	Conc.	Std.Conc.	Deviation	%Dev	Accuracy	QCCheckResults	Mark	PeakStart	PeakEnd	T.Plate#	HETP	meter	TailingF.	TailingF(10%)	Resolution	k'	SeparationF.	Area%	Height%	USPWidth	Width(5%)	Width(10%)	Width(50%)	RelativeRetentionTime	Statistic
p1	acetate	2018-06-22_013.lcd	GF2.PlateA	P1-A03	Unknown	NA	15.677	40854	1612	NA	NA	NA	NA	13.80249	NA	NA	NA	NA	NA	NA	14.808	17.233	10717.852	13.995	71452.35	1.014	1.030	3.340	1.397	1.294	1.4501	0.8376	0.606	0.996	0.777	0.349	1	*
p1	acetate	2018-06-22_014.lcd	GF2.PlateA	P1-A04	Unknown	NA	15.672	20978	856	NA	NA	NA	NA	7.08715	NA	NA	NA	NA	NA	NA	14.867	16.342	10594.298	14.159	70628.651	0.941	0.966	3.700	1.397	1.297	0.7224	0.4483	0.609	0.95	0.778	0.35	1	*
p1	acetate	2018-06-22_015.lcd	GF2.PlateA	P1-A05	Unknown	NA	15.675	20547	818	NA	NA	NA	NA	6.9418	NA	NA	NA	NA	NA	NA	14.942	17.008	10761.262	13.939	71741.746	1.008	1.023	2.106	1.398	1.14	0.763	0.4366	0.604	0.972	0.768	0.348	1	*
p1	acetate	2018-06-22_016.lcd	GF2.PlateA	P1-A06	Unknown	NA	15.673	13526	508	NA	NA	NA	NA	4.56981	NA	NA	NA	NA	NA	NA	14.917	16.358	9955.297	15.067	66368.645	0.876	0.856	4.059	1.396	1.293	0.477	0.2631	0.628	1.027	0.894	0.362	1	*
p1	acetate	2018-06-22_017.lcd	GF2.PlateA	P1-A07	Unknown	NA	15.676	18099	753	NA	NA	NA	NA	6.11478	NA	NA	NA	NA	NA	NA	14.8	16.475	11065.906	13.555	73772.705	0.988	1.038	2.737	1.398	1.303	0.6758	0.4082	0.596	0.928	0.739	0.345	1	*
p1	acetate	2018-06-22_018.lcd	GF2.PlateA	P1-A08	Unknown	NA	15.675	19674	778	NA	NA	NA	NA	6.64689	NA	NA	NA	NA	NA	NA	14.833	16.375	10548.75	14.22	70325.002	0.889	0.894	3.262	1.397	1.296	0.6678	0.4037	0.61	1.002	0.843	0.352	1	*
p1	acetate	2018-06-22_019.lcd	GF2.PlateA	P1-A09	Unknown	NA	15.676	36952	1373	NA	NA	NA	NA	12.4839	NA	NA	NA	NA	NA	NA	14.775	17.308	10236.126	14.654	68240.843	0.958	0.931	2.254	1.398	1.302	1.2952	0.7328	0.62	1.102	0.88	0.356	1	*
p1	acetate	2018-06-22_020.lcd	GF2.PlateA	P1-A10	Unknown	NA	15.656	3660	156	NA	NA	NA	NA	1.23657	NA	NA	NA	NA	NA	 V 	15.458	16.342	4655.855	32.217	31039.036	--	--	--	1.399	1.023	0.1193	0.0824	0.918	0	0	0	1	*
p1	acetate	2018-06-22_021.lcd	GF2.PlateA	P1-A11	Unknown	NA	15.674	4803	210	NA	NA	NA	NA	1.62252	NA	NA	NA	NA	NA	NA	15.092	16.267	11475.537	13.071	76503.579	1.015	1.040	4.711	1.799	1.364	0.1611	0.1073	0.585	0.832	0.702	0.339	1	*
p1	acetate	2018-06-22_022.lcd	GF2.PlateA	P1-A12	Unknown	NA	15.674	12444	530	NA	NA	NA	NA	4.20403	NA	NA	NA	NA	NA	NA	14.958	16.383	11247.442	13.336	74982.949	0.977	1.019	2.832	1.398	1.301	0.4408	0.2804	0.591	0.904	0.724	0.34	1	*
p1	acetate	2018-06-22_023.lcd	GF2.PlateA	P1-B01	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
p1	acetate	2018-06-22_024.lcd	GF2.PlateA	P1-B02	Unknown	NA	15.672	110389	4135	NA	NA	NA	NA	37.29423	NA	NA	NA	NA	Quant.Range(High)	T  	14.342	17.392	10350.315	14.492	69002.098	1.024	1.032	3.421	1.399	1.295	0	0	0.616	1.097	0.821	0.355	1	*
p1	acetate	2018-06-22_025.lcd	GF2.PlateA	P1-B03	Unknown	NA	15.672	42873	1686	NA	NA	NA	NA	14.48438	NA	NA	NA	NA	NA	S  	14.767	17.233	10610.196	14.137	70734.64	1.014	1.029	3.644	1.398	1.292	1.5432	0.8996	0.609	1	0.779	0.351	1	*
p1	acetate	2018-06-22_026.lcd	GF2.PlateA	P1-B04	Unknown	NA	15.671	12984	552	NA	NA	NA	NA	4.38666	NA	NA	NA	NA	NA	NA	14.942	16.35	11131.854	13.475	74212.361	0.969	1.021	3.227	1.398	1.297	0.4731	0.3002	0.594	0.902	0.725	0.342	1	*
p1	acetate	2018-06-22_027.lcd	GF2.PlateA	P1-B05	Unknown	NA	15.67	15466	560	NA	NA	NA	NA	5.22518	NA	NA	NA	NA	NA	NA	14.858	16.983	9826.475	15.265	65509.833	0.896	0.871	4.071	1.396	1.297	0.552	0.2944	0.632	1.069	0.912	0.365	1	*
p1	acetate	2018-06-22_028.lcd	GF2.PlateA	P1-B06	Unknown	NA	15.677	12897	540	NA	NA	NA	NA	4.35705	NA	NA	NA	NA	NA	NA	14.95	16.392	11056.179	13.567	73707.86	0.962	1.002	3.676	1.396	1.295	0.4792	0.286	0.596	0.922	0.747	0.345	1	*
p1	acetate	2018-06-22_029.lcd	GF2.PlateA	P1-B07	Unknown	NA	15.672	20198	851	NA	NA	NA	NA	6.82367	NA	NA	NA	NA	NA	NA	14.933	16.433	11064.99	13.556	73766.6	0.993	1.041	3.450	1.398	1.297	0.7846	0.4731	0.596	0.918	0.731	0.343	1	*
p1	acetate	2018-06-22_030.lcd	GF2.PlateA	P1-B08	Unknown	NA	15.67	18025	651	NA	NA	NA	NA	6.08964	NA	NA	NA	NA	NA	NA	14.842	16.917	9783.625	15.332	65224.167	0.890	0.866	4.636	1.793	1.363	0.6241	0.3435	0.634	1.077	0.92	0.366	1	*
p1	acetate	2018-06-22_031.lcd	GF2.PlateA	P1-B09	Unknown	NA	15.673	26886	1071	NA	NA	NA	NA	9.08343	NA	NA	NA	NA	NA	NA	14.792	17	10864.654	13.806	72431.027	0.992	1.027	2.317	1.731	1.273	0.926	0.5688	0.601	0.995	0.771	0.347	1	*
p1	acetate	2018-06-22_032.lcd	GF2.PlateA	P1-B10	Unknown	NA	15.666	4104	124	NA	NA	NA	NA	1.3866	NA	NA	NA	NA	NA	NA	14.967	16.275	1295.024	115.828	8633.496	0.843	0.822	1.690	1.398	1.299	0.1493	0.0657	1.741	1.052	0.948	0.584	1	*
p1	acetate	2018-06-22_033.lcd	GF2.PlateA	P1-B11	Unknown	NA	15.678	4739	205	NA	NA	NA	NA	1.60088	NA	NA	NA	NA	NA	NA	15.058	16.25	11315.575	13.256	75437.168	0.968	1.011	5.058	1.805	1.362	0.1607	0.1063	0.59	0.856	0.709	0.341	1	*
p1	acetate	2018-06-22_034.lcd	GF2.PlateA	P1-B12	Unknown	NA	15.676	11653	494	NA	NA	NA	NA	3.93693	NA	NA	NA	NA	NA	NA	14.933	16.358	11090.08	13.526	73933.864	0.969	1.016	4.673	1.397	1.416	0.4201	0.2643	0.595	0.904	0.731	0.342	1	*
p1	acetate	2018-06-22_035.lcd	GF2.PlateA	P1-C01	Unknown	NA	15.34	1725	67	NA	NA	NA	NA	0.58288	NA	NA	NA	NA	NA	NA	14.967	16.092	8891.228	16.871	59274.856	1.440	1.432	3.102	1.745	1.219	0.0525	0.0357	0.651	0.92	0.822	0.374	1	*
p1	acetate	2018-06-22_036.lcd	GF2.PlateA	P1-C02	Unknown	NA	15.68	5515	234	NA	NA	NA	NA	1.86322	NA	NA	NA	NA	NA	NA	15.05	16.383	11083.421	13.534	73889.475	0.973	1.008	4.218	1.792	1.364	0.1866	0.1226	0.596	0.9	0.723	0.344	1	*
p1	acetate	2018-06-22_037.lcd	GF2.PlateA	P1-C03	Unknown	NA	15.676	52286	2009	NA	NA	NA	NA	17.66458	NA	NA	NA	NA	NA	NA	14.775	17.317	10534.254	14.239	70228.358	1.018	1.015	--	1.399	1.18	0	0	0.611	1.056	0.806	0.351	1	*
p1	acetate	2018-06-22_038.lcd	GF2.PlateA	P1-C04	Unknown	NA	15.686	26107	1078	NA	NA	NA	NA	8.82013	NA	NA	NA	NA	NA	NA	14.908	16.65	11052.927	13.571	73686.177	0.980	1.016	3.061	1.395	1.299	0.9273	0.5634	0.597	0.956	0.755	0.344	1	*
p1	acetate	2018-06-22_039.lcd	GF2.PlateA	P1-C05	Unknown	NA	15.681	30136	1205	NA	NA	NA	NA	10.18141	NA	NA	NA	NA	NA	NA	14.9	17.242	11015.321	13.617	73435.474	1.016	1.038	3.282	1.399	1.294	1.1503	0.6748	0.598	0.989	0.765	0.344	1	*
p1	acetate	2018-06-22_040.lcd	GF2.PlateA	P1-C06	Unknown	NA	15.682	42515	1674	NA	NA	NA	NA	14.3635	NA	NA	NA	NA	NA	 V 	14.792	17.083	10809.635	13.877	72064.23	0.980	1.008	1.679	1.398	1.136	1.4816	0.8767	0.603	1.036	0.792	0.347	1	*
p1	acetate	2018-06-22_041.lcd	GF2.PlateA	P1-C07	Unknown	NA	15.679	13912	597	NA	NA	NA	NA	4.70004	NA	NA	NA	NA	NA	NA	14.95	16.342	11343.908	13.223	75626.053	0.959	1.005	4.639	1.398	1.415	0.4821	0.3181	0.589	0.892	0.721	0.339	1	*
p1	acetate	2018-06-22_042.lcd	GF2.PlateA	P1-C08	Unknown	NA	15.675	31371	1238	NA	NA	NA	NA	10.59849	NA	NA	NA	NA	NA	NA	14.833	17.058	10834.978	13.844	72233.184	1.006	1.024	0.867	1.398	1.318	1.0737	0.663	0.602	1.021	0.784	0.346	1	*
p1	acetate	2018-06-22_043.lcd	GF2.PlateA	P1-C09	Unknown	NA	15.677	34819	1380	NA	NA	NA	NA	11.76348	NA	NA	NA	NA	NA	NA	14.85	17.192	10906.181	13.754	72707.875	1.009	1.026	3.344	1.398	1.296	1.2751	0.7458	0.6	1.034	0.784	0.346	1	*
p1	acetate	2018-06-22_044.lcd	GF2.PlateA	P1-C10	Unknown	NA	15.674	5624	239	NA	NA	NA	NA	1.9002	NA	NA	NA	NA	NA	NA	15.058	16.308	11168.431	13.431	74456.207	0.933	0.946	4.456	1.398	1.415	0.1663	0.1174	0.593	0.888	0.749	0.342	1	*
p1	acetate	2018-06-22_045.lcd	GF2.PlateA	P1-C11	Unknown	NA	15.684	4967	215	NA	NA	NA	NA	1.67808	NA	NA	NA	NA	NA	NA	15.05	16.25	11519.273	13.022	76795.156	0.950	0.999	4.098	1.791	1.264	0.1629	0.11	0.585	0.868	0.714	0.337	1	*
p1	acetate	2018-06-22_046.lcd	GF2.PlateA	P1-C12	Unknown	NA	15.678	22686	920	NA	NA	NA	NA	7.66442	NA	NA	NA	NA	NA	NA	14.858	16.375	10866.26	13.804	72441.736	1.005	1.020	2.530	1.399	1.304	0.759	0.4922	0.602	1.011	0.779	0.346	1	*
p1	acetate	2018-06-22_047.lcd	GF2.PlateA	P1-D01	Unknown	NA	15.356	2534	99	NA	NA	NA	NA	0.85597	NA	NA	NA	NA	NA	NA	14.967	16.242	8688.973	17.263	57926.485	1.413	1.373	4.003	1.351	1.364	0	0	0.659	0.924	0.793	0.38	1	*
p1	acetate	2018-06-22_048.lcd	GF2.PlateA	P1-D02	Unknown	NA	15.672	6733	239	NA	NA	NA	NA	2.27467	NA	NA	NA	NA	NA	NA	14.925	16.342	8928.109	16.801	59520.725	0.876	0.857	4.266	1.789	1.363	0.2215	0.1244	0.663	1.05	0.916	0.384	1	*
p1	acetate	2018-06-22_049.lcd	GF2.PlateA	P1-D03	Unknown	NA	15.677	62304	2401	NA	NA	NA	NA	21.04914	NA	NA	NA	NA	Quant.Range(High)	NA	14.725	17.317	10683.638	14.04	71224.251	1.009	1.015	3.563	1.399	1.295	2.2839	1.2847	0.607	1.066	0.804	0.349	1	*
p1	acetate	2018-06-22_050.lcd	GF2.PlateA	P1-D04	Unknown	NA	15.677	21361	910	NA	NA	NA	NA	7.21667	NA	NA	NA	NA	NA	NA	14.908	16.35	11309.583	13.263	75397.22	0.955	1.007	3.063	1.398	1.292	0.8323	0.5055	0.59	0.904	0.728	0.34	1	*
p1	acetate	2018-06-22_051.lcd	GF2.PlateA	P1-D05	Unknown	NA	15.679	36673	1471	NA	NA	NA	NA	12.38965	NA	NA	NA	NA	NA	NA	14.85	17.1	10874.551	13.794	72497.005	0.985	1.016	3.113	1.397	1.296	1.2596	0.7577	0.601	0.996	0.774	0.346	1	*
p1	acetate	2018-06-22_052.lcd	GF2.PlateA	P1-D06	Unknown	NA	15.68	42927	1702	NA	NA	NA	NA	14.50277	NA	NA	NA	NA	NA	NA	14.85	17.142	10741.09	13.965	71607.264	0.993	1.017	2.257	1.398	1.303	1.5017	0.8976	0.605	1.015	0.785	0.348	1	*
p1	acetate	2018-06-22_053.lcd	GF2.PlateA	P1-D07	Unknown	NA	15.682	14657	622	NA	NA	NA	NA	4.95164	NA	NA	NA	NA	NA	NA	14.975	16.35	11190.379	13.404	74602.524	0.960	1.001	3.900	1.397	1.313	0.5114	0.3316	0.593	0.907	0.734	0.342	1	*
p1	acetate	2018-06-22_054.lcd	GF2.PlateA	P1-D08	Unknown	NA	15.681	26653	1033	NA	NA	NA	NA	9.00472	NA	NA	NA	NA	NA	NA	14.808	17.2	10522.631	14.255	70150.876	1.002	1.020	2.434	1.398	1.306	0.9008	0.5445	0.611	1.037	0.798	0.352	1	*
p1	acetate	2018-06-22_055.lcd	GF2.PlateA	P1-D09	Unknown	NA	15.681	30323	1199	NA	NA	NA	NA	10.24439	NA	NA	NA	NA	NA	NA	14.867	17.075	10563.059	14.2	70420.393	1.003	1.025	2.247	1.398	1.131	1.1006	0.6489	0.61	1.019	0.786	0.352	1	*
p1	acetate	2018-06-22_056.lcd	GF2.PlateA	P1-D10	Unknown	NA	15.674	3469	149	NA	NA	NA	NA	1.17192	NA	NA	NA	NA	NA	NA	15.133	16.217	10700.567	14.018	71337.115	0.941	0.966	4.475	1.397	1.414	0.104	0.0743	0.606	0.853	0.735	0.345	1	*
p1	acetate	2018-06-22_057.lcd	GF2.PlateA	P1-D11	Unknown	NA	15.685	5426	228	NA	NA	NA	NA	1.833	NA	NA	NA	NA	NA	NA	15	16.3	10877.68	13.79	72517.865	0.959	1.001	3.959	1.794	1.262	0.173	0.1174	0.602	0.9	0.731	0.349	1	*
p1	acetate	2018-06-22_058.lcd	GF2.PlateA	P1-D12	Unknown	NA	15.68	17099	699	NA	NA	NA	NA	5.77693	NA	NA	NA	NA	NA	NA	14.858	16.383	10578.596	14.18	70523.973	0.953	1.005	2.481	1.398	1.3	0.5824	0.3817	0.61	0.957	0.762	0.352	1	*
p1	acetate	2018-06-22_059.lcd	Water	BLANK	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	*
p1	acetate	2018-06-22_060.lcd	40 mM Mix	STD-0111	Unknown	NA	15.667	331823	11775	NA	NA	NA	NA	112.10482	NA	NA	NA	NA	Quant.Range(High)	 V 	14.933	17.167	9848.471	15.231	65656.473	--	--	2.141	1.5	1.162	1.6609	1.6165	0.631	0	0.903	0.363	1	*
p1	acetate	2018-06-22_061.lcd	20 mM Mix	STD-0112	Unknown	NA	15.676	157135	5854	NA	NA	NA	NA	53.08712	NA	NA	NA	NA	Quant.Range(High)	 V 	14.933	17.142	10093.858	14.861	67292.387	0.918	0.994	2.171	1.495	1.162	1.5697	1.5903	0.624	1.22	0.853	0.359	1	*
p1	acetate	2018-06-22_062.lcd	10 mM Mix	STD-0113	Unknown	NA	15.675	78676	2947	NA	NA	NA	NA	26.58029	NA	NA	NA	NA	Quant.Range(High)	 V 	14.933	17.125	10198.836	14.708	67992.243	0.923	0.993	2.183	1.552	1.16	1.5748	1.5957	0.621	1.202	0.847	0.358	1	*
p1	acetate	2018-06-22_063.lcd	5 mM Mix	STD-0114	Unknown	NA	15.672	39410	1502	NA	NA	NA	NA	13.31446	NA	NA	NA	NA	NA	 V 	14.917	16.883	10407.774	14.412	69385.159	0.918	0.989	2.203	1.237	1.179	1.5451	1.5799	0.614	1.167	0.834	0.354	1	*
p1	acetate	2018-06-22_064.lcd	2.5 mM Mix	STD-0115	Unknown	NA	15.675	19244	729	NA	NA	NA	NA	6.50159	NA	NA	NA	NA	NA	 V 	14.917	16.775	10237.521	14.652	68250.139	0.917	0.996	2.179	1.237	1.179	1.5453	1.5765	0.62	1.175	0.839	0.357	1	*
p1	acetate	2018-06-22_065.lcd	1 mM Mix	STD-0116	Unknown	NA	15.675	6707	273	NA	NA	NA	NA	2.26597	NA	NA	NA	NA	NA	 V 	14.842	16.383	10629.611	14.112	70864.07	0.960	1.009	2.243	1.237	1.178	1.4085	1.5563	0.608	0.965	0.764	0.35	1	*
p1	acetate	2018-06-22_066.lcd	0.5 mM Mix	STD-0117	Unknown	NA	15.681	3681	156	NA	NA	NA	NA	1.24372	NA	NA	NA	NA	NA	NA	15.133	16.442	10864.399	13.807	72429.325	1.076	1.082	2.342	1.236	1.178	1.305	1.4608	0.602	0.881	0.717	0.347	1	*
p1	acetate	2018-06-22_067.lcd	0.25 mM Mix	STD-0118	Unknown	NA	15.675	1596	74	NA	NA	NA	NA	0.53927	NA	NA	NA	NA	NA	NA	15.292	16.208	12007.962	12.492	80053.078	1.126	1.122	2.490	1.235	1.178	0.966	1.2406	0.572	0.735	0.639	0.333	1	*
p1	acetate	2018-06-22_068.lcd	0.1 mM Mix	STD-0119	Unknown	NA	15.686	494	25	NA	NA	NA	NA	0.16674	NA	NA	NA	NA	Quant.Range(Low)	NA	15.367	16.033	14389.418	10.424	95929.452	1.050	1.019	2.858	1.234	1.177	0.782	1.0892	0.523	0.594	0.533	0.325	1	*
p1	acetate	2018-06-22_069.lcd	GF2.PlateA	P1-E01	Unknown	NA	15.672	13047	542	NA	NA	NA	NA	4.4079	NA	NA	NA	NA	NA	NA	15	16.35	10550.256	14.218	70335.038	0.975	0.998	4.893	1.399	1.413	0.4529	0.292	0.61	0.907	0.755	0.352	1	*
p1	acetate	2018-06-22_070.lcd	GF2.PlateA	P1-E02	Unknown	NA	15.606	16322	781	NA	NA	NA	NA	5.51423	NA	NA	NA	NA	NA	 V 	15.55	17.042	98.506	1522.753	656.705	--	--	0.062	1.387	1.027	0.5616	0.413	6.29	0	0	0	1	*
p1	acetate	2018-06-22_071.lcd	GF2.PlateA	P1-E03	Unknown	NA	15.674	50741	1980	NA	NA	NA	NA	17.14265	NA	NA	NA	NA	NA	NA	14.775	17.1	10365.828	14.471	69105.519	1.012	1.039	3.878	1.399	1.296	1.8262	1.0711	0.616	1.039	0.796	0.354	1	*
p1	acetate	2018-06-22_072.lcd	GF2.PlateA	P1-E04	Unknown	NA	15.675	43761	1668	NA	NA	NA	NA	14.78435	NA	NA	NA	NA	NA	S  	14.808	17.425	10317.987	14.538	68786.579	1.021	1.040	3.453	1.398	1.296	1.6107	0.9208	0.617	1.049	0.802	0.356	1	*
p1	acetate	2018-06-22_073.lcd	GF2.PlateA	P1-E05	Unknown	NA	15.68	32507	1297	NA	NA	NA	NA	10.98231	NA	NA	NA	NA	NA	NA	14.9	17.075	10551.081	14.217	70340.539	0.992	1.025	1.964	1.397	1.138	1.1698	0.7008	0.611	0.975	0.77	0.352	1	*
p1	acetate	2018-06-22_074.lcd	GF2.PlateA	P1-E06	Unknown	NA	15.681	33839	1321	NA	NA	NA	NA	11.43249	NA	NA	NA	NA	NA	NA	14.867	17.15	10567.054	14.195	70447.025	0.998	1.017	2.584	1.4	1.302	1.2293	0.7357	0.61	1.017	0.787	0.352	1	*
p1	acetate	2018-06-22_075.lcd	GF2.PlateA	P1-E07	Unknown	NA	15.685	18768	774	NA	NA	NA	NA	6.34082	NA	NA	NA	NA	NA	NA	14.85	16.433	10815.793	13.869	72105.288	0.942	0.993	2.340	1.399	1.304	0.6561	0.4205	0.603	0.947	0.756	0.348	1	*
p1	acetate	2018-06-22_076.lcd	GF2.PlateA	P1-E08	Unknown	NA	15.685	29588	1138	NA	NA	NA	NA	9.99631	NA	NA	NA	NA	NA	NA	14.842	17.242	10492.346	14.296	69948.971	0.995	1.007	2.445	1.399	1.305	1.0156	0.6128	0.613	1.051	0.803	0.353	1	*
p1	acetate	2018-06-22_077.lcd	GF2.PlateA	P1-E09	Unknown	NA	15.688	39730	1548	NA	NA	NA	NA	13.42251	NA	NA	NA	NA	NA	NA	14.817	17.175	10500.766	14.285	70005.107	0.985	1.007	3.429	1.399	1.299	1.3855	0.8315	0.612	1.036	0.798	0.353	1	*
p1	acetate	2018-06-22_078.lcd	GF2.PlateA	P1-E10	Unknown	NA	15.685	2493	115	NA	NA	NA	NA	0.8424	NA	NA	NA	NA	NA	NA	15.258	16.183	11831.42	12.678	78876.131	1.050	1.055	3.851	1.398	1.322	0.0767	0.0584	0.577	0.751	0.645	0.334	1	*
p1	acetate	2018-06-22_079.lcd	GF2.PlateA	P1-E11	Unknown	NA	15.688	126387	4688	NA	NA	NA	NA	42.69924	NA	NA	NA	NA	Quant.Range(High)	NA	14.367	17.317	10230.138	14.663	68200.923	0.989	0.997	3.122	1.401	1.295	4.5691	2.5345	0.62	1.117	0.836	0.357	1	*
p1	acetate	2018-06-22_080.lcd	GF2.PlateA	P1-E12	Unknown	NA	15.68	15562	646	NA	NA	NA	NA	5.25744	NA	NA	NA	NA	NA	NA	14.992	16.342	10530.726	14.244	70204.843	0.950	0.979	3.605	1.398	1.3	0.5499	0.3594	0.611	0.905	0.747	0.352	1	*
p1	acetate	2018-06-22_081.lcd	GF2.PlateA	P1-F01	Unknown	NA	15.671	8101	266	NA	NA	NA	NA	2.73673	NA	NA	NA	NA	NA	NA	14.933	16.392	7024.677	21.353	46831.182	0.874	0.852	4.304	1.397	1.411	0.2802	0.1432	0.748	1.053	0.928	0.472	1	*
p1	acetate	2018-06-22_082.lcd	GF2.PlateA	P1-F02	Unknown	NA	15.689	7254	303	NA	NA	NA	NA	2.45063	NA	NA	NA	NA	NA	NA	14.992	16.333	10749.802	13.954	71665.346	0.934	0.966	1.734	1.398	1.302	0.2387	0.1605	0.605	0.913	0.751	0.348	1	*
p1	acetate	2018-06-22_083.lcd	GF2.PlateA	P1-F03	Unknown	NA	15.687	45455	1693	NA	NA	NA	NA	15.35688	NA	NA	NA	NA	NA	 V 	14.842	17.442	10229.129	14.664	68194.195	0.989	0.987	--	1.399	1.103	1.4862	0.8869	0.62	1.109	0.836	0.357	1	*
p1	acetate	2018-06-22_084.lcd	GF2.PlateA	P1-F04	Unknown	NA	15.685	32509	1327	NA	NA	NA	NA	10.98297	NA	NA	NA	NA	NA	NA	14.842	16.467	10658.493	14.073	71056.617	0.941	0.985	3.401	1.399	1.297	1.142	0.717	0.608	0.969	0.769	0.35	1	*
