compound	SampleID	PlCID	plateID	SampleName	SampleType	Ret.Time	Area	PeakStart	PeakEnd	STDID	minRT	maxRT	PeakQual	sampleID	DNA_Plate	concentration_mM	dilution	r2	slope	intercept	calc_conc	calc_conc_adj
acetate	P3-D05	p3_acetate	p3	GF2.PlateA	Unknown	15.621	10864	14.9	17.042	NA	15.602	15.661	OK	d11_1800_4	GF2.plateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.57503415101831	15.7503415101831
acetate	P2-C06	p2_acetate	p2	GF2.PlateA	Unknown	15.673	8836	14.933	16.617	NA	15.625	15.702	OK	d24_2956	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.33249707791941	13.3249707791941
acetate	P3-B02	p3_acetate	p3	GF2.PlateA	Unknown	15.633	17683	14.85	16.283	NA	15.602	15.661	OK	dn11_1802_1	GF2.plateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	2.39054712018076	23.9054712018076
acetate	P4-C03	p4_acetate	p4	GF2.PlateA	Unknown	15.57	36469	14.708	17.4	NA	15.563	15.639	OK	dn7_1802_3	GF2.plateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	4.63724409021826	46.3724409021826
acetate	P1-F08	p1_acetate	p1	GF2.PlateA	Unknown	15.69	43642	14.75	17.25	NA	15.657	15.689	OK	d26_4914	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	5.49509341237726	54.9509341237726
acetate	P4-G10	p4_acetate	p4	GF2.PlateA	Unknown	15.531	11212	14.733	16.725	NA	15.563	15.639	OK	d38_2949	GF2.PlateC	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.61665293870984	16.1665293870984
acetate	P1-G08	p1_acetate	p1	GF2.PlateA	Unknown	15.678	52068	14.7	17.258	NA	15.657	15.689	OK	d26_5964	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	6.50279428906926	65.0279428906926
acetate	P1-A05	p1_acetate	p1	GF2.PlateA	Unknown	15.675	20547	14.942	17.008	NA	15.657	15.689	OK	d21_3739	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	2.73306495911334	27.3306495911334
acetate	P1-C08	p1_acetate	p1	GF2.PlateA	Unknown	15.675	31371	14.833	17.058	NA	15.657	15.689	OK	d26_5969	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	4.02755276938087	40.2755276938087
acetate	P1-B02	p1_acetate	p1	GF2.PlateA	Unknown	15.672	110389	14.342	17.392	NA	15.657	15.689	OK	GF2_hMb1B_input	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	13.4776486481429	134.776486481429
acetate	P3-C10	p3_acetate	p3	GF2.PlateA	Unknown	15.544	19984	14.642	16.367	NA	15.602	15.661	Reject	dn11_1806_4	GF2.plateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	NA	NA
acetate	P3-A05	p3_acetate	p3	GF2.PlateA	Unknown	15.627	6485	14.858	16.217	NA	15.602	15.661	OK	d4_1604_4	GF2.plateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.05133107256658	10.5133107256658
acetate	P1-A06	p1_acetate	p1	GF2.PlateA	Unknown	15.673	13526	14.917	16.358	NA	15.657	15.689	OK	d22_2988	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.893393958015	18.93393958015
acetate	P1-G02	p1_acetate	p1	GF2.PlateA	Unknown	15.675	45077	14.725	17.217	NA	15.657	15.689	OK	d4_5957	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	5.66671111449606	56.6671111449606
acetate	P1-A07	p1_acetate	p1	GF2.PlateA	Unknown	15.676	18099	14.8	16.475	NA	15.657	15.689	OK	d24_4837	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	2.44029831466259	24.4029831466259
acetate	P2-A10	p2_acetate	p2	GF2.PlateA	Unknown	15.662	2805	15.033	16.3	NA	15.625	15.702	OK	d34_2904	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	0.611224352150421	6.11224352150421
acetate	P1-H06	p1_acetate	p1	GF2.PlateA	Unknown	15.678	25006	14.817	17.158	NA	15.657	15.689	OK	d24_5969	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	3.26633557496542	32.6633557496542
acetate	P4-F10	p4_acetate	p4	GF2.PlateA	Unknown	15.555	13061	14.867	16.85	NA	15.563	15.639	OK	d38_2933	GF2.PlateC	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.83778264687546	18.3778264687546
acetate	P1-A03	p1_acetate	p1	GF2.PlateA	Unknown	15.677	40854	14.808	17.233	NA	15.657	15.689	OK	d4_4914	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	5.16166473397502	51.6166473397501
acetate	P2-F07	p2_acetate	p2	GF2.PlateA	Unknown	15.609	2176	15.517	16.725	NA	15.625	15.702	OK	d25_3776	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	0.535999589340159	5.35999589340159
acetate	P1-A12	p1_acetate	p1	GF2.PlateA	Unknown	15.674	12444	14.958	16.383	NA	15.657	15.689	OK	d38_4914	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.76399301467525	17.6399301467525
acetate	P4-B05	p4_acetate	p4	GF2.PlateA	Unknown	15.577	26746	14.825	16.792	NA	15.563	15.639	OK	d18_3797	GF2.plateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	3.47442951342306	34.7442951342306
acetate	P1-C12	p1_acetate	p1	GF2.PlateA	Unknown	15.678	22686	14.858	16.375	NA	15.657	15.689	OK	d38_5964	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	2.98887699035523	29.8887699035523
acetate	P2-G06	p2_acetate	p2	GF2.PlateA	Unknown	15.65	22876	14.792	16.933	NA	15.625	15.702	OK	d25_2956	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	3.01159989168106	30.1159989168106
acetate	P1-B11	p1_acetate	p1	GF2.PlateA	Unknown	15.678	4739	15.058	16.25	NA	15.657	15.689	OK	d36_4837	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	0.842519568803915	8.42519568803915
acetate	P3-B04	p3_acetate	p3	GF2.PlateA	Unknown	15.642	15723	14.9	17.1	NA	15.602	15.661	OK	d18_3836	GF2.plateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	2.15614245387215	21.5614245387215
acetate	P4-E02	p4_acetate	p4	GF2.PlateA	Unknown	15.546	4501	14.9	16.683	NA	15.563	15.639	OK	d1_5964	GF2.PlateC	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	0.81405614503787	8.1405614503787
acetate	P2-D03	p2_acetate	p2	GF2.PlateA	Unknown	15.668	29577	14.775	17.142	NA	15.625	15.702	OK	cecal_d46_5969	GF2.PlateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	3.81300074317799	38.1300074317799
acetate	P2-A04	p2_acetate	p2	GF2.PlateA	Unknown	15.683	43603	14.808	17.092	NA	15.625	15.702	OK	cecal_d25_5925	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	5.49042923789459	54.9042923789459
acetate	P4-D04	p4_acetate	p4	GF2.PlateA	Unknown	15.575	8366	14.942	16.883	NA	15.563	15.639	OK	d11_1806_4	GF2.notExtracted	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.27628779569234	12.7628779569234
acetate	P1-E06	p1_acetate	p1	GF2.PlateA	Unknown	15.681	33839	14.867	17.15	NA	15.657	15.689	OK	d24_2935	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	4.32271129818171	43.2271129818171
acetate	P1-B10	p1_acetate	p1	GF2.PlateA	Unknown	15.666	4104	14.967	16.275	NA	15.657	15.689	OK	d34_3830	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	0.766577240688626	7.66577240688626
acetate	P1-H03	p1_acetate	p1	GF2.PlateA	Unknown	15.677	22245	14.842	16.583	NA	15.657	15.689	OK	d41_5964	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	2.93613594043579	29.3613594043579
acetate	P4-F08	p4_acetate	p4	GF2.PlateA	Unknown	15.558	45662	14.742	17.058	NA	15.563	15.639	OK	d29_3836	GF2.PlateC	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	5.73667373173613	57.3667373173613
acetate	P2-G09	p2_acetate	p2	GF2.PlateA	Unknown	15.636	3283	15.108	16.258	NA	15.625	15.702	OK	d34_5964	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	0.668390388117521	6.68390388117521
acetate	P2-H02	p2_acetate	p2	GF2.PlateA	Unknown	15.636	48806	14.65	17.317	NA	15.625	15.702	OK	d4_5942	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	6.11267795156994	61.1267795156994
acetate	P3-E03	p3_acetate	p3	GF2.PlateA	Unknown	15.62	57227	14.675	17.233	NA	15.602	15.661	OK	d4_2956	GF2.PlateC	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	7.11978085717442	71.1978085717442
acetate	P1-B03	p1_acetate	p1	GF2.PlateA	Unknown	15.672	42873	14.767	17.233	NA	15.657	15.689	OK	d4_4837	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	5.40312545911638	54.0312545911638
acetate	P1-E07	p1_acetate	p1	GF2.PlateA	Unknown	15.685	18768	14.85	16.433	NA	15.657	15.689	OK	d25_4914	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	2.52030684617302	25.2030684617302
acetate	P4-H06	p4_acetate	p4	GF2.PlateA	Unknown	15.58	21111	14.925	18	NA	15.563	15.639	OK	d26_3835	GF2.PlateC	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	2.80051609778581	28.0051609778581
acetate	P2-A07	p2_acetate	p2	GF2.PlateA	Unknown	15.681	25802	14.775	16.917	NA	15.625	15.702	OK	d25_2988	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	3.36153257209891	33.6153257209891
acetate	P2-G02	p2_acetate	p2	GF2.PlateA	Unknown	15.652	50160	14.758	17.358	NA	15.625	15.702	OK	d4_5925	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	6.27460852207088	62.7460852207088
acetate	P2-E02	p2_acetate	p2	GF2.PlateA	Unknown	15.646	9440	14.858	17.067	NA	15.625	15.702	OK	d1_2935	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.40473198529206	14.0473198529206
acetate	P4-H02	p4_acetate	p4	GF2.PlateA	Unknown	15.531	16849	15.083	16.167	NA	15.563	15.639	OK	d4_3827	GF2.PlateC	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	2.2908055427821	22.908055427821
acetate	P3-F01	p3_acetate	p3	GF2.PlateA	Unknown	15.323	1656	14.942	15.983	NA	15.602	15.661	Reject	d0_2949	GF2.PlateC	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	NA	NA
acetate	P4-B10	p4_acetate	p4	GF2.PlateA	Unknown	15.576	53791	14.592	17.45	NA	15.563	15.639	OK	d18_1800_3	GF2.plateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	6.70885512582933	67.0885512582933
acetate	P3-F07	p3_acetate	p3	GF2.PlateA	Unknown	15.631	43144	14.8	17.442	NA	15.602	15.661	OK	d29_3755	GF2.PlateC	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	5.43553549206007	54.3553549206007
acetate	P3-B09	p3_acetate	p3	GF2.PlateA	Unknown	15.641	18606	14.825	17.192	NA	15.602	15.661	OK	d11_1803_2	GF2.plateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	2.50093258293731	25.0093258293731
acetate	P1-G10	p1_acetate	p1	GF2.PlateA	Unknown	15.679	6532	15.058	16.308	NA	15.657	15.689	OK	d36_5969	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.05695200078929	10.5695200078929
acetate	P1-A10	p1_acetate	p1	GF2.PlateA	Unknown	15.656	3660	15.458	16.342	NA	15.657	15.689	OK	d34_3827	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	0.713477408116676	7.13477408116676
acetate	P3-E04	p3_acetate	p3	GF2.PlateA	Unknown	15.62	12326	14.9	16.975	NA	15.602	15.661	OK	d22_2949	GF2.PlateC	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.74988089700973	17.4988089700973
acetate	P3-D11	p3_acetate	p3	GF2.PlateA	Unknown	15.62	61797	14.725	17.292	NA	15.602	15.661	OK	d18_1802_2	GF2.plateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	7.66632643116949	76.6632643116949
acetate	P1-E11	p1_acetate	p1	GF2.PlateA	Unknown	15.688	126387	14.367	17.317	NA	15.657	15.689	OK	GF2_hFMT1A	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	15.3909169397781	153.909169397781
acetate	P1-E04	p1_acetate	p1	GF2.PlateA	Unknown	15.675	43761	14.808	17.425	NA	15.657	15.689	OK	d45_3836	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	5.50932512426028	55.0932512426028
acetate	P1-H08	p1_acetate	p1	GF2.PlateA	Unknown	15.681	22458	14.833	16.425	NA	15.657	15.689	OK	d26_5978	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	2.96160950876423	29.6160950876423
acetate	P2-B10	p2_acetate	p2	GF2.PlateA	Unknown	15.628	7893	14.875	16.508	NA	15.625	15.702	OK	d36_3827	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.21971973081277	12.1971973081277
acetate	P3-C08	p3_acetate	p3	GF2.PlateA	Unknown	15.628	29277	14.817	17.233	NA	15.602	15.661	OK	d18_2988	GF2.plateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	3.77712247792667	37.7712247792667
acetate	P4-E01	p4_acetate	p4	GF2.PlateA	Unknown	15.557	11881	14.833	16.775	NA	15.563	15.639	OK	d1_3836	GF2.PlateC	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.69666147022028	16.9666147022028
acetate	P4-C01	p4_acetate	p4	GF2.PlateA	Unknown	15.575	32888	14.717	16.367	NA	15.563	15.639	OK	dn7_1802_2	GF2.plateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	4.20897719733503	42.0897719733503
acetate	P2-F11	p2_acetate	p2	GF2.PlateA	Unknown	15.661	9574	14.983	16.958	NA	15.625	15.702	OK	d38_3765	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.42075761043765	14.2075761043765
acetate	P4-F06	p4_acetate	p4	GF2.PlateA	Unknown	15.561	20740	14.808	17.192	NA	15.563	15.639	OK	d24_2933	GF2.PlateC	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	2.75614664309168	27.5614664309168
acetate	P2-D11	p2_acetate	p2	GF2.PlateA	Unknown	15.674	8351	15.025	16.742	NA	15.625	15.702	OK	d38_2956	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.27449388242978	12.7449388242978
acetate	P1-B06	p1_acetate	p1	GF2.PlateA	Unknown	15.677	12897	14.95	16.392	NA	15.657	15.689	OK	d21_2935	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.81816919520474	18.1816919520474
acetate	P3-B05	p3_acetate	p3	GF2.PlateA	Unknown	15.644	45747	14.817	18.175	NA	15.602	15.661	OK	d18_2933	GF2.plateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	5.746839240224	57.46839240224
acetate	P3-C09	p3_acetate	p3	GF2.PlateA	Unknown	15.631	10710	14.917	17.117	NA	15.602	15.661	OK	dn11_1806_3	GF2.plateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.55661664152264	15.5661664152264
acetate	P3-A01	p3_acetate	p3	GF2.PlateA	Unknown	15.644	65066	14.95	16.692	NA	15.602	15.661	OK	HF8_fyFMT_preFiltrate	GF2.plateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	8.05727992819134	80.5727992819134
acetate	P2-H04	p2_acetate	p2	GF2.PlateA	Unknown	15.633	9885	14.917	16.35	NA	15.625	15.702	OK	d22_5969	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.45795141208151	14.5795141208151
acetate	P2-E08	p2_acetate	p2	GF2.PlateA	Unknown	15.668	43901	14.667	17.267	NA	15.625	15.702	OK	d29_3830	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	5.5260683147109	55.260683147109
acetate	P3-G02	p3_acetate	p3	GF2.PlateA	Unknown	15.608	9395	14.858	16.875	NA	15.602	15.661	OK	d1_3797	GF2.PlateC	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.39935024550436	13.9935024550436
acetate	P2-G01	p2_acetate	p2	GF2.PlateA	Unknown	15.644	8583	14.892	16.533	NA	15.625	15.702	OK	d1_3765	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.3022397408908	13.022397408908
acetate	P3-B06	p3_acetate	p3	GF2.PlateA	Unknown	15.64	30467	14.8	16.333	NA	15.602	15.661	OK	d4_1800_1	GF2.plateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	3.9194395967569	39.194395967569
acetate	P1-F03	p1_acetate	p1	GF2.PlateA	Unknown	15.687	45455	14.842	17.442	NA	15.657	15.689	OK	d4_3836	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	5.71191772871272	57.1191772871272
acetate	P3-A03	p3_acetate	p3	GF2.PlateA	Unknown	15.639	23605	14.817	16.375	NA	15.602	15.661	OK	d18_3827	GF2.plateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	3.09878407624177	30.9878407624177
acetate	P1-D03	p1_acetate	p1	GF2.PlateA	Unknown	15.677	62304	14.725	17.317	NA	15.657	15.689	OK	d4_5978	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	7.72696069944421	77.2696069944421
acetate	P4-B01	p4_acetate	p4	GF2.PlateA	Unknown	15.582	34791	14.742	17.475	NA	15.563	15.639	OK	d4_1802_1	GF2.plateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	4.43656499324589	44.3656499324589
acetate	P4-D01	p4_acetate	p4	GF2.PlateA	Unknown	15.575	67887	14.567	17.617	NA	15.563	15.639	OK	cecal_d21_1802_3	GF2.plateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	8.39465521577123	83.9465521577123
acetate	P1-H05	p1_acetate	p1	GF2.PlateA	Unknown	15.68	14171	14.883	16.542	NA	15.657	15.689	OK	d22_2966	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.97053222830534	19.7053222830534
acetate	P4-F02	p4_acetate	p4	GF2.PlateA	Unknown	15.557	9300	14.875	16.708	NA	15.563	15.639	OK	d1_2949	GF2.PlateC	NA	0.033	0.999374094488909	0.000119594217504392	0.275762572050603	1.38798879484144	42.0602665103468
acetate	P2-H07	p2_acetate	p2	GF2.PlateA	Unknown	15.636	20947	14.858	17.008	NA	15.625	15.702	OK	d26_2966	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	2.78090264611509	27.8090264611509
acetate	P2-A11	p2_acetate	p2	GF2.PlateA	Unknown	15.681	34066	14.833	17.092	NA	15.625	15.702	OK	GF2_hFMT2A	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	4.34985918555521	43.498591855552
acetate	P3-D09	p3_acetate	p3	GF2.PlateA	Unknown	15.62	9898	14.95	16.2	NA	15.602	15.661	OK	d13_1802_3	GF2.plateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	1.45950613690907	14.5950613690907
acetate	P1-D05	p1_acetate	p1	GF2.PlateA	Unknown	15.679	36673	14.85	17.1	NA	15.657	15.689	OK	d22_5942	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	4.66164131058915	46.6164131058915
acetate	P1-A01	p1_acetate	p1	GF2.PlateA	Unknown	15.341	2623	14.958	16.15	NA	15.657	15.689	Reject	d0_5957	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	NA	NA
acetate	P1-B05	p1_acetate	p1	GF2.PlateA	Unknown	15.67	15466	14.858	16.983	NA	15.657	15.689	OK	d22_3765	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	2.12540673997352	21.2540673997352
acetate	P2-A03	p2_acetate	p2	GF2.PlateA	Unknown	15.686	53351	14.8	17.15	NA	15.625	15.702	OK	d4_2935	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	6.6562336701274	66.562336701274
acetate	P2-A09	p2_acetate	p2	GF2.PlateA	Unknown	15.685	43759	14.742	17.233	NA	15.625	15.702	OK	d29_3765	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	5.50908593582527	55.0908593582527
acetate	P4-E07	p4_acetate	p4	GF2.PlateA	Unknown	15.555	23581	14.733	18.008	NA	15.563	15.639	OK	d24_3797	GF2.PlateC	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	3.09591381502166	30.9591381502166
acetate	P2-E05	p2_acetate	p2	GF2.PlateA	Unknown	15.665	22851	14.825	16.925	NA	15.625	15.702	OK	d22_3827	GF2.PlateB	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	3.00861003624345	30.0861003624345
acetate	P1-E03	p1_acetate	p1	GF2.PlateA	Unknown	15.674	50741	14.775	17.1	NA	15.657	15.689	OK	d4_3776	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	6.34409276244093	63.4409276244093
acetate	P3-C07	p3_acetate	p3	GF2.PlateA	Unknown	15.623	40961	14.75	16.958	NA	15.602	15.661	OK	d18_3765	GF2.plateD	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	5.17446131524799	51.7446131524799
acetate	P1-C03	p1_acetate	p1	GF2.PlateA	Unknown	15.676	52286	14.775	17.317	NA	15.657	15.689	OK	d4_5964	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	6.52886582848522	65.2886582848522
acetate	P1-G04	p1_acetate	p1	GF2.PlateA	Unknown	15.677	18386	14.883	16.542	NA	15.657	15.689	OK	d21_5925	GF2.PlateA	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	2.47462185508635	24.7462185508635
acetate	P3-H12	p3_acetate	p3	GF2.PlateA	Unknown	15.617	45878	14.783	17.467	NA	15.602	15.661	OK	d45_2933	GF2.PlateC	NA	0.1	0.999374094488909	0.000119594217504392	0.275762572050603	5.76250608271708	57.6250608271708
