rc	wellkey	PlCID	plateID	compound	SampleName	SampleID	Ret.Time	Area	PeakStart	PeakEnd	DataFileOrigin	SampleType	Exp	minRT	maxRT	PeakQual	sampleID	DNA_Plate	concentration_mM	dilution	intercept	slope	Rsq	calc_conc	calc_conc_adj
HF10.PlateA_acetate	HF10-PlateA-G06	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-G06	15.648	2041	15.267	16.35	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d25_5219	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0.193866911	1.938669108
HF10.PlateA_acetate	HF10-PlateA-F03	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-F03	15.682	9519	15.117	16.275	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	dn7_1905_2	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	1.427055906	14.27055906
HF10.PlateA_acetate	HF10-PlateA-H03	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-H03	15.613	4639	14.908	16.108	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d0_1905_1	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0.622300317	6.223003169
HF10.PlateA_acetate	HF10-PlateA-A06	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-A06	15.754	6	15.633	15.833	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d0_1902_1	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0	0
HF10.PlateA_acetate	HF10-PlateA-E07	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-E07	15.636	4652	15.15	16.083	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d4_1903_1	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0.624444133	6.24444133
HF10.PlateA_acetate	HF10-PlateA-C07	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-C07	15.691	9775	15.025	17.133	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d18_448	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	1.469272593	14.69272593
HF10.PlateA_acetate	HF10-PlateA-B03	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-B03	15.701	15803	14.8	16.692	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d18_5215	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	2.463343637	24.63343637
HF10.PlateA_acetate	HF10-PlateA-E08	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-E08	15.67	1868	15.45	16.008	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d4_1903_2	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0.165337666	1.653376655
HF10.PlateA_acetate	HF10-PlateA-G08	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-G08	15.63	1129	15.308	16.025	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d25_449	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0.043469965	0.434699646
HF10.PlateA_acetate	HF10-PlateA-C08	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-C08	15.689	33757	14.875	16.608	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d18_5220	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	5.424118607	54.24118607
HF10.PlateA_acetate	HF10-PlateA-H05	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-H05	15.644	8780	14.942	16.683	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	dn7_1905_3	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	1.305188205	13.05188205
HF10.PlateA_acetate	HF10-PlateA-G09	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-G09	15.624	6310	15.017	16.275	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d4_1904_1	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0.897863143	8.978631427
HF10.PlateA_acetate	HF10-PlateA-E09	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-E09	15.66	3315	15.358	16.1	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d1_1901_1	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0.403960891	4.039608905
HF10.PlateA_acetate	HF10-PlateA-A09	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-A09	15.699	7259	14.942	16.55	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	dn7_1902_1	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	1.054361719	10.54361719
HF10.PlateA_acetate	HF10-PlateA-G10	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-G10	15.599	2064	15.192	16.508	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d4_1904_2	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0.197659816	1.976598163
HF10.PlateA_acetate	HF10-PlateA-E10	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-E10	15.65	11592	14.817	16.4	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d1_1901_3	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	1.768912123	17.68912123
HF10.PlateA_acetate	HF10-PlateA-C02	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-C02	15.683	10727	14.958	16.433	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d1_1905_3	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	1.626265897	16.26265897
HF10.PlateA_acetate	HF10-PlateA-B06	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-B06	15.695	9188	15.075	16.475	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d18_449	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	1.37247105	13.7247105
HF10.PlateA_acetate	HF10-PlateA-E11	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-E11	15.658	7463	14.992	16.35	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d1_1901_2	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	1.088003142	10.88003142
HF10.PlateA_acetate	HF10-PlateA-G12	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-G12	15.6	1040	15.308	16.05	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d0_1905_2	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0.02879307	0.287930696
HF10.PlateA_acetate	HF10-PlateA-F08	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-F08	15.68	23445	14.95	17.1	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d21_5510	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	3.723577697	37.23577697
HF10.PlateA_acetate	HF10-PlateA-E12	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-E12	15.655	5965	15.267	16.175	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d1_1901_4	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0.840969561	8.409695611
HF10.PlateA_acetate	HF10-PlateA-C12	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-C12	15.684	34146	14.75	16.908	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d22_429	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	5.488268182	54.88268182
HF10.PlateA_acetate	HF10-PlateA-A12	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-A12	15.697	18420	14.867	16.75	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	dn7_1904_1	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	2.894910313	28.94910313
HF10.PlateA_acetate	HF10-PlateA-F01	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-F01	15.677	2051	15.308	16.158	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d0_1906_3	HF10.PlateA	NA	0.036	-0.14271222	0.000164909	0.994722828	0.195516	5.431000004
HF10.PlateA_acetate	HF10-PlateA-H01	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-H01	15.613	6715	15.142	16.308	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d1_1907_2	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0.96465126	9.646512603
HF10.PlateA_acetate	HF10-PlateA-D01	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-D01	15.683	20565	14.833	16.95	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	dn7_1904_2	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	3.248639972	32.48639972
HF10.PlateA_acetate	HF10-PlateA-F04	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-F04	15.68	12032	15.025	16.75	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d21_5220	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	1.841472053	18.41472053
HF10.PlateA_acetate	HF10-PlateA-H02	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-H02	15.631	5494	15.208	16.225	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d1_1907_3	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0.763297454	7.63297454
HF10.PlateA_acetate	HF10-PlateA-F02	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-F02	15.672	7006	15.1	16.6	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	dn7_1905_1	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	1.01263976	10.1263976
HF10.PlateA_acetate	HF10-PlateA-B01	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-B01	15.698	11580	15.05	16.65	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d18_5505	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	1.766933216	17.66933216
HF10.PlateA_acetate	HF10-PlateA-C06	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-C06	15.686	8840	15.008	16.433	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d18_429	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	1.315082741	13.15082741
HF10.PlateA_acetate	HF10-PlateA-B10	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-B10	15.689	8156	15.067	16.3	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d4_1906_1	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	1.202285032	12.02285032
HF10.PlateA_acetate	HF10-PlateA-B02	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-B02	15.697	11185	15.075	16.683	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d18_5218	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	1.701794188	17.01794188
HF10.PlateA_acetate	HF10-PlateA-H04	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-H04	15.606	4000	15.217	16.25	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d0_1906_1	HF10.PlateA	NA	0.196	-0.14271222	0.000164909	0.994722828	0.516923509	2.637364843
HF10.PlateA_acetate	HF10-PlateA-D11	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-D11	15.661	648	15.408	15.967	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d0_1907_2	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0	0
HF10.PlateA_acetate	HF10-PlateA-G02	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-G02	15.656	24532	14.908	16.85	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d23_5505	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	3.902833707	39.02833707
HF10.PlateA_acetate	HF10-PlateA-D04	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-D04	15.687	8380	15.025	16.783	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d18_5522	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	1.239224633	12.39224633
HF10.PlateA_acetate	HF10-PlateA-F05	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-F05	15.66	11716	15.167	16.483	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d21_448	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	1.789360831	17.89360831
HF10.PlateA_acetate	HF10-PlateA-B04	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-B04	15.697	10574	15.117	16.6	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d18_5219	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	1.60103483	16.0103483
HF10.PlateA_acetate	HF10-PlateA-G01	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-G01	15.656	34703	14.817	16.767	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d22_5220	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	5.580122457	55.80122457
HF10.PlateA_acetate	HF10-PlateA-D05	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-D05	15.685	9531	15.042	16.367	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d18_5513	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	1.429034814	14.29034814
HF10.PlateA_acetate	HF10-PlateA-H06	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-H06	15.645	15726	14.825	16.417	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	dn7_1907_1	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	2.450645649	24.50645649
HF10.PlateA_acetate	HF10-PlateA-F06	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-F06	15.682	17052	14.942	17.017	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d21_429	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	2.669314893	26.69314893
HF10.PlateA_acetate	HF10-PlateA-C01	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-C01	15.685	12686	14.925	16.4	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d1_1905_2	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	1.949322495	19.49322495
HF10.PlateA_acetate	HF10-PlateA-A01	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-A01	15.686	3525	15.367	16.017	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d4_1901_1	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0.438591766	4.385917663
HF10.PlateA_acetate	HF10-PlateA-F09	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-F09	15.658	17724	14.875	17.017	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d21_5522	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	2.780133696	27.80133696
HF10.PlateA_acetate	HF10-PlateA-E02	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-E02	15.684	21705	14.808	16.933	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d21_5219	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	3.436636155	34.36636155
HF10.PlateA_acetate	HF10-PlateA-C10	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-C10	15.688	29287	14.967	16.7	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d22_5505	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	4.68697568	46.8697568
HF10.PlateA_acetate	HF10-PlateA-H07	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-H07	15.645	14992	14.775	17.308	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	dn7_1907_2	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	2.329602493	23.29602493
HF10.PlateA_acetate	HF10-PlateA-G03	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-G03	15.654	10343	14.975	16.55	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d24_429	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	1.562940867	15.62940867
HF10.PlateA_acetate	HF10-PlateA-F07	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-F07	15.66	21899	15.025	16.733	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d21_5204	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	3.468628488	34.68628488
HF10.PlateA_acetate	HF10-PlateA-H08	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-H08	15.642	28882	14.833	16.942	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d26_5220	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	4.620187562	46.20187562
HF10.PlateA_acetate	HF10-PlateA-B07	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-B07	15.694	8303	15.033	16.583	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d18_5517	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	1.226526645	12.26526645
HF10.PlateA_acetate	HF10-PlateA-B08	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-B08	15.694	18598	14.917	16.883	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d21_5218	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	2.924264103	29.24264103
HF10.PlateA_acetate	HF10-PlateA-H09	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-H09	15.641	22482	14.9	16.9	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d27_5505	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	3.564770395	35.64770395
HF10.PlateA_acetate	HF10-PlateA-D06	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-D06	15.684	9505	14.975	16.383	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d18_5520	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	1.424747181	14.24747181
HF10.PlateA_acetate	HF10-PlateA-F12	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-F12	15.652	1619	15.392	16.058	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d0_1906_2	HF10.PlateA	NA	0.124	-0.14271222	0.000164909	0.994722828	0.124275341	1.002220495
HF10.PlateA_acetate	HF10-PlateA-G11	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-G11	15.605	4829	14.917	16.283	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d1_1907_1	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0.653633014	6.53633014
HF10.PlateA_acetate	HF10-PlateA-F10	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-F10	15.673	19144	14.983	16.883	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d21_5512	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	3.01430438	30.1430438
HF10.PlateA_acetate	HF10-PlateA-H10	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-H10	15.639	18401	14.875	16.917	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d27_5218	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	2.891777043	28.91777043
HF10.PlateA_acetate	HF10-PlateA-D10	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-D10	15.634	263	15.408	15.867	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d0_1907_1	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0	0
HF10.PlateA_acetate	HF10-PlateA-C09	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-C09	15.686	3805	15.192	16.275	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d18_5204	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0.484766267	4.847662674
HF10.PlateA_acetate	HF10-PlateA-C11	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-C11	15.684	34103	14.842	16.742	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d22_5218	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	5.481177097	54.81177097
HF10.PlateA_acetate	HF10-PlateA-E01	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-E01	15.687	20781	14.925	17.042	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d21_5215	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	3.284260302	32.84260302
HF10.PlateA_acetate	HF10-PlateA-A04	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-A04	15.699	2333	15.4	16.05	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d1_1903_1	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0.242020319	2.420203191
HF10.PlateA_acetate	HF10-PlateA-F11	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-F11	15.667	24594	14.825	16.917	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d21_5520	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	3.91305806	39.1305806
HF10.PlateA_acetate	HF10-PlateA-B11	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-B11	15.691	11250	14.983	16.417	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d4_1906_2	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	1.712513268	17.12513268
HF10.PlateA_acetate	HF10-PlateA-G07	HF10.PlateA_acetate	PlateA	acetate	HF10.PlateA	P1-G07	15.637	2060	15.217	16.333	HF10.PlateA_acetate.txt	unknown	HF10.PlateA	15.597	15.729	OK	d25_427	HF10.PlateA	NA	0.1	-0.14271222	0.000164909	0.994722828	0.197000181	1.970001805
