compound	DataFilename	SampleName	SampleID	SampleType	Level	Ret.Time	Area	Height	ISTDArea	ISTDHeight	AreaRatio	HeightRatio	Conc.	Std.Conc.	Deviation	%Dev	Accuracy	QCCheckResults	Mark	PeakStart	PeakEnd	T.Plate#	HETP	meter	TailingF.	TailingF(10%)	Resolution	k'	SeparationF.	Area%	Height%	USPWidth	Width(5%)	Width(10%)	Width(50%)	RelativeRetentionTime	Statistic
acetate	2017-10-05_023.lcd	HPLC_HF5.PlateA	HF5.PlateA-B01	Unknown	-----	15.679	7562	356	-----	-----	-----	-----	3.24313	-----	-----	-----	-----	NA	NA	15.05	16.208	15119.468	9.921	100796.451	0.904	0.95	3.638	1.37	1.304	0.2358	0.1533	0.51	0.789	0.643	0.31	1	*
acetate	2017-10-05_024.lcd	HPLC_HF5.PlateA	HF5.PlateA-B02	Unknown	-----	15.691	4582	218	-----	-----	-----	-----	1.96528	-----	-----	-----	-----	NA	NA	15.158	16.225	13343.116	11.242	88954.109	0.937	0.954	3.638	1.828	1.266	0.1434	0.0953	0.543	0.768	0.643	0.314	1	*
acetate	2017-10-05_025.lcd	HPLC_HF5.PlateA	HF5.PlateA-B03	Unknown	-----	15.688	26323	1248	-----	-----	-----	-----	11.28932	-----	-----	-----	-----	Quant.Range(High)	NA	15	16.233	13500.081	11.111	90000.537	0.972	1.001	1.926	1.744	1.122	1.0449	0.594	0.54	0.77	0.636	0.312	1	*
acetate	2017-10-05_026.lcd	HPLC_HF5.PlateA	HF5.PlateA-B04	Unknown	-----	15.692	27942	1316	-----	-----	-----	-----	11.98342	-----	-----	-----	-----	Quant.Range(High)	NA	14.983	16.233	13390.978	11.202	89273.19	0.976	1.003	2.281	1.775	1.131	0.9976	0.6136	0.542	0.779	0.638	0.313	1	*
acetate	2017-10-05_027.lcd	HPLC_HF5.PlateA	HF5.PlateA-B05	Unknown	-----	15.692	27600	1309	-----	-----	-----	-----	11.83698	-----	-----	-----	-----	Quant.Range(High)	NA	14.95	16.242	13487.325	11.122	89915.503	0.939	0.979	4.187	1.757	1.264	1.0057	0.599	0.54	0.772	0.636	0.312	1	*
acetate	2017-10-05_028.lcd	HPLC_HF5.PlateA	HF5.PlateA-B06	Unknown	-----	15.683	8655	389	-----	-----	-----	-----	3.71203	-----	-----	-----	-----	NA	NA	15.025	16.317	12922.423	11.608	86149.485	0.872	0.881	3.835	1.824	1.263	0.2812	0.171	0.552	0.859	0.723	0.318	1	*
acetate	2017-10-05_029.lcd	HPLC_HF5.PlateA	HF5.PlateA-B07	Unknown	-----	15.687	10440	513	-----	-----	-----	-----	4.47747	-----	-----	-----	-----	NA	NA	15.108	16.192	14023.202	10.697	93488.015	0.934	0.971	5.41	1.772	1.373	0.3488	0.2298	0.53	0.732	0.61	0.305	1	*
acetate	2017-10-05_030.lcd	HPLC_HF5.PlateA	HF5.PlateA-B08	Unknown	-----	15.694	4541	217	-----	-----	-----	-----	1.94744	-----	-----	-----	-----	NA	NA	15.175	16.233	13230.465	11.337	88203.1	0.935	0.958	3.72	1.371	1.305	0.1396	0.0952	0.546	0.756	0.641	0.314	1	*
acetate	2017-10-05_031.lcd	HPLC_HF5.PlateA	HF5.PlateA-B09	Unknown	-----	15.691	33165	1587	-----	-----	-----	-----	14.22343	-----	-----	-----	-----	Quant.Range(High)	NA	15.008	16.25	13762.014	10.9	91746.759	0.974	1	4.043	1.509	1.284	1.3457	0.7494	0.535	0.759	0.627	0.309	1	*
acetate	2017-10-05_032.lcd	HPLC_HF5.PlateA	HF5.PlateA-B10	Unknown	-----	15.685	11595	393	-----	-----	-----	-----	4.97289	-----	-----	-----	-----	NA	NA	14.85	16.292	8370.707	17.92	55804.712	0.827	0.814	2.265	2.263	1.14	0.3753	0.1757	0.686	1.068	0.91	0.458	1	*
acetate	2017-10-05_033.lcd	HPLC_HF5.PlateA	HF5.PlateA-B11	Unknown	-----	15.699	24144	1136	-----	-----	-----	-----	10.3546	-----	-----	-----	-----	Quant.Range(High)	NA	15.042	16.233	13293.21	11.284	88621.4	0.969	0.995	3.779	1.79	1.263	0.8433	0.5317	0.545	0.778	0.642	0.314	1	*
acetate	2017-10-05_034.lcd	HPLC_HF5.PlateA	HF5.PlateA-B12	Unknown	-----	15.692	26841	1244	-----	-----	-----	-----	11.5111	-----	-----	-----	-----	Quant.Range(High)	 V 	14.975	16.25	13317.03	11.264	88780.199	0.901	0.955	1.699	1.371	1.127	0.9597	0.5804	0.544	0.812	0.655	0.314	1	*
acetate	2017-10-05_035.lcd	HPLC_HF5.PlateA	HF5.PlateA-C01	Unknown	-----	15.696	28545	1342	-----	-----	-----	-----	12.24187	-----	-----	-----	-----	Quant.Range(High)	NA	15	16.233	13364.282	11.224	89095.216	0.968	0.995	4.158	1.768	1.264	1.087	0.6333	0.543	0.781	0.643	0.313	1	*
acetate	2017-10-05_036.lcd	HPLC_HF5.PlateA	HF5.PlateA-C02	Unknown	-----	15.695	30417	1443	-----	-----	-----	-----	13.04507	-----	-----	-----	-----	Quant.Range(High)	NA	15.008	16.267	13392.892	11.2	89285.948	0.952	0.984	4.153	2.253	1.238	1.0573	0.6749	0.542	0.766	0.636	0.313	1	*
acetate	2017-10-05_037.lcd	HPLC_HF5.PlateA	HF5.PlateA-C03	Unknown	-----	15.692	22833	1088	-----	-----	-----	-----	9.79228	-----	-----	-----	-----	Quant.Range(High)	NA	15	16.283	13603.289	11.027	90688.591	0.947	0.978	4.23	1.783	1.263	0.9062	0.5198	0.538	0.769	0.636	0.31	1	*
acetate	2017-10-05_038.lcd	HPLC_HF5.PlateA	HF5.PlateA-C04	Unknown	-----	15.696	14346	692	-----	-----	-----	-----	6.15262	-----	-----	-----	-----	Quant.Range(High)	NA	15.092	16.242	13606.974	11.024	90713.157	0.96	0.991	2.083	1.371	1.13	0.526	0.3277	0.538	0.745	0.623	0.311	1	*
acetate	2017-10-05_039.lcd	HPLC_HF5.PlateA	HF5.PlateA-C05	Unknown	-----	15.693	13759	661	-----	-----	-----	-----	5.90079	-----	-----	-----	-----	Quant.Range(High)	NA	15.067	16.217	13596.888	11.032	90645.923	0.956	0.994	1.964	1.371	1.127	0.4874	0.3089	0.538	0.749	0.624	0.311	1	*
acetate	2017-10-05_040.lcd	HPLC_HF5.PlateA	HF5.PlateA-C06	Unknown	-----	15.693	20554	974	-----	-----	-----	-----	8.81493	-----	-----	-----	-----	Quant.Range(High)	NA	14.983	16.217	13422.849	11.175	89485.66	0.928	0.967	4.013	1.763	1.264	0.8039	0.4606	0.542	0.772	0.64	0.313	1	*
acetate	2017-10-05_041.lcd	HPLC_HF5.PlateA	HF5.PlateA-C07	Unknown	-----	15.686	16169	796	-----	-----	-----	-----	6.93448	-----	-----	-----	-----	Quant.Range(High)	NA	15.175	16.2	14040.523	10.683	93603.488	0.961	0.987	5.564	1.767	1.372	0.6009	0.3696	0.53	0.726	0.612	0.306	1	*
acetate	2017-10-05_042.lcd	HPLC_HF5.PlateA	HF5.PlateA-C08	Unknown	-----	15.687	51834	2392	-----	-----	-----	-----	22.23015	-----	-----	-----	-----	Quant.Range(High)	NA	14.917	16.275	13082.978	11.465	87219.856	0.924	0.952	3.983	1.513	1.284	1.9433	1.1206	0.549	0.812	0.669	0.316	1	*
acetate	2017-10-05_043.lcd	HPLC_HF5.PlateA	HF5.PlateA-C09	Unknown	-----	15.687	31729	1518	-----	-----	-----	-----	13.6075	-----	-----	-----	-----	Quant.Range(High)	NA	14.958	16.233	13687.109	10.959	91247.396	0.953	0.988	4.186	1.511	1.285	1.2663	0.7268	0.536	0.761	0.628	0.31	1	*
acetate	2017-10-05_044.lcd	HPLC_HF5.PlateA	HF5.PlateA-C10	Unknown	-----	15.69	31078	1479	-----	-----	-----	-----	13.32849	-----	-----	-----	-----	Quant.Range(High)	NA	14.975	16.233	13482.827	11.125	89885.513	0.965	0.996	2.32	1.37	1.135	1.099	0.6841	0.54	0.759	0.63	0.312	1	*
acetate	2017-10-05_045.lcd	HPLC_HF5.PlateA	HF5.PlateA-C11	Unknown	-----	15.69	29134	1372	-----	-----	-----	-----	12.49472	-----	-----	-----	-----	Quant.Range(High)	NA	14.975	16.258	13242.12	11.327	88280.803	0.948	0.986	2.16	1.371	1.148	0.9233	0.6193	0.545	0.777	0.639	0.315	1	*
acetate	2017-10-05_046.lcd	HPLC_HF5.PlateA	HF5.PlateA-C12	Unknown	-----	15.69	30161	1427	-----	-----	-----	-----	12.93516	-----	-----	-----	-----	Quant.Range(High)	NA	14.958	16.275	13327.99	11.255	88853.267	0.964	0.997	4.198	1.738	1.264	1.1867	0.6813	0.544	0.767	0.635	0.314	1	*
acetate	2017-10-05_047.lcd	HPLC_HF5.PlateA	HF5.PlateA-D01	Unknown	-----	15.69	32854	1553	-----	-----	-----	-----	14.09	-----	-----	-----	-----	Quant.Range(High)	NA	14.958	16.258	13330.049	11.253	88866.996	0.957	0.991	4.099	1.723	1.27	1.2042	0.7161	0.544	0.768	0.637	0.314	1	*
acetate	2017-10-05_048.lcd	HPLC_HF5.PlateA	HF5.PlateA-D02	Unknown	-----	15.686	32884	1552	-----	-----	-----	-----	14.10298	-----	-----	-----	-----	Quant.Range(High)	NA	14.908	16.3	13448.34	11.154	89655.598	0.951	0.987	2.32	1.737	1.128	1.2796	0.7421	0.541	0.776	0.638	0.312	1	*
acetate	2017-10-05_049.lcd	HPLC_HF5.PlateA	HF5.PlateA-D03	Unknown	-----	15.689	31176	1489	-----	-----	-----	-----	13.37058	-----	-----	-----	-----	Quant.Range(High)	NA	14.967	16.292	13631.256	11.004	90875.038	0.957	0.988	3.046	1.767	1.156	1.1876	0.7012	0.538	0.765	0.631	0.31	1	*
acetate	2017-10-05_050.lcd	HPLC_HF5.PlateA	HF5.PlateA-D04	Unknown	-----	15.698	25633	1201	-----	-----	-----	-----	10.99316	-----	-----	-----	-----	Quant.Range(High)	NA	14.975	16.317	13268.634	11.305	88457.559	0.953	0.985	4.25	1.368	1.299	0.8433	0.5297	0.545	0.781	0.644	0.315	1	*
acetate	2017-10-05_051.lcd	HPLC_HF5.PlateA	HF5.PlateA-D05	Unknown	-----	15.682	7882	297	-----	-----	-----	-----	3.38039	-----	-----	-----	-----	NA	NA	14.992	16.3	9870.003	15.198	65800.018	0.857	0.835	2.463	1.775	1.153	0.2932	0.1365	0.631	0.958	0.834	0.376	1	*
acetate	2017-10-05_052.lcd	HPLC_HF5.PlateA	HF5.PlateA-D06	Unknown	-----	15.692	54207	2515	-----	-----	-----	-----	23.24763	-----	-----	-----	-----	Quant.Range(High)	NA	14.925	16.258	13029.316	11.512	86862.109	0.923	0.956	2.146	1.371	1.13	1.6495	1.0898	0.55	0.796	0.659	0.317	1	*
acetate	2017-10-05_053.lcd	HPLC_HF5.PlateA	HF5.PlateA-D07	Unknown	-----	15.681	11334	480	-----	-----	-----	-----	4.86084	-----	-----	-----	-----	NA	 V 	15.417	16.358	8578.006	17.487	57186.709	--	--	--	2.24	1.026	0.3501	0.2078	0.677	0	0	0.423	1	*
acetate	2017-10-05_054.lcd	HPLC_HF5.PlateA	HF5.PlateA-D08	Unknown	-----	15.695	17425	829	-----	-----	-----	-----	7.47297	-----	-----	-----	-----	Quant.Range(High)	NA	15.058	16.217	13322.458	11.259	88816.384	0.953	0.986	4.526	1.785	1.264	0.5888	0.3858	0.544	0.758	0.63	0.314	1	*
acetate	2017-10-05_055.lcd	HPLC_HF5.PlateA	HF5.PlateA-D09	Unknown	-----	15.694	31221	1454	-----	-----	-----	-----	13.38965	-----	-----	-----	-----	Quant.Range(High)	NA	15.008	16.392	12977.857	11.558	86519.045	0.964	0.994	4.185	1.372	1.303	0.9872	0.6613	0.551	0.783	0.646	0.318	1	*
acetate	2017-10-05_056.lcd	HPLC_HF5.PlateA	HF5.PlateA-D10	Unknown	-----	15.692	29477	1388	-----	-----	-----	-----	12.64196	-----	-----	-----	-----	Quant.Range(High)	NA	15.008	16.3	13215.313	11.35	88102.088	0.964	0.994	4.124	1.371	1.3	0.996	0.6327	0.546	0.768	0.637	0.316	1	*
acetate	2017-10-05_057.lcd	HPLC_HF5.PlateA	HF5.PlateA-D11	Unknown	-----	15.695	7828	369	-----	-----	-----	-----	3.35715	-----	-----	-----	-----	NA	NA	15.083	16.217	13239.259	11.33	88261.726	0.948	0.977	5.376	1.517	1.404	0.3114	0.1803	0.546	0.765	0.643	0.317	1	*
acetate	2017-10-05_058.lcd	HPLC_HF5.PlateA	HF5.PlateA-D12	Unknown	-----	15.702	26886	1252	-----	-----	-----	-----	11.53076	-----	-----	-----	-----	Quant.Range(High)	NA	14.992	16.325	12921.517	11.609	86143.446	0.975	1.003	4.08	1.757	1.265	10.2877	8.5489	0.553	0.777	0.644	0.319	1	*
acetate	2017-10-05_059.lcd	Water	BLANK	Unknown	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	-----	NA	*
acetate	2017-10-05_060.lcd	40 mM Mix	STD-0111	Unknown	-----	15.686	310052	14397	-----	-----	-----	-----	132.97179	-----	-----	-----	-----	Quant.Range(High)	 V 	14.967	16.883	13023.953	11.517	86826.35	0.992	1.016	2.555	1.454	1.169	1.5938	1.7181	0.55	0.776	0.64	0.317	1	*
acetate	2017-10-05_061.lcd	20 mM Mix	STD-0112	Unknown	-----	15.69	149861	6997	-----	-----	-----	-----	64.27082	-----	-----	-----	-----	Quant.Range(High)	 V 	14.967	16.892	13190.306	11.372	87935.371	0.986	1.011	2.581	1.455	1.17	1.5708	1.6864	0.546	0.772	0.637	0.316	1	*
acetate	2017-10-05_062.lcd	10 mM Mix	STD-0113	Unknown	-----	15.695	72372	3398	-----	-----	-----	-----	31.038	-----	-----	-----	-----	Quant.Range(High)	 V 	14.983	16.583	13228.329	11.339	88188.86	0.983	1.007	2.586	1.458	1.17	1.5314	1.6384	0.546	0.768	0.635	0.315	1	*
acetate	2017-10-05_063.lcd	5 mM Mix	STD-0114	Unknown	-----	15.693	36586	1725	-----	-----	-----	-----	15.6906	-----	-----	-----	-----	Quant.Range(High)	 V 	14.958	16.442	13268.65	11.305	88457.666	0.984	1.007	2.588	1.465	1.17	1.5275	1.6442	0.545	0.763	0.633	0.315	1	*
acetate	2017-10-05_064.lcd	2.5 mM Mix	STD-0115	Unknown	-----	15.692	17709	843	-----	-----	-----	-----	7.59469	-----	-----	-----	-----	Quant.Range(High)	NA	15.058	16.333	13336.354	11.247	88909.03	0.985	1.005	2.611	1.224	1.186	1.4742	1.6001	0.544	0.751	0.628	0.314	1	*
acetate	2017-10-05_065.lcd	1 mM Mix	STD-0116	Unknown	-----	15.69	6927	337	-----	-----	-----	-----	2.97075	-----	-----	-----	-----	NA	NA	15.175	16.233	13594.216	11.034	90628.104	1.01	1.021	2.627	1.224	1.186	1.4008	1.5058	0.538	0.723	0.615	0.311	1	*
acetate	2017-10-05_066.lcd	0.5 mM Mix	STD-0117	Unknown	-----	15.688	3181	157	-----	-----	-----	-----	1.36422	-----	-----	-----	-----	NA	NA	15.25	16.225	13820.455	10.853	92136.37	1.03	1.036	2.639	1.224	1.185	1.3092	1.4251	0.534	0.71	0.602	0.309	1	*
acetate	2017-10-05_067.lcd	0.25 mM Mix	STD-0118	Unknown	-----	15.702	1709	86	-----	-----	-----	-----	0.73305	-----	-----	-----	-----	NA	NA	15.3	16.2	14118.349	10.624	94122.326	1.045	1.034	2.753	1.225	1.187	1.2181	1.3856	0.529	0.686	0.584	0.304	1	*
acetate	2017-10-05_068.lcd	0.1 mM Mix	STD-0119	Unknown	-----	15.697	631	34	-----	-----	-----	-----	0.27047	-----	-----	-----	-----	NA	NA	15.367	16.083	16141.063	9.293	107607.088	1.057	1.067	2.928	1.224	1.19	0.8845	1.0952	0.494	0.602	0.55	0.289	1	*
acetate	2017-10-05_069.lcd	HPLC_HF5.PlateA	HF5.PlateA-E01	Unknown	-----	15.69	27075	1269	-----	-----	-----	-----	11.61172	-----	-----	-----	-----	Quant.Range(High)	NA	14.967	16.325	13204.752	11.36	88031.68	0.975	1.003	3.89	1.752	1.265	11.6727	9.7017	0.546	0.777	0.641	0.315	1	*
acetate	2017-10-05_070.lcd	HPLC_HF5.PlateA	HF5.PlateA-E02	Unknown	-----	15.695	7043	378	-----	-----	-----	-----	3.02063	-----	-----	-----	-----	NA	NA	15.4	16.142	15409.264	9.734	102728.43	1.118	1.086	4.276	1.758	1.265	0.4264	0.2752	0.506	0.597	0.532	0.295	1	*
acetate	2017-10-05_071.lcd	HPLC_HF5.PlateA	HF5.PlateA-E03	Unknown	-----	15.692	26415	1225	-----	-----	-----	-----	11.32857	-----	-----	-----	-----	Quant.Range(High)	NA	14.975	16.242	13042.837	11.501	86952.246	0.969	0.994	3.922	1.448	1.293	8.5086	6.907	0.55	0.789	0.649	0.317	1	*
acetate	2017-10-05_072.lcd	HPLC_HF5.PlateA	HF5.PlateA-E04	Unknown	-----	15.694	7057	373	-----	-----	-----	-----	3.02654	-----	-----	-----	-----	NA	NA	15.392	16.208	15099.104	9.934	100660.696	1.121	1.092	4.5	1.512	1.293	0.457	0.288	0.511	0.609	0.542	0.298	1	*
acetate	2017-10-05_073.lcd	HPLC_HF5.PlateA	HF5.PlateA-E05	Unknown	-----	15.695	14666	686	-----	-----	-----	-----	6.28981	-----	-----	-----	-----	Quant.Range(High)	NA	15.067	16.283	12956.895	11.577	86379.3	0.962	0.991	4.341	1.443	1.296	2.0402	2.5573	0.552	0.771	0.643	0.319	1	*
acetate	2017-10-05_074.lcd	HPLC_HF5.PlateA	HF5.PlateA-E06	Unknown	-----	15.699	11228	515	-----	-----	-----	-----	4.8153	-----	-----	-----	-----	NA	NA	15.05	16.208	12980.258	11.556	86535.052	0.972	0.991	4.268	1.391	1.3	0.9242	0.6242	0.551	0.825	0.665	0.318	1	*
acetate	2017-10-05_075.lcd	HPLC_HF5.PlateA	HF5.PlateA-E07	Unknown	-----	15.696	8615	399	-----	-----	-----	-----	3.6948	-----	-----	-----	-----	NA	NA	15.067	16.283	12775.368	11.741	85169.12	0.952	0.981	5.523	1.512	1.404	0.5903	0.3342	0.555	0.792	0.654	0.32	1	*
acetate	2017-10-05_076.lcd	HPLC_HF5.PlateA	HF5.PlateA-E08	Unknown	-----	15.695	38609	1742	-----	-----	-----	-----	16.55836	-----	-----	-----	-----	Quant.Range(High)	NA	14.95	16.283	12503.736	11.996	83358.237	0.907	0.932	3.74	1.519	1.284	1.4087	0.8181	0.561	0.827	0.688	0.324	1	*
acetate	2017-10-05_077.lcd	HPLC_HF5.PlateA	HF5.PlateA-E09	Unknown	-----	15.698	42125	1858	-----	-----	-----	-----	18.06631	-----	-----	-----	-----	Quant.Range(High)	 V 	15.217	17.058	12846.936	11.676	85646.239	0.956	0.985	--	1.927	1.05	1.5728	0.8875	0.554	0.785	0.651	0.32	1	*
acetate	2017-10-05_078.lcd	HPLC_HF5.PlateA	HF5.PlateA-E10	Unknown	-----	15.687	29996	1396	-----	-----	-----	-----	12.86419	-----	-----	-----	-----	Quant.Range(High)	NA	14.958	16.275	12990.285	11.547	86601.903	0.96	0.987	2.058	1.45	1.135	9.0607	7.7457	0.551	0.784	0.646	0.317	1	*
acetate	2017-10-05_079.lcd	HPLC_HF5.PlateA	HF5.PlateA-E11	Unknown	-----	15.69	25776	1193	-----	-----	-----	-----	11.05439	-----	-----	-----	-----	Quant.Range(High)	NA	14.983	16.325	12843.699	11.679	85624.657	0.96	0.988	4.209	1.452	1.292	11.0702	9.4244	0.554	0.788	0.652	0.32	1	*
acetate	2017-10-05_080.lcd	HPLC_HF5.PlateA	HF5.PlateA-E12	Unknown	-----	15.66	7293	354	-----	-----	-----	-----	3.12758	-----	-----	-----	-----	NA	 V 	15.5	16.275	3188.99	47.037	21259.934	--	--	0.109	2.249	1.025	0.2435	0.1631	1.109	0	0	0	1	*
