seqID	sampleID	mouse	percent_weight	CageID	Group	CageID_Assigned	BD	ExpStart	sex	Gavaged_fecal_material	Mb_input	FMT	Cdiff_infection	Cdiff_day_infected	ABX	clinda35	FMT_day	Harvest_pi	FMT_input	FMT_type	Model	Experiment	Mouse_genotype	Mouse_status	ExpDay	day	type	CFU	sampleType	simpsoneven	simpson	simpson_lci	simpson_hci	invsimpson	invsimpson_lci	invsimpson_hci	shannon	shannon_lci	shannon_hci	npshannon	sobs	chao	chao_lci	chao_hci	nseqs	propionate	succinate	acetate	butyrate	group
c21_1839_3	d21_1839_3	1839_3	97.64150943	1839	NA	NA	6/12/2018	8/20/2018	F	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	1600000000	mouse	0.071257	0.119947	0.117116	0.122777	8.337036	8.144828	8.538535	2.650354	2.625646	2.675062	2.666265	117	166.4	138.910067	228.380764	12547	23.95873349	21.78891881	103.7979442	9.876517236	hFMT
c21_1840_1	d21_1840_1	1840_1	102.0905923	1840	NA	NA	6/13/2018	8/20/2018	M	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	0	mouse	0.051922	0.063147	0.061518	0.064776	15.83618	15.437926	16.255527	3.596986	3.573634	3.620338	3.619281	305	400.923077	360.343644	471.256431	19748	19.25300776	2.776364797	95.71028643	27.68050295	mFMT
c21_1840_2	d21_1840_2	1840_2	104.6428571	1840	NA	NA	6/13/2018	8/20/2018	M	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	0	mouse	0.065371	0.055026	0.053131	0.056921	18.173196	17.568251	18.821288	3.753374	3.726295	3.780452	3.780706	278	379.527778	336.203933	455.099538	13754	23.92212246	2.923728193	93.97246921	39.84542344	mFMT
c21_1840_3	d21_1840_3	1840_3	99.26199262	1840	NA	NA	6/13/2018	8/20/2018	M	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	0	mouse	0.099574	0.035114	0.03378	0.036449	28.47829	27.435397	29.603602	4.105383	4.080557	4.130209	4.130109	286	379.363636	338.295801	452.681999	13207	15.00707246	2.173568766	92.49910678	31.2831081	mFMT
c21_1901_1	d21_1901_1	1901_1	94.02173913	1901	NA	NA	9/28/2018	11/26/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF10	BL6	SPF-Young	21	21	cecal	20000	mouse	0.068893	0.037702	0.036866	0.038537	26.523984	25.949063	27.124958	3.924648	3.903661	3.945635	3.954775	385	524.451613	474.117731	603.214176	20098	18.32848097	6.858757013	130.2458311	12.84521277	mFMT
c21_1901_3	d21_1901_3	1901_3	91.40271493	1901	NA	NA	9/28/2018	11/26/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF10	BL6	SPF-Young	21	21	cecal	0	mouse	0.070003	0.035098	0.034284	0.035912	28.491286	27.845516	29.16772	4.018842	3.9974	4.040283	4.050865	407	550.227273	499.468844	628.848254	19531	20.85984658	12.40151512	137.0436483	18.35641999	mFMT
c21_1901_4	d21_1901_4	1901_4	100.4273504	1901	NA	NA	9/28/2018	11/26/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF10	BL6	SPF-Young	21	21	cecal	20000	mouse	0.075769	0.037494	0.036588	0.038401	26.670671	26.041284	27.331234	3.914597	3.893132	3.936062	3.942257	352	437.344828	403.427778	493.630456	18483	18.55726615	12.46731166	100.6982784	10.52459748	mFMT
cd42_1681_2	d42_1681_2	1681_2	NA	1681	NA	NA	6/18/2017	7/24/2017	M	NA	NA	mFMT1	CDI	0	cef	no	11_25	d42	yWT	mFMT	Rc	HF5-contam	BL6	SPF-Young	42	42	cecal	65000000	mouse	0.068555	0.132607	0.130766	0.134448	7.541061	7.437798	7.647231	2.351307	2.336725	2.365889	2.362093	110	155.882353	130.681059	211.793161	23373	18.9876461639279	10.5396720284674	104.732403396076	5.08593311945263	mFMT
cd42_1681_3	d42_1681_3	1681_3	NA	1681	NA	NA	6/18/2017	7/24/2017	M	NA	NA	mFMT1	CDI	0	cef	no	11_25	d42	yWT	mFMT	Rc	HF5-contam	BL6	SPF-Young	42	42	cecal	37000000	mouse	0.079964	0.12632	0.124355	0.128285	7.916407	7.795129	8.041518	2.355596	2.339575	2.371617	2.370502	99	179.571429	136.549411	271.885671	17152	41.1247297812435	29.1955614341261	222.410941400475	5.33568397793408	mFMT
cecal_d21_1802_1	d21_1802_1	1802_1	106.2893082	1802	NA	NA	4/17/2018	5/14/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF8	BL6	SPF-Young	21	21	cecal	0	mouse	0.078096	0.048687	0.047643	0.049732	20.539172	20.107931	20.989317	3.594055	3.575961	3.612149	3.612686	263	457.04	374.078633	601.962773	22893	16.0239263181707	8.05660674958947	81.97803133759	22.5113671030274	mFMT
cecal_d21_1802_2	d21_1802_2	1802_2	100	1802	NA	NA	4/17/2018	5/14/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF8	BL6	SPF-Young	21	21	cecal	0	mouse	0.088236	0.044271	0.043189	0.045352	22.588372	22.049636	23.154094	3.680341	3.655591	3.70509	3.710426	256	450.04	367.078633	594.962773	12820	14.7206070902087	12.0007263200001	71.9440764889716	16.0530333981976	mFMT
cecal_d21_1802_3	d21_1802_3	1802_3	102.3255814	1802	NA	NA	4/17/2018	5/14/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF8	BL6	SPF-Young	21	21	cecal	0	mouse	0.083274	0.049828	0.048558	0.051098	20.068993	19.570221	20.593854	3.603749	3.582382	3.625116	3.623979	241	344.551724	298.392094	427.836877	17148	10.438156043484	8.33892184547931	83.9465521577123	21.1439216005547	mFMT
cecal_d21_1803_2	d21_1803_1	1803_1	NA	1803	NA	NA	4/17/2018	5/14/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF8	BL6	SPF-Young	21	21	cecal	NA	mouse	0.073287	0.047379	0.046092	0.048665	21.106583	20.548708	21.695595	3.778572	3.757691	3.799454	3.799015	288	454.16129	385.482032	571.227316	20109	12.8915587177591	4.76832686347677	109.831524594363	37.0017598425249	mFMT
d0_1268_1	d0_1268_1	1268_1	100	1268	NA	NA	8/2/15	10/5/15	M	NA	NA	mFMT2	CDI	0	cef	yes	11	d42	yWT_spore	mFMT	Rc	HF3	BL6	SPF-Young	0	0	fecal	NA	mouse	0.100356	0.99645	0.994865	0.998035	1.003563	1.001969	1.0051620000000001	0.016686	0.009966	0.023406	0.01974	10	13	10.39133	32.998494	10694	2.21346893848916	1.17313306524462	5.06166230916688	0	mFMT_other
d0_1273_1	d0_1273_1	1273_1	100	1273	NA	NA	8/14/15	10/5/15	M	NA	NA	mFMT4	CDI	0	cef	yes	11	d42	yRag	mFMT	Rc	HF3	BL6	SPF-Young	0	0	fecal	NA	mouse	0.059585	0.987225	0.983452	0.990998	1.01294	1.009084	1.016826	0.054819	0.04031	0.069329	0.062233	17	20.75	17.6386	39.020811	6709	2.16460881003485	1.10765963003099	5.9076926875692	0	mFMT_other
d0_1275_1	d0_1275_1	1275_1	100	1275	NA	NA	8/21/15	10/5/15	F	NA	NA	mFMT1	CDI	0	cef	yes	11	d42	yWT	mFMT	Rc	HF3	BL6	SPF-Young	0	0	fecal	NA	mouse	0.083725	0.995321	0.993537	0.997106	1.004701	1.002903	1.006505	0.021455	0.01407	0.02884	0.025094	12	13	12.111496	20.968937	11100	2.37633603333687	1.03745317540433	5.38050211595283	0	mFMT
d0_1681_1	d0_1681_1	1681_1	100	1681	NA	NA	6/18/2017	7/24/2017	M	NA	NA	mFMT1	CDI	0	cef	no	11_25	d42	yWT	mFMT	Rc	HF5-contam	BL6	SPF-Young	0	0	fecal	NA	mouse	0.027553	0.980906	0.97888	0.982931	1.019466	1.017365	1.021576	0.079629	0.072032	0.087226	0.082919	37	42	38.215104	57.574366	34486	6.74957866601992	0.545240066620194	7.14833413669767	0	mFMT
d0_1802_2	d0_1802_2	1802_2	100	1802	NA	NA	4/17/2018	5/14/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF8	BL6	SPF-Young	0	0	fecal	0	mouse	0.042225	0.090049	0.08811	0.091987	11.105103	10.871043	11.349464	3.165192	3.145194	3.18519	3.184492	263	384.416667	333.897343	470.934549	25494	14.014744393889	6.22096635687358	74.7784594438257	36.5738975299786	mFMT
d0_1803_2	d0_1803_2	1803_2	100	1803	NA	NA	4/17/2018	5/14/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF8	BL6	SPF-Young	0	0	fecal	0	mouse	0.046763	0.108001	0.1059	0.110103	9.259153	9.082439	9.442879	2.855292	2.835027	2.875557	2.873695	198	327.6	269.570524	432.679851	22196	NA	1.71853413529059	9.58884742435688	NA	mFMT
d0_1835_1	d0_1835_1	1835_1	100	1835	NA	NA	6/5/2018	8/20/2018	M	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	0	0	fecal	0	mouse	0.037249	0.994313	0.99293	0.995695	1.00572	1.004324	1.00712	0.027402	0.02134	0.033464	0.032741	27	44.5	32.118074	86.836961	22471	6.3414674	NA	3.081322822	NA	hFMT
d0_1835_2	d0_1835_2	1835_2	100	1835	NA	NA	6/5/2018	8/20/2018	M	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	0	0	fecal	0	mouse	0.029639	0.992349	0.990622	0.994077	1.00771	1.005958	1.009467	0.03747	0.029781	0.045159	0.044622	34	46	37.673093	73.204012	19307	6.603584541	4.180404496	1.886048214	NA	hFMT
d0_1835_3	d0_1835_3	1835_3	100	1835	NA	NA	6/5/2018	8/20/2018	M	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	0	0	fecal	0	mouse	0.034661	0.994855	0.993453	0.996256	1.005172	1.003758	1.00659	0.025776	0.019382	0.03217	0.03303	29	57.5	38.183307	117.448529	19797	5.57862424	NA	9.000932485	NA	hFMT
d0_1836_1	d0_1836_1	1836_1	100	1836	NA	NA	6/5/2018	8/20/2018	F	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	0	0	fecal	0	mouse	0.045768	0.993143	0.991111	0.995174	1.006905	1.004849	1.008969	0.032479	0.023767	0.041191	0.039854	22	33	24.884791	63.944117	12519	6.259900441	NA	2.564810462	NA	hFMT
d0_1836_2	d0_1836_2	1836_2	100	1836	NA	NA	6/5/2018	8/20/2018	F	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	0	0	fecal	0	mouse	0.031421	0.994564	0.993253	0.995875	1.005465	1.004142	1.006792	0.026948	0.021018	0.032877	0.033501	32	63.666667	42.396838	128.450264	23882	6.252464478	0.543163595	12.58441075	NA	hFMT
d0_1836_3	d0_1836_3	1836_3	100	1836	NA	NA	6/5/2018	8/20/2018	F	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	0	0	fecal	0	mouse	0.045584	0.99717	0.996211	0.998129	1.002838	1.001874	1.003804	0.01486	0.010263	0.019457	0.019351	22	30.25	24.162057	53.480432	23304	6.717212212	NA	10.65246823	NA	hFMT
d0_1836_4	d0_1836_4	1836_4	100	1836	NA	NA	6/5/2018	8/20/2018	F	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	0	0	fecal	0	mouse	0.043793	0.992814	0.991082	0.994545	1.007238	1.005485	1.008998	0.033069	0.025856	0.040282	0.038507	23	42.5	28.215203	95.911837	18055	6.811401086	NA	1.768149998	NA	hFMT
d0_1837_1	d0_1837_1	1837_1	100	1837	NA	NA	6/11/2018	8/20/2018	M	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	0	0	fecal	0	mouse	0.031485	0.992539	0.990854	0.994224	1.007517	1.00581	1.00923	0.036228	0.028793	0.043662	0.04248	32	39.090909	33.923441	58.141173	19798	6.944009106	NA	1.143254111	NA	hFMT
d0_1837_2	d0_1837_2	1837_2	100	1837	NA	NA	6/11/2018	8/20/2018	M	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	0	0	fecal	0	mouse	0.045592	0.996995	0.995889	0.9981	1.003014	1.001903	1.004128	0.015633	0.010381	0.020884	0.022235	22	56	32.103432	136.416565	18619	7.096446363	NA	2.451936597	NA	hFMT
d0_1837_3	d0_1837_3	1837_3	100	1837	NA	NA	6/11/2018	8/20/2018	M	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	0	0	fecal	0	mouse	0.028054	0.990159	0.98784400000000006	0.992474	1.009939	1.007583	1.012305	0.047134	0.037064	0.057204	0.059095	36	69	47.377979	131.711195	13785	6.190498113	NA	NA	NA	hFMT
d0_1839_1	d0_1839_1	1839_1	100	1839	NA	NA	6/12/2018	8/20/2018	F	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	0	0	fecal	0	mouse	0.043861	0.991265	0.989253	0.993277	1.008812	1.006769	1.010864	0.039212	0.03104	0.047385	0.044369	23	30.5	24.773815	54.711318	16216	5.776093656	NA	4.197128698	NA	hFMT
d0_1839_2	d0_1839_2	1839_2	100	1839	NA	NA	6/12/2018	8/20/2018	F	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	0	0	fecal	0	mouse	0.023143	0.919342	0.914914	0.92377	1.087734	1.082521	1.092999	0.257592	0.244921	0.270263	0.262678	47	60.333333	51.07923	90.581214	27752	6.182786619	NA	2.249333848	NA	hFMT
d0_1839_3	d0_1839_3	1839_3	100	1839	NA	NA	6/12/2018	8/20/2018	F	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	0	0	fecal	0	mouse	0.015404	0.968908	0.966077	0.971739	1.03209	1.029083	1.035114	0.123789	0.113474	0.134105	0.132644	67	89.235294	75.830859	122.986431	28232	5.573922588	NA	5.076150188	NA	hFMT
d0_1840_1	d0_1840_1	1840_1	100	1840	NA	NA	6/13/2018	8/20/2018	M	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF9	BL6	SPF-Young	0	0	fecal	0	mouse	0.297519	0.074692	0.059148	0.090236	13.388353	11.082090000000001	16.906775	3.052791	2.908635	3.196947	3.195117	45	79.2	55.820239	153.097432	264	5.635044074	1.622115883	1.00053948	NA	mFMT
d0_1840_2	d0_1840_2	1840_2	100	1840	NA	NA	6/13/2018	8/20/2018	M	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF9	BL6	SPF-Young	0	0	fecal	0	mouse	0.040159	0.996034	0.994884	0.997185	1.003981	1.002823	1.005142	0.020078	0.014769	0.025387	0.025389	25	40	29.419193	75.914271	22672	6.134594679	NA	1.370312358	NA	mFMT
d0_1840_3	d0_1840_3	1840_3	100	1840	NA	NA	6/13/2018	8/20/2018	M	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF9	BL6	SPF-Young	0	0	fecal	0	mouse	0.052817	0.996498	0.995232	0.997764	1.003514	1.002241	1.00479	0.017702	0.011881	0.023523	0.022925	19	24.625	20.315172	43.05817	16548	6.14987505	NA	1.127040728	NA	mFMT
d0_1901_1	d0_1901_1	1901_1	100	1901	NA	NA	9/28/2018	11/26/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF10	BL6	SPF-Young	0	0	fecal	0	mouse	0.055668	0.997982	0.997298	0.998666	1.002022	1.001335	1.002709	0.010561	0.007289	0.013832	0.013203	18	36.333333	22.476624	93.081388	32691	NA	NA	5.202690985	NA	mFMT
d0_1901_2	d0_1901_2	1901_2	100	1901	NA	NA	9/28/2018	11/26/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF10	BL6	SPF-Young	0	0	fecal	0	mouse	0.034594	0.996788	0.995885	0.99769	1.003222	1.002315	1.004132	0.016982	0.012619	0.021345	0.0218	29	44.111111	33.760923	76.962478	29863	5.447958048	NA	28.53636469	NA	mFMT
d0_1901_3	d0_1901_3	1901_3	100	1901	NA	NA	9/28/2018	11/26/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF10	BL6	SPF-Young	0	0	fecal	0	mouse	0.030441	0.995469	0.994341	0.996598	1.004551	1.003414	1.005691	0.023457	0.018125	0.02879	0.029078	33	52.125	39.156594	92.410389	26897	5.130411443	NA	4.669471751	NA	mFMT
d0_1904_4	d0_1901_4	1901_4	100	1901	NA	NA	9/28/2018	11/26/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF10	BL6	SPF-Young	0	0	fecal	0	mouse	0.037124	0.997657	0.996874	0.998439	1.002349	1.001563	1.003136	0.012787	0.008873	0.016701	0.018133	27	58.666667	37.396838	123.450264	29003	4.899264445	NA	10.28427029	NA	mFMT
d1_1191_2	d1_1191_2	1191_2	100.4854369	1191	NA	NA	8/21/15	10/5/15	F	NA	NA	mFMT1	CDI	0	cef	yes	11	d42	yWT	mFMT	Rc	HF3	BL6	SPF-Young	1	1	fecal	500000	mouse	0.126303	0.527831	0.523394	0.532268	1.894546	1.878752	1.910606	0.686431	0.677872	0.694989	0.690062	15	22.5	16.32254	57.5318	11740	2.16632320050693	0.987362053283055	16.3241786525003	0	mFMT
d1_1273_1	d1_1273_1	1273_1	101.984127	1273	NA	NA	8/14/15	10/5/15	M	NA	NA	mFMT4	CDI	0	cef	yes	11	d42	yRag	mFMT	Rc	HF3	BL6	SPF-Young	1	1	fecal	6300000	mouse	0.111563	0.814871	0.803792	0.825951	1.227188	1.210726	1.244104	0.354198	0.336117	0.372279	0.35799	11	11.6	11.050626	18.11091	7350	1.98888378664654	0.635540943580891	16.2294737593956	0	mFMT_other
d1_1275_1	d1_1275_1	1275_1	102.688172	1275	NA	NA	8/21/15	10/5/15	F	NA	NA	mFMT1	CDI	0	cef	yes	11	d42	yWT	mFMT	Rc	HF3	BL6	SPF-Young	1	1	fecal	7200000	mouse	0.097075	0.64383	0.636434	0.651225	1.553206	1.535567	1.571255	0.557702	0.547477	0.567927	0.561543	16	20.2	16.789764	38.335782	14571	2.33433346677088	0.852076581727178	12.7359154804208	0.278071730219453	mFMT
d1_1681_1	d1_1681_1	1681_1	100.9174312	1681	NA	NA	6/18/2017	7/24/2017	M	NA	NA	mFMT1	CDI	0	cef	no	11_25	d42	yWT	mFMT	Rc	HF5-contam	BL6	SPF-Young	1	1	fecal	8400000	mouse	0.044688	0.93238	0.928759	0.936002	1.072524	1.068374	1.076706	0.164157	0.156557	0.171756	0.166651	24	29.142857	25.129558	47.415337	34118	5.75813595141397	0.496907753160484	10.3658153091051	4.40070297219769	mFMT
d1_1802_1	d1_1802_1	1802_1	100	1802	NA	NA	4/17/2018	5/14/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF8	BL6	SPF-Young	1	1	fecal	1380000000	mouse	0.01701	0.291029	0.286236	0.295823	3.43608	3.380399	3.493626	1.982061	1.961262	2.002861	1.998539	202	302.037037	256.55016	385.453335	28912	5.56639930456635	2.74513448398092	19.4601541371694	0.989709150054388	mFMT
d1_1802_2	d1_1802_2	1802_2	100.6024096	1802	NA	NA	4/17/2018	5/14/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF8	BL6	SPF-Young	1	1	fecal	8000000	mouse	0.030195	0.098859	0.096441	0.10127800000000001	10.115389	9.87381	10.369085	3.326197	3.302845	3.349549	3.348851	335	512.162162	442.536288	626.868282	24750	11.2964394375078	10.045842348321	79.8169638272857	22.2273497739552	mFMT
d1_1803_2	d1_1803_2	1803_2	103.75	1803	NA	NA	4/17/2018	5/14/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF8	BL6	SPF-Young	1	1	fecal	600000000	mouse	0.017749	0.939021	0.933596	0.944446	1.064939	1.058822	1.071127	0.189675	0.173887	0.205462	0.207892	60	114.090909	82.619397	189.35033	14184	NA	1.63995972398699	11.0383293405101	NA	mFMT
d1_1835_1	d1_1835_1	1835_1	96.19377163	1835	NA	NA	6/5/2018	8/20/2018	M	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	1	1	fecal	610000000	mouse	0.028912	0.988224	0.986058	0.99039	1.011916	1.009703	1.014139	0.053198	0.044316	0.062079	0.060319	35	44.545455	37.817346	67.340966	18791	5.619763702	1.072671063	14.15829104	NA	hFMT
d1_1835_3	d1_1835_3	1835_3	98.58657244	1835	NA	NA	6/5/2018	8/20/2018	M	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	1	1	fecal	520000000	mouse	0.054701	0.870538	0.863467	0.87761	1.148715	1.139459	1.158122	0.269377	0.25674399999999997	0.28201	0.274756	21	30	23.130414	59.020786	14732	5.50104697	1.207479086	16.89590778	0	hFMT
d1_1836_1	d1_1836_1	1836_1	98.18181818	1836	NA	NA	6/5/2018	8/20/2018	F	NA	NA	hFMT6	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF9	BL6	SPF-Young	1	1	fecal	110000000	mouse	0.045192	0.851065	0.844328	0.857801	1.174999	1.165772	1.184373	0.298232	0.286646	0.309818	0.304559	26	47	32.067775	98.679028	17696	6.139296331	1.528158776	16.88617692	NA	hFMT
