seqID	sampleID	mouse	percent_weight	CageID	Group	CageID_Assigned	BD	ExpStart	sex	Gavaged_fecal_material	Mb_input	FMT	Cdiff_infection	Cdiff_day_infected	ABX	clinda35	FMT_day	Harvest_pi	FMT_input	FMT_type	Model	Experiment	Mouse_genotype	Mouse_status	ExpDay	day	type	CFU	sampleType	simpsoneven	simpson	simpson_lci	simpson_hci	invsimpson	invsimpson_lci	invsimpson_hci	shannon	shannon_lci	shannon_hci	npshannon	sobs	chao	chao_lci	chao_hci	nseqs	propionate	succinate	acetate	butyrate
c21_1839_3	d21_1839_3	1839_3	97.64150943	1839	NA	NA	6/12/2018	8/20/2018	F	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	1600000000	mouse	0.071257	0.119947	0.117116	0.122777	8.337036	8.144828	8.538535	2.650354	2.625646	2.675062	2.666265	117	166.4	138.910067	228.380764	12547	23.95873349	21.78891881	103.7979442	9.876517236
c21_1840_1	d21_1840_1	1840_1	102.0905923	1840	NA	NA	6/13/2018	8/20/2018	M	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	0	mouse	0.051922	0.063147	0.061518	0.064776	15.83618	15.437926	16.255527	3.596986	3.573634	3.620338	3.619281	305	400.923077	360.343644	471.256431	19748	19.25300776	2.776364797	95.71028643	27.68050295
c21_1840_2	d21_1840_2	1840_2	104.6428571	1840	NA	NA	6/13/2018	8/20/2018	M	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	0	mouse	0.065371	0.055026	0.053131	0.056921	18.173196	17.568251	18.821288	3.753374	3.726295	3.780452	3.780706	278	379.527778	336.203933	455.099538	13754	23.92212246	2.923728193	93.97246921	39.84542344
c21_1840_3	d21_1840_3	1840_3	99.26199262	1840	NA	NA	6/13/2018	8/20/2018	M	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	0	mouse	0.099574	0.035114	0.03378	0.036449	28.47829	27.435397	29.603602	4.105383	4.080557	4.130209	4.130109	286	379.363636	338.295801	452.681999	13207	15.00707246	2.173568766	92.49910678	31.2831081
c21_1841_1	d21_1841_1	1841_1	96.77419355	1841	NA	NA	6/12/2018	8/20/2018	F	NA	NA	hFMT6	noCDI	NA	cef	no	11	d21	AMS001	hFMT	FMT	HF9	BL6	SPF-Young	21	21	cecal	0	mouse	0.12331	0.085365	0.083457	0.087272	11.714429	11.458401	11.98216	2.868513	2.850767	2.88626	2.877694	95	122	105.490264	164.49301	16014	22.50252392	23.46012236	80.59663957	2.842541866
c21_1841_2	d21_1841_2	1841_2	99.02912621	1841	NA	NA	6/12/2018	8/20/2018	F	NA	NA	hFMT6	noCDI	NA	cef	no	11	d21	AMS001	hFMT	FMT	HF9	BL6	SPF-Young	21	21	cecal	0	mouse	0.104963	0.088214	0.086579	0.08985	11.336045	11.129677	11.550211	2.846039	2.830298	2.861781	2.854776	108	178.3	137.745744	274.144443	21474	22.46906208	22.25300036	82.61691816	2.314011522
c21_1841_3	d21_1841_3	1841_3	105.7692308	1841	NA	NA	6/12/2018	8/20/2018	F	NA	NA	hFMT6	noCDI	NA	cef	no	11	d21	AMS001	hFMT	FMT	HF9	BL6	SPF-Young	21	21	cecal	0	mouse	0.086598	0.08429	0.082579	0.086	11.863873	11.627879	12.109645	2.957939	2.941719	2.974159	2.9681	137	176.136364	155.134938	221.45879300000001	23268	16.81910056	25.49334863	50.18844125	0
c21_1901_1	d21_1901_1	1901_1	94.02173913	1901	NA	NA	9/28/2018	11/26/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF10	BL6	SPF-Young	21	21	cecal	20000	mouse	0.068893	0.037702	0.036866	0.038537	26.523984	25.949063	27.124958	3.924648	3.903661	3.945635	3.954775	385	524.451613	474.117731	603.214176	20098	18.32848097	6.858757013	130.2458311	12.84521277
c21_1901_3	d21_1901_3	1901_3	91.40271493	1901	NA	NA	9/28/2018	11/26/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF10	BL6	SPF-Young	21	21	cecal	0	mouse	0.070003	0.035098	0.034284	0.035912	28.491286	27.845516	29.16772	4.018842	3.9974	4.040283	4.050865	407	550.227273	499.468844	628.848254	19531	20.85984658	12.40151512	137.0436483	18.35641999
c21_1901_4	d21_1901_4	1901_4	100.4273504	1901	NA	NA	9/28/2018	11/26/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF10	BL6	SPF-Young	21	21	cecal	20000	mouse	0.075769	0.037494	0.036588	0.038401	26.670671	26.041284	27.331234	3.914597	3.893132	3.936062	3.942257	352	437.344828	403.427778	493.630456	18483	18.55726615	12.46731166	100.6982784	10.52459748
c21_1903_2	d21_1903_1	1903_1	NA	1903	NA	NA	10/1/2018	11/26/2018	M	NA	NA	tri	noCDI	NA	cef	no	11	d21	tributyrin	NA	tri	HF10	BL6	SPF-Young	21	21	cecal	NA	mouse	0.063643	0.43646	0.432886	0.440035	2.291158	2.272545	2.310078	0.935894	0.92711	0.944677	0.942781	36	53.272727	41.893274	86.625021	21585	3.249548495	0.440490921	6.899065712	NA
c21_1904_1	d21_1904_1	1904_1	95.83333333	1904	NA	NA	10/1/2018	11/26/2018	F	NA	NA	tri	CDI	0	cef	no	11	d21	tributyrin	NA	Rc	HF10	BL6	SPF-Young	21	21	cecal	74000000	mouse	0.090167	0.326191	0.322765	0.329617	3.065689	3.033823	3.098231	1.267747	1.257557	1.277936	1.272166	34	56.75	40.278065	116.439819	21310	6.948136761	10.13129438	15.28141087	2.133794654
c21_1904_2	d21_1904_2	1904_2	96.11650485	1904	NA	NA	10/1/2018	11/26/2018	F	NA	NA	tri	CDI	0	cef	no	11	d21	tributyrin	NA	Rc	HF10	BL6	SPF-Young	21	21	cecal	160000000	mouse	0.112902	0.21603	0.213651	0.21841	4.628978	4.578546	4.680533	1.695831	1.686552	1.705109	1.699774	41	52.375	44.247369	80.844757	25669	NA	8.735159053	10.35107426	2.397362346
c21_1904_3	d21_1904_3	1904_3	100	1904	NA	NA	10/1/2018	11/26/2018	F	NA	NA	tri	CDI	0	cef	no	11	d21	tributyrin	NA	Rc	HF10	BL6	SPF-Young	21	21	cecal	190000000	mouse	0.07646	0.272473	0.269086	0.275859	3.670095	3.625036	3.716288	1.474455	1.465397	1.483513	1.481698	48	77.25	59.318328	123.590891	25129	NA	12.85248557	38.54658361	3.645412961
c21_1905_1	d21_1905_1	1905_1	95.19230769	1905	NA	NA	10/9/2018	11/26/2018	F	NA	NA	hFMT6_tri	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF10	BL6	SPF-Young	21	21	cecal	168000000	mouse	0.095154	0.08275	0.081021	0.08448	12.084523	11.837159	12.342445	2.985884	2.968272	3.003496	2.995977	127	166.176471	144.229588	216.079081	20111	16.9258685	13.94857509	68.1660775	2.969268764
c21_1905_2	d21_1905_2	1905_2	95.71428571	1905	NA	NA	10/9/2018	11/26/2018	F	NA	NA	hFMT6_tri	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF10	BL6	SPF-Young	21	21	cecal	10000000	mouse	0.080399	0.093519	0.091288	0.09575	10.693013	10.443903	10.954296	2.916572	2.896045	2.937099	2.928893	133	164.5	146.812008	204.839662	16692	16.48716578	11.52387024	61.28344228	3.186707749
c21_1906_3	d21_1906_3	1906_3	97.13114754	1906	NA	NA	10/9/2018	11/26/2018	M	NA	NA	tri	CDI	0	cef	no	11	d21	tributyrin	NA	Rc	HF10	BL6	SPF-Young	21	21	cecal	37037037.04	mouse	6.5	0.012821	-0.0172	0.042841	78	23.342132	-58.139661	2.458311	2.079491	2.837132	4.359292	12	39.5	18.663101	125.498205	13	6.356591714	4.048806602	5.581566031	1.353495765
c21_1907_1	d21_1907_1	1907_1	97.30769231	1907	NA	NA	10/9/2018	11/26/2018	M	NA	NA	hFMT6_tri	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF10	BL6	SPF-Young	21	21	cecal	6000000	mouse	0.08142	0.094477	0.092784	0.096169	10.584605	10.398328	10.777678	2.833719	2.817206	2.850231	2.843069	130	188.571429	156.204209	260.918368	23641	14.23310934	8.21466551	43.03153932	3.643329617
c21_1907_2	d21_1907_2	1907_2	103.4482759	1907	NA	NA	10/9/2018	11/26/2018	M	NA	NA	hFMT6_tri	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF10	BL6	SPF-Young	21	21	cecal	50000000	mouse	0.068202	0.105485	0.103268	0.107701	9.480064	9.284985	9.683516	2.741118	2.723282	2.758953	2.755254	139	204.619048	171.469688	271.611664	20460	13.13961253	3.248258469	32.2344263	3.667112006
c21_1907_3	d21_1907_3	1907_3	96.42857143	1907	NA	NA	10/9/2018	11/26/2018	M	NA	NA	hFMT6_tri	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF10	BL6	SPF-Young	21	21	cecal	220000000	mouse	0.087349	0.099551	0.097676	0.101426	10.045118	9.859451	10.237912	2.758453	2.739922	2.776985	2.769941	115	161.3125	135.634366	218.945413	18052	19.31591347	13.38438793	83.5706299	5.267327036
cd42_1676_1	d42_1676_1	1676_1	NA	1676	NA	NA	6/9/2017	7/24/2017	M	NA	NA	mFMT5	CDI	0	cef	no	11_25	d42	yWT_filtrate	mFMT	Rc	HF5-contam	BL6	SPF-Young	42	42	cecal	5500000	mouse	0.102739	0.360495	0.355003	0.365987	2.773965	2.73234	2.816879	1.235162	1.221465	1.248858	1.240651	27	42.6	31.229841	84.534077	15256	6.681941382381	4.05125074139599	73.8937079542288	6.00126367693287
cd42_1676_2	d42_1676_2	1676_2	NA	1676	NA	NA	6/9/2017	7/24/2017	M	NA	NA	mFMT5	CDI	0	cef	no	11_25	d42	yWT_filtrate	mFMT	Rc	HF5-contam	BL6	SPF-Young	42	42	cecal	3500000	mouse	0.08677	0.338963	0.335193	0.342733	2.950174	2.917725	2.983353	1.276401	1.266594	1.286209	1.280334	34	45.375	37.247369	73.844757	26847	6.81721594965884	2.705234170522	62.4769222433443	5.61332579523072
cd42_1677_1	d42_1677_1	1677_1	NA	1677	NA	NA	6/8/2017	7/24/2017	F	NA	NA	mFMT5	CDI	0	cef	no	11_25	d42	yWT_filtrate	mFMT	Rc	HF5-contam	BL6	SPF-Young	42	42	cecal	3000000	mouse	0.085013	0.280068	0.277226	0.28291	3.570564	3.534693	3.607171	1.440797	1.432726	1.448868	1.445656	42	56.615385	46.993963	84.773539	31345	7.6750964332816	4.36924667677773	69.9007906719246	6.57936718692038
cd42_1677_2	d42_1677_2	1677_2	NA	1677	NA	NA	6/8/2017	7/24/2017	F	NA	NA	mFMT5	CDI	0	cef	no	11_25	d42	yWT_filtrate	mFMT	Rc	HF5-contam	BL6	SPF-Young	42	42	cecal	2700000	mouse	0.064549	0.309842	0.306341	0.313343	3.227448	3.191388	3.264332	1.376715	1.367259	1.386172	1.381215	50	73.75	57.988118	120.612688	31125	8.1990713394464	6.11074432048474	73.0809788970899	6.3213758178799
cd42_1681_2	d42_1681_2	1681_2	NA	1681	NA	NA	6/18/2017	7/24/2017	M	NA	NA	mFMT1	CDI	0	cef	no	11_25	d42	yWT	mFMT	Rc	HF5-contam	BL6	SPF-Young	42	42	cecal	65000000	mouse	0.068555	0.132607	0.130766	0.134448	7.541061	7.437798	7.647231	2.351307	2.336725	2.365889	2.362093	110	155.882353	130.681059	211.793161	23373	18.9876461639279	10.5396720284674	104.732403396076	5.08593311945263
cd42_1681_3	d42_1681_3	1681_3	NA	1681	NA	NA	6/18/2017	7/24/2017	M	NA	NA	mFMT1	CDI	0	cef	no	11_25	d42	yWT	mFMT	Rc	HF5-contam	BL6	SPF-Young	42	42	cecal	37000000	mouse	0.079964	0.12632	0.124355	0.128285	7.916407	7.795129	8.041518	2.355596	2.339575	2.371617	2.370502	99	179.571429	136.549411	271.885671	17152	41.1247297812435	29.1955614341261	222.410941400475	5.33568397793408
cd42_198_1	d42_198_1	198_1	NA	198	NA	NA	6/12/2017	7/24/2017	M	NA	NA	mFMT1	CDI	0	cef	no	11_25	d42	yWT	mFMT	Rc	HF5-contam	RAG	SPF-Young	42	42	cecal	5000000	mouse	0.121349	0.098103	0.095827	0.10038	10.193333	9.962163	10.435486	2.650635	2.626674	2.674595	2.670461	84	144.545455	109.715993	226.547559	8427	18.4080203281868	9.51126780318577	65.9271628450905	8.82458937154295
cd42_198_2	d42_198_2	198_2	NA	198	NA	NA	6/12/2017	7/24/2017	M	NA	NA	mFMT1	CDI	0	cef	no	11_25	d42	yWT	mFMT	Rc	HF5-contam	RAG	SPF-Young	42	42	cecal	3300000	mouse	0.084935	0.103279	0.101299	0.105259	9.682552	9.500416	9.871807	2.680207	2.663827	2.696587	2.692739	114	241.5	171.692292	395.775075	20157	24.2265390574286	11.7970793579986	75.6966290588312	11.1293967863616
cd42_199_2	d42_199_2	199_2	NA	199	NA	NA	6/12/2017	7/24/2017	F	NA	NA	mFMT1	CDI	0	cef	no	11_25	d42	yWT	mFMT	Rc	HF5-contam	RAG	SPF-Young	42	42	cecal	9200000	mouse	0.086329	0.160883	0.15846	0.163307	6.215687	6.123444	6.310752	2.180142	2.166092	2.194192	2.186784	72	86.4375	77.15154	112.461959	23937	14.8891692426682	4.85372058074292	71.5018154759403	10.2349844479927
cd42_199_3	d42_199_3	199_3	NA	199	NA	NA	6/12/2017	7/24/2017	F	NA	NA	mFMT1	CDI	0	cef	no	11_25	d42	yWT	mFMT	Rc	HF5-contam	RAG	SPF-Young	42	42	cecal	12900000	mouse	0.076136	0.193153	0.190428	0.195879	5.177235	5.105202	5.251329	2.003084	1.988801	2.017368	2.009845	68	115.25	85.878105	192.876909	24867	11.7701486819519	3.61702709983732	53.3555817333978	6.64529127139264
cd42_201_1	d42_201_1	201_1	108.5227273	201	NA	NA	6/18/2017	7/24/2017	F	NA	NA	mFMT1	noCDI	NA	cef	no	11_25	d42	yWT	mFMT	FMT	HF5-contam	RAG	SPF-Young	42	42	cecal	2400000	mouse	0.057403	0.580688	0.57439	0.586986	1.722095	1.703619	1.740976	0.682994	0.671279	0.694709	0.689934	30	47.142857	35.203695	86.474788	16633	6.64341381575123	8.5649517928278	46.1297517143102	6.61740031257745
cd42_201_2	d42_201_2	201_2	112.6582278	201	NA	NA	6/18/2017	7/24/2017	F	NA	NA	mFMT1	noCDI	NA	cef	no	11_25	d42	yWT	mFMT	FMT	HF5-contam	RAG	SPF-Young	42	42	cecal	20600000	mouse	0.059748	0.464919	0.462923	0.466915	2.150911	2.141716	2.160185	0.853934	0.845726	0.862143	0.858502	36	53	41.335637	90.164103	28159	6.44991981445508	3.09956447398694	33.4604373615692	5.51634132480518
cd42_201_3	d42_201_3	201_3	110.2857143	201	NA	NA	6/18/2017	7/24/2017	F	NA	NA	mFMT1	noCDI	NA	cef	no	11_25	d42	yWT	mFMT	FMT	HF5-contam	RAG	SPF-Young	42	42	cecal	NA	mouse	0.06921	0.466091	0.464167	0.468016	2.145502	2.13668	2.154398	0.841743	0.834334	0.849152	0.845683	31	55	38.120549	111.89264	29260	5.91053388163837	3.75895532190155	60.6457099373857	6.16987720067922
cecal_d21_1800_1	d21_1800_1	1800_1	117.9104478	1800	NA	NA	8/17/2018	5/14/2018	M	NA	NA	mFMT5	CDI	0	cef	no	11	d21	yWT_filtrate	mFMT	Rc	HF8	BL6	SPF-Young	21	21	cecal	90000000	mouse	0.059208	0.115682	0.113211	0.118153	8.644401	8.463616	8.833078	2.813296	2.795169	2.831424	2.824665	146	197.130435	170.886956	251.047854	24688	7.49325775040897	3.97863428756114	83.2636691757622	13.5152406259272
cecal_d21_1800_2	d21_1800_2	1800_2	130.1775148	1800	NA	NA	8/17/2018	5/14/2018	M	NA	NA	mFMT5	CDI	0	cef	no	11	d21	yWT_filtrate	mFMT	Rc	HF8	BL6	SPF-Young	21	21	cecal	82000000	mouse	0.040379	0.151009	0.148067	0.153951	6.622124	6.495572	6.753706	2.4861780000000002	2.467622	2.504734	2.502622	164	276.954545	224.068683	376.402349	24267	7.62530134948956	4.7391082381679	57.1969135285051	15.5743662617008
cecal_d21_1800_3	d21_1800_3	1800_3	112.3222749	1800	NA	NA	8/17/2018	5/14/2018	M	NA	NA	mFMT5	CDI	0	cef	no	11	d21	yWT_filtrate	mFMT	Rc	HF8	BL6	SPF-Young	21	21	cecal	29000000	mouse	0.040575	0.099781	0.097373	0.10219	10.021902	9.785669	10.269823	3.159108	3.138505	3.17971	3.174259	247	384.391304	322.12672	498.260411	26063	7.85433993801823	7.25072547586757	93.6647782721192	25.9752767263458
cecal_d21_1802_1	d21_1802_1	1802_1	106.2893082	1802	NA	NA	4/17/2018	5/14/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF8	BL6	SPF-Young	21	21	cecal	0	mouse	0.078096	0.048687	0.047643	0.049732	20.539172	20.107931	20.989317	3.594055	3.575961	3.612149	3.612686	263	457.04	374.078633	601.962773	22893	16.0239263181707	8.05660674958947	81.97803133759	22.5113671030274
cecal_d21_1802_2	d21_1802_2	1802_2	100	1802	NA	NA	4/17/2018	5/14/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF8	BL6	SPF-Young	21	21	cecal	0	mouse	0.088236	0.044271	0.043189	0.045352	22.588372	22.049636	23.154094	3.680341	3.655591	3.70509	3.710426	256	450.04	367.078633	594.962773	12820	14.7206070902087	12.0007263200001	71.9440764889716	16.0530333981976
cecal_d21_1802_3	d21_1802_3	1802_3	102.3255814	1802	NA	NA	4/17/2018	5/14/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF8	BL6	SPF-Young	21	21	cecal	0	mouse	0.083274	0.049828	0.048558	0.051098	20.068993	19.570221	20.593854	3.603749	3.582382	3.625116	3.623979	241	344.551724	298.392094	427.836877	17148	10.438156043484	8.33892184547931	83.9465521577123	21.1439216005547
cecal_d21_1803_2	d21_1803_1	1803_1	NA	1803	NA	NA	4/17/2018	5/14/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF8	BL6	SPF-Young	21	21	cecal	NA	mouse	0.073287	0.047379	0.046092	0.048665	21.106583	20.548708	21.695595	3.778572	3.757691	3.799454	3.799015	288	454.16129	385.482032	571.227316	20109	12.8915587177591	4.76832686347677	109.831524594363	37.0017598425249
cecal_d21_1806_3	d21_1806_3	1806_3	107.0063694	1806	NA	NA	4/17/2018	5/14/2018	F	NA	NA	mFMT5	CDI	0	cef	no	11	d21	yWT_filtrate	mFMT	Rc	HF8	BL6	SPF-Young	21	21	cecal	1480000000	mouse	0.023383	0.375136	0.371189	0.379083	2.6657	2.637944	2.694046	1.277566	1.262834	1.292298	1.291423	114	161.04	136.975751	210.308563	26325	5.25259198576373	4.28779893103211	25.3382099275102	1.30616811369736
cecal_d21_1806_4	d21_1806_4	1806_4	103.6363636	1806	NA	NA	4/17/2018	5/14/2018	F	NA	NA	mFMT5	CDI	0	cef	no	11	d21	yWT_filtrate	mFMT	Rc	HF8	BL6	SPF-Young	21	21	cecal	510000000	mouse	0.022829	0.350426	0.342429	0.358423	2.853668	2.789997	2.920313	1.880487	1.853028	1.907946	1.896556	125	170.315789	145.865153	223.418676	16620	NA	3.4941578922369	22.3340031837999	1.38451772171729
cecal_d25_2935	d25_2935	2935	90.38461538	1096	2	2A	1/13/18	3/12/18	M	AMS005	hFMT7	none	CDI	21	no	no	no	d4	NA	NA	DC	GF2	BL6	GF	25	4	cecal	209000000	mouse	0.073778	0.066769	0.065551	0.067987	14.977033	14.708687	15.255352	3.187487	3.17144	3.203534	3.203009	203	347.391304	282.323244	465.83404	25492	31.8284040105939	8.4972552069504	105.351525206648	14.7449622080524
cecal_d25_3739	d25_3739	3739	87.91666667	1096	2	2A	1/13/18	3/12/18	M	AMS005	hFMT7	none	CDI	21	no	no	no	d4	NA	NA	DC	GF2	BL6	GF	25	4	cecal	209000000	mouse	0.06545	0.108361	0.105569	0.111153	9.228393	8.996569	9.472479	2.907905	2.886508	2.929302	2.92101	141	180.26087	159.358427	224.962304	18459	21.0489188387375	6.27427060574789	63.431360087009	9.12643836418609
cecal_d25_5925	d25_5925	5925	101.3636364	1126	1	1A	1/19/18	3/12/18	M	AMS001	hFMT6	none	CDI	21	no	no	no	d4	NA	NA	DC	GF2	BL6	GF	25	4	cecal	0	mouse	0.067016	0.097528	0.095583	0.099473	10.253494	10.053023	10.462122	2.914864	2.894265	2.935464	2.928686	153	216.75	184.123302	283.579411	19323	17.4038634369574	3.10326006715866	54.9042923789459	5.3050586542768
cecal_d25_5942	d25_5942	5942	100.9090909	1126	1	1A	1/19/18	3/12/18	M	AMS001	hFMT6	none	CDI	21	no	no	no	d4	NA	NA	DC	GF2	BL6	GF	25	4	cecal	0	mouse	0.083716	0.095561	0.093066	0.098055	10.464547	10.198322	10.745045	2.940917	2.91656	2.965274	2.955326	125	215.3	164.381773	332.052384	13139	16.7346795181601	2.88412037734207	47.6951529477811	3.84824563015633
cecal_d28_429	dc28_5505	5505	NA	1421	1	1A	9/4/18	11/12/18	M	AMS001	hFMT6	NA	CDI	21	no	no	d7	NA	NA	NA	DC	GF3	BL6	GF	28	7	cecal	0	mouse	0.077382	0.079282	0.077902	0.080661	12.613206	12.397492	12.83656	3.079838	3.062824	3.096852	3.090675	163	216.26087	189.075192	271.790004	25440	8.557681534	3.718304791	28.3936668	2.478099159
cecal_d28_5220	dc28_429	429	NA	1465	2	2A	9/25/18	11/12/18	F	AMS005	hFMT7	NA	CDI	21	no	no	d7	NA	NA	NA	DC	GF3	BL6	GF	28	7	cecal	202000000	mouse	0.061028	0.141258	0.138215	0.144301	7.079244	6.92997	7.23509	2.59984	2.583301	2.616379	2.609146	116	185	148.034901	264.619159	27155	7.302781828	4.556717485	52.58083086	5.708473611
cecal_d28_5505	dc28_5218	5218	NA	1421	1	1A	9/4/18	11/12/18	M	AMS001	hFMT6	NA	CDI	21	no	no	d7	NA	NA	NA	DC	GF3	BL6	GF	28	7	cecal	0	mouse	0.076654	0.083093	0.08141	0.084775	12.034749	11.795913	12.283456	3.06969	3.050757	3.088623	3.081331	157	216.368421	185.41408	281.044469	21549	17.44325885	6.388505901	70.24870869	5.305165465
