seqID	sampleID	mouse	percent_weight	CageID	Group	CageID_Assigned	BD	ExpStart	sex	Gavaged_fecal_material	Mb_input	FMT	Cdiff_infection	Cdiff_day_infected	ABX	clinda35	FMT_day	Harvest_pi	FMT_input	FMT_type	Model	Experiment	Mouse_genotype	Mouse_status	ExpDay	day	type	CFU	sampleType	simpsoneven	simpson	simpson_lci	simpson_hci	invsimpson	invsimpson_lci	invsimpson_hci	shannon	shannon_lci	shannon_hci	npshannon	sobs	chao	chao_lci	chao_hci	nseqs
c21_1837_2	d21_1837_2	1837_2	98.45559846	1837	NA	NA	6/11/2018	8/20/2018	M	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	350000000	mouse	0.059065	0.161243	0.157903	0.164583	6.201829	6.075964	6.333019	2.439223	2.420096	2.45835	2.44746	105	143.153846	120.743025	197.467362	22261
c21_1837_3	d21_1837_3	1837_3	101.8315018	1837	NA	NA	6/11/2018	8/20/2018	M	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	60000000	mouse	0.049953	0.188855	0.185539	0.192172	5.295059	5.203681	5.389703	2.238277	2.219155	2.257398	2.246766	106	131.375	116.208047	169.07677	22840
c21_1839_1	d21_1839_1	1839_1	93.39622642	1839	NA	NA	6/12/2018	8/20/2018	F	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	1110000000	mouse	0.066891	0.120562	0.118053	0.123072	8.294462	8.125329	8.470785	2.66715	2.642852	2.691448	2.679337	124	145.368421	132.615934	176.995927	14347
c21_1839_2	d21_1839_2	1839_2	97.78761062	1839	NA	NA	6/12/2018	8/20/2018	F	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	350000000	mouse	0.059556	0.11269	0.110644	0.114736	8.87389	8.715626	9.038008	2.683412	2.665626	2.701199	2.697175	149	204.038462	176.695323	258.377035	22546
c21_1839_3	d21_1839_3	1839_3	97.64150943	1839	NA	NA	6/12/2018	8/20/2018	F	NA	NA	hFMT7	CDI	0	cef	no	11	d21	AMS005	hFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	1600000000	mouse	0.071257	0.119947	0.117116	0.122777	8.337036	8.144828	8.538535	2.650354	2.625646	2.675062	2.666265	117	166.4	138.910067	228.380764	12547
c21_1840_1	d21_1840_1	1840_1	102.0905923	1840	NA	NA	6/13/2018	8/20/2018	M	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	0	mouse	0.051922	0.063147	0.061518	0.064776	15.83618	15.437926	16.255527	3.596986	3.573634	3.620338	3.619281	305	400.923077	360.343644	471.256431	19748
c21_1840_2	d21_1840_2	1840_2	104.6428571	1840	NA	NA	6/13/2018	8/20/2018	M	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	0	mouse	0.065371	0.055026	0.053131	0.056921	18.173196	17.568251	18.821288	3.753374	3.726295	3.780452	3.780706	278	379.527778	336.203933	455.099538	13754
c21_1840_3	d21_1840_3	1840_3	99.26199262	1840	NA	NA	6/13/2018	8/20/2018	M	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF9	BL6	SPF-Young	21	21	cecal	0	mouse	0.099574	0.035114	0.03378	0.036449	28.47829	27.435397	29.603602	4.105383	4.080557	4.130209	4.130109	286	379.363636	338.295801	452.681999	13207
c21_1841_1	d21_1841_1	1841_1	96.77419355	1841	NA	NA	6/12/2018	8/20/2018	F	NA	NA	hFMT6	noCDI	NA	cef	no	11	d21	AMS001	hFMT	FMT	HF9	BL6	SPF-Young	21	21	cecal	0	mouse	0.12331	0.085365	0.083457	0.087272	11.714429	11.458401	11.98216	2.868513	2.850767	2.88626	2.877694	95	122	105.490264	164.49301	16014
c21_1841_2	d21_1841_2	1841_2	99.02912621	1841	NA	NA	6/12/2018	8/20/2018	F	NA	NA	hFMT6	noCDI	NA	cef	no	11	d21	AMS001	hFMT	FMT	HF9	BL6	SPF-Young	21	21	cecal	0	mouse	0.104963	0.088214	0.086579	0.08985	11.336045	11.129677	11.550211	2.846039	2.830298	2.861781	2.854776	108	178.3	137.745744	274.144443	21474
c21_1841_3	d21_1841_3	1841_3	105.7692308	1841	NA	NA	6/12/2018	8/20/2018	F	NA	NA	hFMT6	noCDI	NA	cef	no	11	d21	AMS001	hFMT	FMT	HF9	BL6	SPF-Young	21	21	cecal	0	mouse	0.086598	0.08429	0.082579	0.086	11.863873	11.627879	12.109645	2.957939	2.941719	2.974159	2.9681	137	176.136364	155.134938	221.45879300000001	23268
c21_1901_1	d21_1901_1	1901_1	94.02173913	1901	NA	NA	9/28/2018	11/26/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF10	BL6	SPF-Young	21	21	cecal	20000	mouse	0.068893	0.037702	0.036866	0.038537	26.523984	25.949063	27.124958	3.924648	3.903661	3.945635	3.954775	385	524.451613	474.117731	603.214176	20098
c21_1901_3	d21_1901_3	1901_3	91.40271493	1901	NA	NA	9/28/2018	11/26/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF10	BL6	SPF-Young	21	21	cecal	0	mouse	0.070003	0.035098	0.034284	0.035912	28.491286	27.845516	29.16772	4.018842	3.9974	4.040283	4.050865	407	550.227273	499.468844	628.848254	19531
c21_1901_4	d21_1901_4	1901_4	100.4273504	1901	NA	NA	9/28/2018	11/26/2018	F	NA	NA	mFMT1	CDI	0	cef	no	11	d21	yWT	mFMT	Rc	HF10	BL6	SPF-Young	21	21	cecal	20000	mouse	0.075769	0.037494	0.036588	0.038401	26.670671	26.041284	27.331234	3.914597	3.893132	3.936062	3.942257	352	437.344828	403.427778	493.630456	18483
c21_1903_2	d21_1903_1	1903_1	NA	1903	NA	NA	10/1/2018	11/26/2018	M	NA	NA	tri	noCDI	NA	cef	no	11	d21	tributyrin	NA	tri	HF10	BL6	SPF-Young	21	21	cecal	NA	mouse	0.063643	0.43646	0.432886	0.440035	2.291158	2.272545	2.310078	0.935894	0.92711	0.944677	0.942781	36	53.272727	41.893274	86.625021	21585
c21_1904_1	d21_1904_1	1904_1	95.83333333	1904	NA	NA	10/1/2018	11/26/2018	F	NA	NA	tri	CDI	0	cef	no	11	d21	tributyrin	NA	Rc	HF10	BL6	SPF-Young	21	21	cecal	74000000	mouse	0.090167	0.326191	0.322765	0.329617	3.065689	3.033823	3.098231	1.267747	1.257557	1.277936	1.272166	34	56.75	40.278065	116.439819	21310
c21_1904_2	d21_1904_2	1904_2	96.11650485	1904	NA	NA	10/1/2018	11/26/2018	F	NA	NA	tri	CDI	0	cef	no	11	d21	tributyrin	NA	Rc	HF10	BL6	SPF-Young	21	21	cecal	160000000	mouse	0.112902	0.21603	0.213651	0.21841	4.628978	4.578546	4.680533	1.695831	1.686552	1.705109	1.699774	41	52.375	44.247369	80.844757	25669
c21_1904_3	d21_1904_3	1904_3	100	1904	NA	NA	10/1/2018	11/26/2018	F	NA	NA	tri	CDI	0	cef	no	11	d21	tributyrin	NA	Rc	HF10	BL6	SPF-Young	21	21	cecal	190000000	mouse	0.07646	0.272473	0.269086	0.275859	3.670095	3.625036	3.716288	1.474455	1.465397	1.483513	1.481698	48	77.25	59.318328	123.590891	25129
c21_1905_1	d21_1905_1	1905_1	95.19230769	1905	NA	NA	10/9/2018	11/26/2018	F	NA	NA	hFMT6_tri	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF10	BL6	SPF-Young	21	21	cecal	168000000	mouse	0.095154	0.08275	0.081021	0.08448	12.084523	11.837159	12.342445	2.985884	2.968272	3.003496	2.995977	127	166.176471	144.229588	216.079081	20111
c21_1905_2	d21_1905_2	1905_2	95.71428571	1905	NA	NA	10/9/2018	11/26/2018	F	NA	NA	hFMT6_tri	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF10	BL6	SPF-Young	21	21	cecal	10000000	mouse	0.080399	0.093519	0.091288	0.09575	10.693013	10.443903	10.954296	2.916572	2.896045	2.937099	2.928893	133	164.5	146.812008	204.839662	16692
c21_1906_1	d21_1906_1	1906_1	96.10894942	1906	NA	NA	10/9/2018	11/26/2018	M	NA	NA	tri	CDI	0	cef	no	11	d21	tributyrin	NA	Rc	HF10	BL6	SPF-Young	21	21	cecal	62000000	mouse	0.05902	0.352991	0.350216	0.355766	2.832936	2.810838	2.855384	1.178455	1.170254	1.186656	1.18491	48	102.375	68.998222	188.804335	31181
c21_1906_3	d21_1906_3	1906_3	97.13114754	1906	NA	NA	10/9/2018	11/26/2018	M	NA	NA	tri	CDI	0	cef	no	11	d21	tributyrin	NA	Rc	HF10	BL6	SPF-Young	21	21	cecal	37037037.04	mouse	6.5	0.012821	-0.0172	0.042841	78	23.342132	-58.139661	2.458311	2.079491	2.837132	4.359292	12	39.5	18.663101	125.498205	13
c21_1907_1	d21_1907_1	1907_1	97.30769231	1907	NA	NA	10/9/2018	11/26/2018	M	NA	NA	hFMT6_tri	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF10	BL6	SPF-Young	21	21	cecal	6000000	mouse	0.08142	0.094477	0.092784	0.096169	10.584605	10.398328	10.777678	2.833719	2.817206	2.850231	2.843069	130	188.571429	156.204209	260.918368	23641
c21_1907_2	d21_1907_2	1907_2	103.4482759	1907	NA	NA	10/9/2018	11/26/2018	M	NA	NA	hFMT6_tri	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF10	BL6	SPF-Young	21	21	cecal	50000000	mouse	0.068202	0.105485	0.103268	0.107701	9.480064	9.284985	9.683516	2.741118	2.723282	2.758953	2.755254	139	204.619048	171.469688	271.611664	20460
c21_1907_3	d21_1907_3	1907_3	96.42857143	1907	NA	NA	10/9/2018	11/26/2018	M	NA	NA	hFMT6_tri	CDI	0	cef	no	11	d21	AMS001	hFMT	Rc	HF10	BL6	SPF-Young	21	21	cecal	220000000	mouse	0.087349	0.099551	0.097676	0.101426	10.045118	9.859451	10.237912	2.758453	2.739922	2.776985	2.769941	115	161.3125	135.634366	218.945413	18052
cd42_1676_1	d42_1676_1	1676_1	NA	1676	NA	NA	6/9/2017	7/24/2017	M	NA	NA	mFMT5	CDI	0	cef	no	11_25	d42	yWT_filtrate	mFMT	Rc	HF5-contam	BL6	SPF-Young	42	42	cecal	5500000	mouse	0.102739	0.360495	0.355003	0.365987	2.773965	2.73234	2.816879	1.235162	1.221465	1.248858	1.240651	27	42.6	31.229841	84.534077	15256
cd42_1676_2	d42_1676_2	1676_2	NA	1676	NA	NA	6/9/2017	7/24/2017	M	NA	NA	mFMT5	CDI	0	cef	no	11_25	d42	yWT_filtrate	mFMT	Rc	HF5-contam	BL6	SPF-Young	42	42	cecal	3500000	mouse	0.08677	0.338963	0.335193	0.342733	2.950174	2.917725	2.983353	1.276401	1.266594	1.286209	1.280334	34	45.375	37.247369	73.844757	26847
cd42_1676_3	d42_1676_3	1676_3	NA	1676	NA	NA	6/9/2017	7/24/2017	M	NA	NA	mFMT5	CDI	0	cef	no	11_25	d42	yWT_filtrate	mFMT	Rc	HF5-contam	BL6	SPF-Young	42	42	cecal	10100000	mouse	0.062913	0.324385	0.321772	0.326997	3.08276	3.058134	3.107786	1.309258	1.301958	1.316559	1.313097	49	86.5	62.685322	151.756074	45990
cd42_1676_4	d42_1676_4	1676_4	NA	1676	NA	NA	6/9/2017	7/24/2017	M	NA	NA	mFMT5	CDI	0	cef	no	11_25	d42	yWT_filtrate	mFMT	Rc	HF5-contam	BL6	SPF-Young	42	42	cecal	NA	mouse	0.054604	0.352185	0.348729	0.355641	2.839415	2.811824	2.867554	1.249048	1.24032	1.257775	1.25484	52	122.857143	79.367993	235.452788	36288
cd42_1677_1	d42_1677_1	1677_1	NA	1677	NA	NA	6/8/2017	7/24/2017	F	NA	NA	mFMT5	CDI	0	cef	no	11_25	d42	yWT_filtrate	mFMT	Rc	HF5-contam	BL6	SPF-Young	42	42	cecal	3000000	mouse	0.085013	0.280068	0.277226	0.28291	3.570564	3.534693	3.607171	1.440797	1.432726	1.448868	1.445656	42	56.615385	46.993963	84.773539	31345
cd42_1677_2	d42_1677_2	1677_2	NA	1677	NA	NA	6/8/2017	7/24/2017	F	NA	NA	mFMT5	CDI	0	cef	no	11_25	d42	yWT_filtrate	mFMT	Rc	HF5-contam	BL6	SPF-Young	42	42	cecal	2700000	mouse	0.064549	0.309842	0.306341	0.313343	3.227448	3.191388	3.264332	1.376715	1.367259	1.386172	1.381215	50	73.75	57.988118	120.612688	31125
cd42_1677_3	d42_1677_3	1677_3	NA	1677	NA	NA	6/8/2017	7/24/2017	F	NA	NA	mFMT5	CDI	0	cef	no	11_25	d42	yWT_filtrate	mFMT	Rc	HF5-contam	BL6	SPF-Young	42	42	cecal	4500000	mouse	0.06525	0.333164	0.329827	0.336501	3.001521	2.971755	3.03189	1.319287	1.311627	1.326947	1.322937	46	61.833333	51.409268	92.345356	44359
cd42_1677_4	d42_1677_4	1677_4	NA	1677	NA	NA	6/8/2017	7/24/2017	F	NA	NA	mFMT5	CDI	0	cef	no	11_25	d42	yWT_filtrate	mFMT	Rc	HF5-contam	BL6	SPF-Young	42	42	cecal	21800000	mouse	0.091992	0.286065	0.283273	0.288856	3.495714	3.461929	3.530165	1.409699	1.401565	1.417833	1.414013	38	66.5	47.183307	126.448529	29758
cd42_1681_2	d42_1681_2	1681_2	NA	1681	NA	NA	6/18/2017	7/24/2017	M	NA	NA	mFMT1	CDI	0	cef	no	11_25	d42	yWT	mFMT	Rc	HF5-contam	BL6	SPF-Young	42	42	cecal	65000000	mouse	0.068555	0.132607	0.130766	0.134448	7.541061	7.437798	7.647231	2.351307	2.336725	2.365889	2.362093	110	155.882353	130.681059	211.793161	23373
cd42_1681_3	d42_1681_3	1681_3	NA	1681	NA	NA	6/18/2017	7/24/2017	M	NA	NA	mFMT1	CDI	0	cef	no	11_25	d42	yWT	mFMT	Rc	HF5-contam	BL6	SPF-Young	42	42	cecal	37000000	mouse	0.079964	0.12632	0.124355	0.128285	7.916407	7.795129	8.041518	2.355596	2.339575	2.371617	2.370502	99	179.571429	136.549411	271.885671	17152
cd42_198_1	d42_198_1	198_1	NA	198	NA	NA	6/12/2017	7/24/2017	M	NA	NA	mFMT1	CDI	0	cef	no	11_25	d42	yWT	mFMT	Rc	HF5-contam	RAG	SPF-Young	42	42	cecal	5000000	mouse	0.121349	0.098103	0.095827	0.10038	10.193333	9.962163	10.435486	2.650635	2.626674	2.674595	2.670461	84	144.545455	109.715993	226.547559	8427
cd42_198_2	d42_198_2	198_2	NA	198	NA	NA	6/12/2017	7/24/2017	M	NA	NA	mFMT1	CDI	0	cef	no	11_25	d42	yWT	mFMT	Rc	HF5-contam	RAG	SPF-Young	42	42	cecal	3300000	mouse	0.084935	0.103279	0.101299	0.105259	9.682552	9.500416	9.871807	2.680207	2.663827	2.696587	2.692739	114	241.5	171.692292	395.775075	20157
cd42_198_3	d42_198_3	198_3	NA	198	NA	NA	6/12/2017	7/24/2017	M	NA	NA	mFMT1	CDI	0	cef	no	11_25	d42	yWT	mFMT	Rc	HF5-contam	RAG	SPF-Young	42	42	cecal	7700000	mouse	0.074188	0.099113	0.097242	0.100983	10.089523	9.90263	10.283605	2.757259	2.741282	2.773236	2.770974	136	177.129032	156.448968	218.722869	22623
cd42_198_4	d42_198_4	198_4	NA	198	NA	NA	6/12/2017	7/24/2017	M	NA	NA	mFMT1	CDI	0	cef	no	11_25	d42	yWT	mFMT	Rc	HF5-contam	RAG	SPF-Young	42	42	cecal	9600000	mouse	0.107963	0.091707	0.089916	0.093499	10.904267	10.695315	11.121547	2.749142	2.730192	2.768092	2.763714	101	136.052632	116.492006	180.311031	13909
cd42_199_1	d42_199_1	199_1	NA	199	NA	NA	6/12/2017	7/24/2017	F	NA	NA	mFMT1	CDI	0	cef	no	11_25	d42	yWT	mFMT	Rc	HF5-contam	RAG	SPF-Young	42	42	cecal	400000	mouse	0.076226	0.177283	0.174841	0.179726	5.640689	5.564031	5.719488	2.05966	2.045305	2.074016	2.067641	74	103	85.611018	146.431204	22944
cd42_199_2	d42_199_2	199_2	NA	199	NA	NA	6/12/2017	7/24/2017	F	NA	NA	mFMT1	CDI	0	cef	no	11_25	d42	yWT	mFMT	Rc	HF5-contam	RAG	SPF-Young	42	42	cecal	9200000	mouse	0.086329	0.160883	0.15846	0.163307	6.215687	6.123444	6.310752	2.180142	2.166092	2.194192	2.186784	72	86.4375	77.15154	112.461959	23937
cd42_199_3	d42_199_3	199_3	NA	199	NA	NA	6/12/2017	7/24/2017	F	NA	NA	mFMT1	CDI	0	cef	no	11_25	d42	yWT	mFMT	Rc	HF5-contam	RAG	SPF-Young	42	42	cecal	12900000	mouse	0.076136	0.193153	0.190428	0.195879	5.177235	5.105202	5.251329	2.003084	1.988801	2.017368	2.009845	68	115.25	85.878105	192.876909	24867
cd42_199_4	d42_199_4	199_4	NA	199	NA	NA	6/12/2017	7/24/2017	F	NA	NA	mFMT1	CDI	0	cef	no	11_25	d42	yWT	mFMT	Rc	HF5-contam	RAG	SPF-Young	42	42	cecal	2000000	mouse	0.063682	0.184742	0.182535	0.186948	5.412967	5.3490780000000004	5.478401	2.009339	1.996612	2.022067	2.017324	85	132.571429	105.660929	194.532384	29290
cd42_201_1	d42_201_1	201_1	108.5227273	201	NA	NA	6/18/2017	7/24/2017	F	NA	NA	mFMT1	noCDI	NA	cef	no	11_25	d42	yWT	mFMT	FMT	HF5-contam	RAG	SPF-Young	42	42	cecal	2400000	mouse	0.057403	0.580688	0.57439	0.586986	1.722095	1.703619	1.740976	0.682994	0.671279	0.694709	0.689934	30	47.142857	35.203695	86.474788	16633
cd42_201_2	d42_201_2	201_2	112.6582278	201	NA	NA	6/18/2017	7/24/2017	F	NA	NA	mFMT1	noCDI	NA	cef	no	11_25	d42	yWT	mFMT	FMT	HF5-contam	RAG	SPF-Young	42	42	cecal	20600000	mouse	0.059748	0.464919	0.462923	0.466915	2.150911	2.141716	2.160185	0.853934	0.845726	0.862143	0.858502	36	53	41.335637	90.164103	28159
cd42_201_3	d42_201_3	201_3	110.2857143	201	NA	NA	6/18/2017	7/24/2017	F	NA	NA	mFMT1	noCDI	NA	cef	no	11_25	d42	yWT	mFMT	FMT	HF5-contam	RAG	SPF-Young	42	42	cecal	NA	mouse	0.06921	0.466091	0.464167	0.468016	2.145502	2.13668	2.154398	0.841743	0.834334	0.849152	0.845683	31	55	38.120549	111.89264	29260
cecal_1191_2	d42_1191_2	1191_2	NA	1191	NA	NA	8/21/15	10/5/15	F	NA	NA	mFMT1	CDI	0	cef	yes	11	d42	yWT	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.030932	0.163276	0.158635	0.167917	6.124605	5.95533	6.303784	2.847035	2.817364	2.876705	2.864174	198	222.375	209.120482	251.427595	16044
cecal_1191_3	d42_1191_3	1191_3	NA	1191	NA	NA	8/21/15	10/5/15	F	NA	NA	mFMT1	CDI	0	cef	yes	11	d42	yWT	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.041861	0.127746	0.124066	0.131426	7.828011	7.608826	8.060198	2.95873	2.927931	2.98953	2.975627	187	206.344828	195.279046	232.201146	13406
cecal_1192_1	d42_1192_1	1192_1	NA	1192	NA	NA	9/29/2015	11/2/2015	M	NA	NA	none	CDI	0	cef	yes	11	d42	none	noFMT	Rc	HF4	BL6	SPF-Young	42	42	cecal	40000000	mouse	0.16343	0.169968	0.167243	0.172692	5.883474	5.790659	5.979312	1.934237	1.922815	1.945658	1.940502	36	49	39.703423	81.633456	14464
cecal_1192_3	d42_1192_3	1192_3	NA	1192	NA	NA	9/29/2015	11/2/2015	M	NA	NA	none	CDI	0	cef	yes	11	d42	none	noFMT	Rc	HF4	BL6	SPF-Young	42	42	cecal	261000000	mouse	0.211126	0.169161	0.166409	0.171914	5.911521	5.816869	6.009304	1.933192	1.92165	1.944734	1.938502	28	41.2	31.443297	78.60266	12915
cecal_1204_3	d19_1204_3	1204_3	101.0582011	1204	NA	NA	5/2/2015	6/11/2015	F	NA	NA	hFMT2	noCDI	NA	cef	no	11	d21	R2_A	hFMT	FMT	HF1	BL6	SPF-Young	19	19	cecal	16000000	mouse	0.073172	0.333328	0.326439	0.340217	3.000051	2.9393030000000002	3.063362	1.617562	1.596681	1.638443	1.623622	41	65	48.120549	121.89264	15775
cecal_1213_3	d19_1213_3	1213_3	103.930131	1213	NA	NA	5/7/2015	6/11/2015	M	NA	NA	hFMT2	noCDI	NA	cef	no	11	d21	R2_A	hFMT	FMT	HF1	BL6	SPF-Young	19	19	cecal	1000000	mouse	0.054094	0.41081	0.401613	0.420006	2.434218	2.380916	2.489961	1.333732	1.305812	1.361652	1.345337	45	66.857143	51.980852	113.435016	9236
cecal_1268_1	d42_1268_1	1268_1	NA	1268	NA	NA	8/2/15	10/5/15	M	NA	NA	mFMT2	CDI	0	cef	yes	11	d42	yWT_spore	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.057825	0.08395	0.081711	0.086189	11.911869	11.602411	12.238287	3.15719	3.131671	3.182709	3.178058	206	242.263158	224.270215	277.975978	14800
cecal_1268_2	d42_1268_2	1268_2	NA	1268	NA	NA	8/2/15	10/5/15	M	NA	NA	mFMT2	CDI	0	cef	yes	11	d42	yWT_spore	mFMT	Rc	HF3	BL6	SPF-Young	42	42	cecal	0	mouse	0.0555	0.086625	0.084661	0.088589	11.544043	11.288096	11.811866	3.133809	3.110772	3.156845	3.149719	208	269.875	239.170732	330.824051	18616
