compound	run	Data_Filename	Sample_ID	Sample_Type	Level	Ret_Time	Area	Height	ISTD_Area	ISTD_Height	Area_Ratio	Height_Ratio	Conc	Std_Conc	Deviation	percDev	Accuracy	QC_Check_Results	Mark	Peak_Start	Peak_End	TPlatenum	HETP	meter	Tailing_F	Tailing_F10perc	Resolution	k	Separation_F	Areaperc	Heightperc	USP_Width	Width5perc	Width10perc	Width50perc	Relative_Retention_Time
raffinose	2	2016-03-02_003.lcd	STD-0018	Unknown	NA	7.488	1368067	53400	NA	NA	NA	NA	12.53854	NA	NA	NA	NA	NA	NA	7.217	9.275	2491.978	60.193	16613.19	2.082	1.689	NA	0.248	0	29.0141	36.7632	0.6	1.001	0.751	0.349	0.45
raffinose	2	2016-03-02_004.lcd	STD-0019	Unknown	NA	7.516	1392273	54366	NA	NA	NA	NA	12.76039	NA	NA	NA	NA	NA	NA	7.25	9.308	2512.347	59.705	16748.978	2.063	1.682	NA	0.253	0	29.0049	36.8228	0.6	0.995	0.751	0.349	0.449
raffinose	2	2016-03-02_005.lcd	STD-0010	Unknown	NA	7.536	1047098	47740	NA	NA	NA	NA	9.59681	NA	NA	NA	NA	NA	NA	7.283	7.942	2561.175	58.567	17074.5	NA	NA	NA	0.256	0	21.6015	25.8009	0.596	0	0	0.347	0.45
raffinose	2	2016-03-02_006.lcd	BLANK	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_007.lcd	STD-0017	Unknown	NA	7.528	1209385	65247	NA	NA	NA	NA	11.08419	NA	NA	NA	NA	NA	NA	7.25	7.933	3832.036	39.144	25546.909	NA	NA	NA	0.255	0	24.2588	26.5621	0.486	0	0.612	0.281	0.449
raffinose	2	2016-03-02_008.lcd	STD-0018	Unknown	NA	7.541	1411987	71065	NA	NA	NA	NA	12.94107	NA	NA	NA	NA	NA	NA	7.25	8.942	3806.804	39.403	25378.695	1.513	1.363	NA	0.257	0	29.3774	37.7465	0.489	0.727	0.582	0.283	0.449
raffinose	2	2016-03-02_009.lcd	STD-0019	Unknown	NA	7.541	1443539	72167	NA	NA	NA	NA	13.23026	NA	NA	NA	NA	NA	S	7.25	9.317	3815.141	39.317	25434.272	1.512	1.362	NA	0.257	0	29.5975	37.7144	0.488	0.726	0.581	0.282	0.449
raffinose	2	2016-03-02_010.lcd	STD-0010	Unknown	NA	7.541	1179451	63413	NA	NA	NA	NA	10.80984	NA	NA	NA	NA	NA	NA	7.267	7.95	3830.198	39.162	25534.656	NA	NA	NA	0.257	0	24.1438	26.402	0.487	0	0	0.282	0.449
raffinose	2	2016-03-02_011.lcd	STD-0009	Unknown	NA	7.55	2271533	121731	NA	NA	NA	NA	20.81894	NA	NA	NA	NA	NA	NA	7.267	7.958	3817.475	39.293	25449.834	NA	NA	NA	0.258	0	24.1585	26.4808	0.489	0	0	0.283	0.449
raffinose	2	2016-03-02_012.lcd	STD-0011	Unknown	NA	7.552	608358	32687	NA	NA	NA	NA	5.57569	NA	NA	NA	NA	NA	NA	7.275	7.958	3822.366	39.243	25482.442	NA	NA	NA	0.259	0	24.0711	26.358	0.489	0	0	0.283	0.449
raffinose	2	2016-03-02_013.lcd	STD-0012	Unknown	NA	7.56	290283	15582	NA	NA	NA	NA	2.66048	NA	NA	NA	NA	NA	NA	7.292	7.967	3818.594	39.281	25457.295	NA	NA	NA	0.26	0	24.1095	26.3476	0.489	0	0	0.283	0.449
raffinose	2	2016-03-02_014.lcd	STD-0013	Unknown	NA	7.556	113156	6093	NA	NA	NA	NA	1.03709	NA	NA	NA	NA	NA	NA	7.3	7.967	3836.592	39.097	25577.281	NA	NA	NA	0.259	0	23.2849	25.5455	0.488	0	0.612	0.283	0.449
raffinose	2	2016-03-02_015.lcd	STD-0014	Unknown	NA	7.565	59674	3236	NA	NA	NA	NA	0.54692	NA	NA	NA	NA	NA	NA	7.325	7.975	3886.075	38.599	25907.167	NA	NA	NA	0.261	0	22.227	24.6022	0.485	0	0.594	0.282	0.449
raffinose	2	2016-03-02_016.lcd	STD-0015	Unknown	NA	7.569	28611	1573	NA	NA	NA	NA	0.26223	NA	NA	NA	NA	NA	NA	7.342	7.975	3948.638	37.988	26324.252	NA	NA	NA	0.262	0	20.1873	22.8707	0.482	0	0.578	0.28	0.449
raffinose	2	2016-03-02_017.lcd	STD-0016	Unknown	NA	7.575	10072	572	NA	NA	NA	NA	0.09231	NA	NA	NA	NA	NA	NA	7.375	7.975	4258.725	35.222	28391.503	NA	NA	NA	0.263	0	15.3268	18.1854	0.464	0	0.544	0.273	0.448
raffinose	2	2016-03-02_018.lcd	S_D01	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_019.lcd	S_D02	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_020.lcd	S_D03	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_021.lcd	S_D04	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_022.lcd	S_D05	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_023.lcd	S_D06	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_024.lcd	S_D07	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_025.lcd	S_D08	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_026.lcd	S_D09	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_027.lcd	S_D10	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_028.lcd	S_D11	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_029.lcd	S_D12	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_030.lcd	S_E01	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_031.lcd	S_E02	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_032.lcd	S_E03	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_033.lcd	S_E04	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_034.lcd	S_E05	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_035.lcd	S_E06	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_036.lcd	S_E07	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_037.lcd	S_E08	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_038.lcd	S_E09	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_039.lcd	S_E10	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_040.lcd	S_E11	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_041.lcd	S_E12	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_042.lcd	S_F01	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_043.lcd	S_F02	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_044.lcd	S_F03	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_045.lcd	S_F04	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_046.lcd	S_F05	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_047.lcd	S_F06	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_048.lcd	S_F07	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_049.lcd	S_F08	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_050.lcd	S_F09	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_051.lcd	S_F10	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_052.lcd	S_F11	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	2	2016-03-02_053.lcd	S_F12	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	2	2016-03-02_061.lcd	STD-0016	Standard	1	8.147	9280	509	NA	NA	NA	NA	0.09142	0.1	-0.00858	-8.58	91.4	NA	V	7.858	8.65	4709.214	31.852	31394.757	NA	NA	1.487	0.358	1.468	14.6097	16.3584	0.475	0	0.547	0.275	0.49
trehalose	2	2016-03-02_060.lcd	STD-0015	Standard	2	8.155	25690	1382	NA	NA	NA	NA	0.25309	0.25	0.00309	1.24	101.2	NA	V	7.875	8.683	4556.869	32.917	30379.129	NA	NA	1.435	0.359	1.465	18.4992	20.2514	0.483	0	0.595	0.278	0.49
trehalose	2	2016-03-02_059.lcd	STD-0014	Standard	3	8.177	52944	2814	NA	NA	NA	NA	0.52159	0.5	0.02159	4.32	104.3	NA	V	7.892	8.708	4518.857	33.194	30125.712	NA	NA	1.421	0.363	1.46	20.1326	21.6708	0.487	0	0	0.281	0.49
trehalose	2	2016-03-02_058.lcd	STD-0013	Standard	4	8.202	99675	5265	NA	NA	NA	NA	0.98197	1	-0.01803	-1.8	98.2	NA	V	7.917	8.733	4504.176	33.302	30027.839	NA	NA	1.414	0.367	1.454	20.9025	22.4474	0.489	0	0	0.282	0.49
trehalose	2	2016-03-02_057.lcd	STD-0012	Standard	5	8.214	248987	13110	NA	NA	NA	NA	2.45294	2.5	-0.04706	-1.88	98.1	NA	V	7.933	8.742	4468.652	33.567	29791.014	NA	NA	1.408	0.369	1.452	21.3815	22.9595	0.491	0	0	0.283	0.49
trehalose	2	2016-03-02_056.lcd	STD-0011	Standard	6	8.196	538995	28487	NA	NA	NA	NA	5.31	5	0.31	6.2	106.2	NA	V	7.917	8.725	4489.356	33.412	29929.04	NA	NA	1.412	0.366	1.456	21.6466	23.2641	0.489	0	0	0.282	0.49
trehalose	2	2016-03-02_055.lcd	STD-0010	Standard	7	8.162	1030918	54665	NA	NA	NA	NA	10.15627	10	0.15627	1.56	101.6	NA	V	7.883	8.683	4481.74	33.469	29878.268	NA	NA	1.413	0.36	1.465	21.5941	23.2912	0.488	0	0	0.281	0.49
trehalose	2	2016-03-02_054.lcd	STD-0009	Standard	8	8.134	1978674	104768	NA	NA	NA	NA	19.49325	20	-0.50675	-2.53	97.5	NA	V	7.85	8.658	4481.178	33.473	29874.519	NA	NA	1.411	0.356	1.472	21.6629	23.3015	0.486	0	0	0.28	0.49
trehalose	2	2016-03-02_001.lcd	BLANK	Control	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	2	2016-03-02_002.lcd	STD-0017	Unknown	NA	8.134	1102862	45318	NA	NA	NA	NA	10.86504	NA	NA	NA	NA	NA	V	7.858	8.733	2727.454	54.996	18183.028	NA	NA	1.123	0.356	1.467	22.5679	24.0642	0.623	0	0	0.358	0.491
trehalose	2	2016-03-02_003.lcd	STD-0018	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	2	2016-03-02_004.lcd	STD-0019	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	2	2016-03-02_005.lcd	STD-0010	Unknown	NA	8.222	1092729	44336	NA	NA	NA	NA	10.76521	NA	NA	NA	NA	NA	V	7.942	8.833	2728.359	54.978	18189.058	NA	NA	1.12	0.37	1.447	22.5429	23.9614	0.63	0	0	0.361	0.49
trehalose	2	2016-03-02_006.lcd	BLANK	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	2	2016-03-02_007.lcd	STD-0017	Unknown	NA	8.216	1080238	57380	NA	NA	NA	NA	10.64216	NA	NA	NA	NA	NA	V	7.933	8.742	4545.121	33.002	30300.807	NA	NA	1.413	0.369	1.45	21.6682	23.3595	0.487	0	0	0.281	0.49
trehalose	2	2016-03-02_008.lcd	STD-0018	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	2	2016-03-02_009.lcd	STD-0019	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	2	2016-03-02_010.lcd	STD-0010	Unknown	NA	8.231	1055126	55998	NA	NA	NA	NA	10.39476	NA	NA	NA	NA	NA	V	7.95	8.758	4537.572	33.057	30250.478	NA	NA	1.412	0.372	1.447	21.5989	23.3147	0.489	0	0	0.282	0.49
trehalose	2	2016-03-02_011.lcd	STD-0009	Unknown	NA	8.24	2025820	107188	NA	NA	NA	NA	19.95773	NA	NA	NA	NA	NA	V	7.958	8.767	4521.505	33.175	30143.366	NA	NA	1.41	0.373	1.445	21.5453	23.3172	0.49	0	0	0.283	0.49
trehalose	2	2016-03-02_012.lcd	STD-0011	Unknown	NA	8.242	545409	28824	NA	NA	NA	NA	5.37319	NA	NA	NA	NA	NA	V	7.958	8.775	4528.868	33.121	30192.452	NA	NA	1.41	0.374	1.445	21.5803	23.2437	0.49	0	0	0.283	0.49
trehalose	2	2016-03-02_013.lcd	STD-0012	Unknown	NA	8.25	258920	13666	NA	NA	NA	NA	2.55079	NA	NA	NA	NA	NA	V	7.967	8.783	4525.196	33.148	30167.973	NA	NA	1.408	0.375	1.442	21.5046	23.1066	0.491	0	0	0.283	0.49
trehalose	2	2016-03-02_014.lcd	STD-0013	Unknown	NA	8.246	101693	5378	NA	NA	NA	NA	1.00184	NA	NA	NA	NA	NA	V	7.967	8.783	4516.764	33.21	30111.759	NA	NA	1.41	0.374	1.443	20.9261	22.5507	0.491	0	0	0.283	0.49
trehalose	2	2016-03-02_015.lcd	STD-0014	Unknown	NA	8.256	54172	2869	NA	NA	NA	NA	0.53368	NA	NA	NA	NA	NA	V	7.975	8.792	4529.022	33.12	30193.481	NA	NA	1.415	0.376	1.441	20.1776	21.8124	0.491	0	0	0.283	0.49
trehalose	2	2016-03-02_016.lcd	STD-0015	Unknown	NA	8.26	26509	1404	NA	NA	NA	NA	0.26116	NA	NA	NA	NA	NA	V	7.975	8.8	4541.411	33.029	30276.073	NA	NA	1.42	0.377	1.44	18.7043	20.4167	0.49	0	0	0.283	0.49
trehalose	2	2016-03-02_017.lcd	STD-0016	Unknown	NA	8.262	9802	523	NA	NA	NA	NA	0.09657	NA	NA	NA	NA	NA	V	7.975	8.783	4582.844	32.731	30552.296	NA	NA	1.443	0.377	1.436	14.9167	16.6306	0.488	0	0.603	0.282	0.489
trehalose	2	2016-03-02_018.lcd	S_D01	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	2	2016-03-02_019.lcd	S_D02	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	2	2016-03-02_020.lcd	S_D03	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	2	2016-03-02_021.lcd	S_D04	Unknown	NA	8.281	7202	443	NA	NA	NA	NA	0.07095	NA	NA	NA	NA	Quant.Range(Low)	NA	8.033	8.475	4274.671	35.09	28497.805	NA	NA	NA	0.38	0	1.7919	2.1215	0.507	0	0	0	0.495
trehalose	2	2016-03-02_022.lcd	S_D05	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	2	2016-03-02_023.lcd	S_D06	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	2	2016-03-02_024.lcd	S_D07	Unknown	NA	8.251	2333	153	NA	NA	NA	NA	0.02299	NA	NA	NA	NA	Quant.Range(Low)	NA	8.008	8.392	2518.371	59.562	16789.141	NA	NA	NA	0.375	0	0.6994	0.8612	0.658	0	0	0	0.497
trehalose	2	2016-03-02_025.lcd	S_D08	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	2	2016-03-02_026.lcd	S_D09	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	2	2016-03-02_027.lcd	S_D10	Unknown	NA	8.207	5582	480	NA	NA	NA	NA	0.05499	NA	NA	NA	NA	Quant.Range(Low)	NA	7.958	8.275	290.88	515.677	1939.197	NA	NA	2.045	0.368	0	1.4094	2.0936	1.925	0	0	0	0.497
trehalose	2	2016-03-02_028.lcd	S_D11	Unknown	NA	8.208	5880	536	NA	NA	NA	NA	0.05793	NA	NA	NA	NA	Quant.Range(Low)	NA	7.942	8.25	1.903	78836.132	12.685	NA	NA	0.193	0.368	0	1.4144	2.2484	23.802	0	0	0	0.498
trehalose	2	2016-03-02_029.lcd	S_D12	Unknown	NA	8.24	6301	520	NA	NA	NA	NA	0.06208	NA	NA	NA	NA	Quant.Range(Low)	NA	7.975	8.308	86.518	1733.752	576.784	NA	NA	1.2	0.373	0	1.5661	2.3529	3.544	0	0	0	0.497
trehalose	2	2016-03-02_030.lcd	S_E01	Unknown	NA	8.207	2224	177	NA	NA	NA	NA	0.02191	NA	NA	NA	NA	Quant.Range(Low)	NA	8.033	8.383	8274.546	18.128	55163.638	NA	NA	7.531	0.368	0	0.6742	0.9575	0.361	0	0	0.211	0.495
trehalose	2	2016-03-02_031.lcd	S_E02	Unknown	NA	8.183	1751	157	NA	NA	NA	NA	0.01725	NA	NA	NA	NA	Quant.Range(Low)	NA	8	8.367	11258.139	13.324	75054.257	1.015	1.021	8.191	0.364	0	0.4575	0.709	0.309	0.32	0.297	0.186	0.495
