compound	run	Data_Filename	Sample_ID	Sample_Type	Level	Ret_Time	Area	Height	ISTD_Area	ISTD_Height	Area_Ratio	Height_Ratio	Conc	Std_Conc	Deviation	percDev	Accuracy	QC_Check_Results	Mark	Peak_Start	Peak_End	TPlatenum	HETP	meter	Tailing_F	Tailing_F10perc	Resolution	k	Separation_F	Areaperc	Heightperc	USP_Width	Width5perc	Width10perc	Width50perc	Relative_Retention_Time
raffinose	1	2016-02-29_009.lcd	STD-0016	Unknown	NA	7.75	4716	337	NA	NA	NA	NA	0.04619	NA	NA	NA	NA	NA	NA	7.625	8.075	7156.789	20.959	47711.927	NA	NA	NA	0	0	6.1881	11.8487	0.366	0	0.381	0.226	0.45
raffinose	1	2016-02-29_010.lcd	S_A01	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_011.lcd	S_A02	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_012.lcd	S_A03	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_013.lcd	S_A04	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_014.lcd	S_A05	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_015.lcd	S_A06	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_016.lcd	S_A07	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_017.lcd	S_A08	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_018.lcd	S_A09	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_019.lcd	S_A10	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_020.lcd	S_A11	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_021.lcd	S_A12	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_022.lcd	S_B01	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_023.lcd	S_B02	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_024.lcd	S_B03	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_025.lcd	S_B04	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_026.lcd	S_B05	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_027.lcd	STD-0009	Unknown	NA	7.593	2160941	96466	NA	NA	NA	NA	21.1659	NA	NA	NA	NA	NA	NA	7.325	8	2492.182	60.188	16614.549	NA	NA	9.165	18.837	0	21.9345	26.2314	0.608	0	0	0.355	0.45
raffinose	1	2016-02-29_028.lcd	STD-0010	Unknown	NA	7.572	1119172	50638	NA	NA	NA	NA	10.96202	NA	NA	NA	NA	NA	NA	7.3	7.975	2551.384	58.792	17009.229	NA	NA	NA	0	0	21.8144	26.2472	0.6	0	0	0.351	0.45
raffinose	1	2016-02-29_029.lcd	STD-0016	Unknown	NA	7.581	2888	224	NA	NA	NA	NA	0.02829	NA	NA	NA	NA	NA	NA	7.45	7.875	7132.349	21.031	47548.991	1.568	1.526	NA	0	0	3.6102	8.1054	0.359	0.353	0.335	0.218	0.452
raffinose	1	2016-02-29_030.lcd	S_B06	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_031.lcd	S_B07	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_032.lcd	S_B08	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_033.lcd	S_B09	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_034.lcd	S_B10	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_035.lcd	S_B11	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_036.lcd	S_B12	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_037.lcd	S_C01	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_038.lcd	S_C02	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_039.lcd	S_C03	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_040.lcd	S_C04	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_041.lcd	S_C05	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_042.lcd	S_C06	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_043.lcd	S_C07	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_044.lcd	S_C08	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_045.lcd	S_C09	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_046.lcd	S_C10	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_047.lcd	S_C11	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
raffinose	1	2016-02-29_048.lcd	S_C12	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_053.lcd	STD-0015	Standard	2	8.459	24244	987	NA	NA	NA	NA	0.21571	0.25	-0.03429	-13.72	86.3	NA	V	8.175	9.1	2913.164	51.49	19421.092	NA	NA	1.174	0.124	3.689	19.2277	21.2041	0.627	0	0	0.364	0.49
trehalose	1	2016-02-29_052.lcd	STD-0014	Standard	3	8.457	54938	2157	NA	NA	NA	NA	0.48881	0.5	-0.01119	-2.24	97.8	NA	NA	8.175	9.1	2695.6	55.646	17970.669	NA	NA	1.125	0.089	0	21.576	22.908	0.652	0	0	0.376	0.49
trehalose	1	2016-02-29_051.lcd	STD-0013	Standard	4	8.447	112661	4348	NA	NA	NA	NA	1.0024	1	0.0024	0.24	100.2	NA	SV	8.175	9.7	2597.122	57.756	17314.146	NA	NA	1.097	0.09	0	22.7684	23.8514	0.663	0	0	0.383	0.49
trehalose	1	2016-02-29_050.lcd	STD-0012	Standard	5	8.437	307843	11665	NA	NA	NA	NA	2.73901	2.5	0.23901	9.56	109.6	NA	SV	8.15	9.65	2531.573	59.252	16877.152	NA	NA	1.078	0.09	0	23.0527	24.206	0.671	0	0	0.386	0.49
trehalose	1	2016-02-29_049.lcd	STD-0011	Standard	6	8.438	579973	22135	NA	NA	NA	NA	5.16026	5	0.16026	3.21	103.2	NA	V	8.15	9.075	2533.758	59.201	16891.72	NA	NA	1.076	19.316	1.095	22.4766	23.9165	0.671	0	0	0.386	0.49
trehalose	1	2016-02-29_001.lcd	BLANK	Control	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_002.lcd	STD-0009	Unknown	NA	8.405	2594066	103222	NA	NA	NA	NA	23.08049	NA	NA	NA	NA	NA	V	8.125	9.025	2723.482	55.077	18156.548	NA	NA	1.116	0.09	0	22.8995	24.5426	0.644	0	0	0.372	0.49
trehalose	1	2016-02-29_003.lcd	STD-0010	Unknown	NA	8.411	1629957	65037	NA	NA	NA	NA	14.50241	NA	NA	NA	NA	NA	V	8.125	9.025	2749.224	54.561	18328.157	NA	NA	1.123	0.09	0	23.6633	24.9918	0.642	0	0	0.37	0.49
trehalose	1	2016-02-29_004.lcd	STD-0011	Unknown	NA	8.42	764671	30555	NA	NA	NA	NA	6.80359	NA	NA	NA	NA	NA	V	8.125	9.025	2789.973	53.764	18599.823	NA	NA	1.135	0.09	0	23.322	24.7568	0.638	0	0	0.368	0.49
trehalose	1	2016-02-29_005.lcd	STD-0012	Unknown	NA	8.418	479422	19113	NA	NA	NA	NA	4.26562	NA	NA	NA	NA	NA	V	8.125	9.025	2772.572	54.101	18483.812	NA	NA	1.132	0.09	0	23.9823	25.1426	0.639	0	0	0.369	0.49
trehalose	1	2016-02-29_006.lcd	STD-0013	Unknown	NA	8.411	199116	7943	NA	NA	NA	NA	1.77161	NA	NA	NA	NA	NA	V	8.125	9.025	2753.656	54.473	18357.708	NA	NA	1.137	0.09	0	24.0418	25.0688	0.641	0	0	0.37	0.49
trehalose	1	2016-02-29_007.lcd	STD-0014	Unknown	NA	8.42	81424	3246	NA	NA	NA	NA	0.72446	NA	NA	NA	NA	NA	V	8.125	9.05	2809.951	53.382	18733.007	NA	NA	1.173	0.09	0	23.8659	24.6753	0.635	0	0	0.367	0.49
trehalose	1	2016-02-29_008.lcd	STD-0015	Unknown	NA	8.426	36043	1460	NA	NA	NA	NA	0.32069	NA	NA	NA	NA	NA	V	8.125	9.025	2891.521	51.876	19276.804	NA	NA	1.232	0.089	0	22.7181	23.9382	0.627	0	0	0.364	0.49
trehalose	1	2016-02-29_009.lcd	STD-0016	Unknown	NA	8.431	15280	631	NA	NA	NA	NA	0.13595	NA	NA	NA	NA	NA	V	8.075	9.05	3047.517	49.22	20316.781	NA	NA	1.393	0.088	0	20.049	22.1766	0.611	0	0.766	0.356	0.49
trehalose	1	2016-02-29_010.lcd	S_A01	Unknown	NA	8.537	20215	978	NA	NA	NA	NA	0.17986	NA	NA	NA	NA	Quant.Range(Low)	NA	8.3	8.825	2877.331	52.132	19182.206	NA	NA	NA	0	0	8.045	8.8299	0.637	0	0	0	0.497
trehalose	1	2016-02-29_011.lcd	S_A02	Unknown	NA	8.542	28505	1387	NA	NA	NA	NA	0.25362	NA	NA	NA	NA	NA	NA	8.3	8.825	2790.507	53.754	18603.381	NA	NA	NA	0	0	11.3628	12.4168	0.647	0	0	0	0.497
trehalose	1	2016-02-29_012.lcd	S_A03	Unknown	NA	8.539	18420	900	NA	NA	NA	NA	0.16389	NA	NA	NA	NA	Quant.Range(Low)	NA	8.3	8.825	2932.518	51.151	19550.117	NA	NA	NA	0	0	7.9654	8.7634	0.631	0	0	0	0.498
trehalose	1	2016-02-29_013.lcd	S_A04	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_014.lcd	S_A05	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_015.lcd	S_A06	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_016.lcd	S_A07	Unknown	NA	8.541	17464	871	NA	NA	NA	NA	0.15539	NA	NA	NA	NA	Quant.Range(Low)	NA	8.325	8.825	3025.779	49.574	20171.862	NA	NA	6.292	4.212	0	6.5142	7.1817	0.621	0	0	0	0.497
trehalose	1	2016-02-29_017.lcd	S_A08	Unknown	NA	8.522	10819	749	NA	NA	NA	NA	0.09626	NA	NA	NA	NA	Quant.Range(Low)	NA	8.325	8.825	7233.323	20.737	48222.155	1.224	1.217	NA	0	0	4.3431	6.3942	0.401	0.431	0.399	0.237	0.496
trehalose	1	2016-02-29_018.lcd	S_A09	Unknown	NA	8.534	16301	820	NA	NA	NA	NA	0.14504	NA	NA	NA	NA	Quant.Range(Low)	NA	8.325	8.825	3549.895	42.255	23665.97	NA	NA	NA	0	0	5.6306	6.4462	0.573	0	0	0	0.497
trehalose	1	2016-02-29_019.lcd	S_A10	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_020.lcd	S_A11	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_021.lcd	S_A12	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_022.lcd	S_B01	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_023.lcd	S_B02	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_024.lcd	S_B03	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_025.lcd	S_B04	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_026.lcd	S_B05	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_027.lcd	STD-0009	Unknown	NA	8.281	2229844	88760	NA	NA	NA	NA	19.83986	NA	NA	NA	NA	NA	V	8	8.9	2649.662	56.611	17664.411	NA	NA	1.099	20.634	1.095	22.6339	24.136	0.644	0	0	0.37	0.491
trehalose	1	2016-02-29_028.lcd	STD-0010	Unknown	NA	8.258	1161268	46681	NA	NA	NA	NA	10.33228	NA	NA	NA	NA	NA	V	7.975	8.875	2695.377	55.651	17969.178	NA	NA	1.112	0.091	0	22.635	24.1961	0.636	0	0	0.366	0.491
trehalose	1	2016-02-29_029.lcd	STD-0016	Unknown	NA	8.236	8250	382	NA	NA	NA	NA	0.0734	NA	NA	NA	NA	NA	NA	8	8.825	3444.742	43.545	22964.946	NA	NA	1.425	0.086	0	10.3125	13.8117	0.561	0	0.65	0.328	0.491
trehalose	1	2016-02-29_030.lcd	S_B06	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_031.lcd	S_B07	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_032.lcd	S_B08	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_033.lcd	S_B09	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_034.lcd	S_B10	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_035.lcd	S_B11	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_036.lcd	S_B12	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_037.lcd	S_C01	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_038.lcd	S_C02	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_039.lcd	S_C03	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_040.lcd	S_C04	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_041.lcd	S_C05	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_042.lcd	S_C06	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_043.lcd	S_C07	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
trehalose	1	2016-02-29_044.lcd	S_C08	Unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
