seqID	sampleID	mouse	percent_weight	sex	FMT_input	FMT_type	Experiment	day	type	CFU	sampleType	group	shannon	nseqs	fastq_file1	seqname	fastq_file2	move_command	missing_transfer	Dates
dn7_1296_2	dn7_1296_2	1296_2	92.69406393	M	D4_A	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.831879	74609	dn7-1296-2_S330_L001_R1_001.fastq.gz	dn7-1296-2	dn7-1296-2_S330_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1296-2_* | xargs cp -t /home/aseekat/forSRA	no	2015
dn7_1297_1	dn7_1297_1	1297_1	92.76595745	M	D5_A	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.847267	71518	dn7-1297-1_S328_L001_R1_001.fastq.gz	dn7-1297-1	dn7-1297-1_S328_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1297-1_* | xargs cp -t /home/aseekat/forSRA	no	2015
dn7_1835_1	dn7_1835_1	1835_1	95.84775087	M	AMS001	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.258447	21136	dn7-1835-1_S4_L001_R1_001.fastq.gz	dn7-1835-1	dn7-1835-1_S4_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1835-1_* | xargs cp -t /home/aseekat/forSRA	no	2018
dn7_1835_2	dn7_1835_2	1835_2	97.17314488	M	AMS001	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.400399	16839	dn7-1835-2_S5_L001_R1_001.fastq.gz	dn7-1835-2	dn7-1835-2_S5_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1835-2_* | xargs cp -t /home/aseekat/forSRA	no	2018
dn7_1835_3	dn7_1835_3	1835_3	93.28621908	M	AMS001	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.111081	20816	dn7-1835-3_S41_L001_R1_001.fastq.gz	dn7-1835-3	dn7-1835-3_S41_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1835-3_* | xargs cp -t /home/aseekat/forSRA	no	2018
dn7_1836_1	dn7_1836_1	1836_1	96.36363636	F	AMS001	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.092871	12169	dn7-1836-1_S13_L001_R1_001.fastq.gz	dn7-1836-1	dn7-1836-1_S13_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1836-1_* | xargs cp -t /home/aseekat/forSRA	no	2018
dn7_1836_2	dn7_1836_2	1836_2	94.09090909	F	AMS001	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.271098	16871	dn7-1836-2_S14_L001_R1_001.fastq.gz	dn7-1836-2	dn7-1836-2_S14_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1836-2_* | xargs cp -t /home/aseekat/forSRA	no	2018
dn7_1836_3	dn7_1836_3	1836_3	96.01769912	F	AMS001	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.294595	13715	dn7-1836-3_S15_L001_R1_001.fastq.gz	dn7-1836-3	dn7-1836-3_S15_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1836-3_* | xargs cp -t /home/aseekat/forSRA	no	2018
dn7_1836_4	dn7_1836_4	1836_4	94.93087558	F	AMS001	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.048717	15533	dn7-1836-4_S45_L001_R1_001.fastq.gz	dn7-1836-4	dn7-1836-4_S45_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1836-4_* | xargs cp -t /home/aseekat/forSRA	no	2018
dn7_1837_1	dn7_1837_1	1837_1	94.65648855	M	AMS005	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.269304	21550	dn7-1837-1_S26_L001_R1_001.fastq.gz	dn7-1837-1	dn7-1837-1_S26_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1837-1_* | xargs cp -t /home/aseekat/forSRA	no	2018
dn7_1837_2	dn7_1837_2	1837_2	95.36679537	M	AMS005	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.21872	17967	dn7-1837-2_S27_L001_R1_001.fastq.gz	dn7-1837-2	dn7-1837-2_S27_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1837-2_* | xargs cp -t /home/aseekat/forSRA	no	2018
dn7_1837_3	dn7_1837_3	1837_3	92.67399267	M	AMS005	hFMT	HF9	-7	fecal	NA	mouse	hFMT	3.929016	20778	dn7-1837-3_S28_L001_R1_001.fastq.gz	dn7-1837-3	dn7-1837-3_S28_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1837-3_* | xargs cp -t /home/aseekat/forSRA	no	2018
dn7_1839_1	dn7_1839_1	1839_1	89.62264151	F	AMS005	hFMT	HF9	-7	fecal	NA	mouse	hFMT	3.999454	17377	dn7-1839-1_S98_L001_R1_001.fastq.gz	dn7-1839-1	dn7-1839-1_S98_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1839-1_* | xargs cp -t /home/aseekat/forSRA	no	2018
dn7_1839_2	dn7_1839_2	1839_2	90.7079646	F	AMS005	hFMT	HF9	-7	fecal	NA	mouse	hFMT	3.829171	17881	dn7-1839-2_S127_L001_R1_001.fastq.gz	dn7-1839-2	dn7-1839-2_S127_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1839-2_* | xargs cp -t /home/aseekat/forSRA	no	2018
dn7_1839_3	dn7_1839_3	1839_3	90.56603774	F	AMS005	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.01454	21131	dn7-1839-3_S135_L001_R1_001.fastq.gz	dn7-1839-3	dn7-1839-3_S135_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name dn7-1839-3_* | xargs cp -t /home/aseekat/forSRA	no	2018
d0_1199_1	d0_1199_1	1199_1	100	F	D2_A	hFMT	HF1	0	fecal	NA	mouse	hFMT	0.050762	17847	d0-1199-1_S29_L001_R1_001.fastq.gz	d0-1199-1	d0-1199-1_S29_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d0-1199-1_* | xargs cp -t /home/aseekat/forSRA	no	2015
d0_1200_1	d0_1200_1	1200_1	100	M	D2_A	hFMT	HF1	0	fecal	NA	mouse	hFMT	0.015724	23094	d0-1200-1_S160_L001_R1_001.fastq.gz	d0-1200-1	d0-1200-1_S160_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d0-1200-1_* | xargs cp -t /home/aseekat/forSRA	no	2015
d0_1223_3	d0_1223_3	1223_3	100	F	D2_A	hFMT	HF2	0	fecal	NA	mouse	hFMT	0.042803	16267	d16-1201-4_S367_L001_R1_001.fastq.gz	d16-1201-4	d16-1201-4_S367_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d16-1201-4_* | xargs cp -t /home/aseekat/forSRA	no	2015
d0_1225_1	d0_1225_1	1225_1	100	M	D2_A	hFMT	HF2	0	fecal	NA	mouse	hFMT	0.031528	15980	d16-1205-2_S368_L001_R1_001.fastq.gz	d16-1205-2	d16-1205-2_S368_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d16-1205-2_* | xargs cp -t /home/aseekat/forSRA	no	2015
d0_1225_3	d0_1225_3	1225_3	100	M	D2_A	hFMT	HF2	0	fecal	NA	mouse	hFMT	0.042079	20057	d0-1225-3_S226_L001_R1_001.fastq.gz	d0-1225-3	d0-1225-3_S226_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d0-1225-3_* | xargs cp -t /home/aseekat/forSRA	no	2015
d0_1292_1	d0_1292_1	1292_1	100	F	D4_A	hFMT	HF4	0	fecal	NA	mouse	hFMT	0.049648	18700	d0-1292-1_S125_L001_R1_001.fastq.gz	d0-1292-1	d0-1292-1_S125_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d0-1292-1_* | xargs cp -t /home/aseekat/forSRA	no	2015
d0_1293_1	d0_1293_1	1293_1	100	F	D5_A	hFMT	HF4	0	fecal	NA	mouse	hFMT	0.371187	44437	d0-1293-1_S123_L001_R1_001.fastq.gz	d0-1293-1	d0-1293-1_S123_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d0-1293-1_* | xargs cp -t /home/aseekat/forSRA	no	2015
d0_1295_1	d0_1295_1	1295_1	100	M	R4_F	hFMT	HF4	0	fecal	NA	mouse	hFMT	0.04951	21906	d0-1295-1_S122_L001_R1_001.fastq.gz	d0-1295-1	d0-1295-1_S122_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d0-1295-1_* | xargs cp -t /home/aseekat/forSRA	no	2015
d0_1835_1	d0_1835_1	1835_1	100	M	AMS001	hFMT	HF9	0	fecal	0	mouse	hFMT	0.027402	22471	d0-1835-1_S149_L001_R1_001.fastq.gz	d0-1835-1	d0-1835-1_S149_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d0-1835-1_* | xargs cp -t /home/aseekat/forSRA	no	2018
d0_1835_2	d0_1835_2	1835_2	100	M	AMS001	hFMT	HF9	0	fecal	0	mouse	hFMT	0.03747	19307	d0-1835-2_S156_L001_R1_001.fastq.gz	d0-1835-2	d0-1835-2_S156_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d0-1835-2_* | xargs cp -t /home/aseekat/forSRA	no	2018
d0_1835_3	d0_1835_3	1835_3	100	M	AMS001	hFMT	HF9	0	fecal	0	mouse	hFMT	0.025776	19797	d0-1835-3_S157_L001_R1_001.fastq.gz	d0-1835-3	d0-1835-3_S157_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d0-1835-3_* | xargs cp -t /home/aseekat/forSRA	no	2018
d0_1836_1	d0_1836_1	1836_1	100	F	AMS001	hFMT	HF9	0	fecal	0	mouse	hFMT	0.032479	12519	d0-1836-1_S42_L001_R1_001.fastq.gz	d0-1836-1	d0-1836-1_S42_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d0-1836-1_* | xargs cp -t /home/aseekat/forSRA	no	2018
d0_1836_2	d0_1836_2	1836_2	100	F	AMS001	hFMT	HF9	0	fecal	0	mouse	hFMT	0.026948	23882	d0-1836-2_S57_L001_R1_001.fastq.gz	d0-1836-2	d0-1836-2_S57_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d0-1836-2_* | xargs cp -t /home/aseekat/forSRA	no	2018
d0_1836_3	d0_1836_3	1836_3	100	F	AMS001	hFMT	HF9	0	fecal	0	mouse	hFMT	0.01486	23304	d0-1836-3_S65_L001_R1_001.fastq.gz	d0-1836-3	d0-1836-3_S65_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d0-1836-3_* | xargs cp -t /home/aseekat/forSRA	no	2018
d0_1836_4	d0_1836_4	1836_4	100	F	AMS001	hFMT	HF9	0	fecal	0	mouse	hFMT	0.033069	18055	d0-1836-4_S66_L001_R1_001.fastq.gz	d0-1836-4	d0-1836-4_S66_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d0-1836-4_* | xargs cp -t /home/aseekat/forSRA	no	2018
d0_1837_1	d0_1837_1	1837_1	100	M	AMS005	hFMT	HF9	0	fecal	0	mouse	hFMT	0.036228	19798	d0-1837-1_S29_L001_R1_001.fastq.gz	d0-1837-1	d0-1837-1_S29_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d0-1837-1_* | xargs cp -t /home/aseekat/forSRA	no	2018
d0_1837_2	d0_1837_2	1837_2	100	M	AMS005	hFMT	HF9	0	fecal	0	mouse	hFMT	0.015633	18619	d0-1837-2_S30_L001_R1_001.fastq.gz	d0-1837-2	d0-1837-2_S30_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d0-1837-2_* | xargs cp -t /home/aseekat/forSRA	no	2018
d0_1837_3	d0_1837_3	1837_3	100	M	AMS005	hFMT	HF9	0	fecal	0	mouse	hFMT	0.047134	13785	d0-1837-3_S51_L001_R1_001.fastq.gz	d0-1837-3	d0-1837-3_S51_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d0-1837-3_* | xargs cp -t /home/aseekat/forSRA	no	2018
d0_1839_1	d0_1839_1	1839_1	100	F	AMS005	hFMT	HF9	0	fecal	0	mouse	hFMT	0.039212	16216	d0-1839-1_S118_L001_R1_001.fastq.gz	d0-1839-1	d0-1839-1_S118_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d0-1839-1_* | xargs cp -t /home/aseekat/forSRA	no	2018
d0_1839_2	d0_1839_2	1839_2	100	F	AMS005	hFMT	HF9	0	fecal	0	mouse	hFMT	0.257592	27752	d0-1839-2_S132_L001_R1_001.fastq.gz	d0-1839-2	d0-1839-2_S132_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d0-1839-2_* | xargs cp -t /home/aseekat/forSRA	no	2018
d0_1839_3	d0_1839_3	1839_3	100	F	AMS005	hFMT	HF9	0	fecal	0	mouse	hFMT	0.123789	28232	d0-1839-3_S140_L001_R1_001.fastq.gz	d0-1839-3	d0-1839-3_S140_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d0-1839-3_* | xargs cp -t /home/aseekat/forSRA	no	2018
d1_1199_1	d1_1199_1	1199_1	101.1764706	F	D2_A	hFMT	HF1	1	fecal	65000000	mouse	hFMT	0.59646	12165	d1-1199-1_S178_L001_R1_001.fastq.gz	d1-1199-1	d1-1199-1_S178_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d1-1199-1_* | xargs cp -t /home/aseekat/forSRA	no	2015
d1_1199_2	d1_1199_2	1199_2	101.0582011	F	D2_A	hFMT	HF1	1	fecal	21000000	mouse	hFMT	0.540242	13814	d1-1199-2_S73_L001_R1_001.fastq.gz	d1-1199-2	d1-1199-2_S73_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d1-1199-2_* | xargs cp -t /home/aseekat/forSRA	no	2015
d1_1200_1	d1_1200_1	1200_1	103.3519553	M	D2_A	hFMT	HF1	1	fecal	86000000	mouse	hFMT	0.674295	12926	d1-1200-1_S85_L001_R1_001.fastq.gz	d1-1200-1	d1-1200-1_S85_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d1-1200-1_* | xargs cp -t /home/aseekat/forSRA	no	2015
d1_1200_2	d1_1200_2	1200_2	105.2631579	M	D2_A	hFMT	HF1	1	fecal	59000000	mouse	hFMT	0.48505	11981	d1-1200-2_S171_L001_R1_001.fastq.gz	d1-1200-2	d1-1200-2_S171_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d1-1200-2_* | xargs cp -t /home/aseekat/forSRA	no	2015
d1_1223_4	d1_1223_4	1223_4	99.44751381	F	D2_A	hFMT	HF2	1	fecal	7000000	mouse	hFMT	0.85340800000000006	17167	d1-1223-4_S242_L001_R1_001.fastq.gz	d1-1223-4	d1-1223-4_S242_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d1-1223-4_* | xargs cp -t /home/aseekat/forSRA	no	2015
d1_1223_5	d1_1223_5	1223_5	98.88268156	F	D2_A	hFMT	HF2	1	fecal	17000000	mouse	hFMT	1.028115	16221	d19-1200-4_S364_L001_R1_001.fastq.gz	d19-1200-4	d19-1200-4_S364_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d19-1200-4_* | xargs cp -t /home/aseekat/forSRA	no	2015
d1_1225_1	d1_1225_1	1225_1	97.57281553	M	D2_A	hFMT	HF2	1	fecal	9000000	mouse	hFMT	0.674934	13344	d19-1207-2A_S315_L001_R1_001.fastq.gz	d19-1207-2A	d19-1207-2A_S315_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d19-1207-2A_* | xargs cp -t /home/aseekat/forSRA	no	2015
d1_1225_2	d1_1225_2	1225_2	95.92760181	M	D2_A	hFMT	HF2	1	fecal	12000000	mouse	hFMT	0.650233	15584	d1-1225-2_S231_L001_R1_001.fastq.gz	d1-1225-2	d1-1225-2_S231_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d1-1225-2_* | xargs cp -t /home/aseekat/forSRA	no	2015
d1_1291_1	d1_1291_1	1291_1	NA	F	R4_F	hFMT	HF4	1	fecal	16600000	mouse	hFMT	0.640675	3301	d1-1291-1_S91_L001_R1_001.fastq.gz	d1-1291-1	d1-1291-1_S91_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d1-1291-1_* | xargs cp -t /home/aseekat/forSRA	no	2015
d1_1291_2	d1_1291_2	1291_2	100.6329114	F	R4_F	hFMT	HF4	1	fecal	39000000	mouse	hFMT	0.49345	3351	d1-1291-2_S82_L001_R1_001.fastq.gz	d1-1291-2	d1-1291-2_S82_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d1-1291-2_* | xargs cp -t /home/aseekat/forSRA	no	2015
d1_1292_1	d1_1292_1	1292_1	100	F	D4_A	hFMT	HF4	1	fecal	80000000	mouse	hFMT	0.74358	9548	d1-1292-1_S81_L001_R1_001.fastq.gz	d1-1292-1	d1-1292-1_S81_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d1-1292-1_* | xargs cp -t /home/aseekat/forSRA	no	2015
d1_1292_2	d1_1292_2	1292_2	98.42105263	F	D4_A	hFMT	HF4	1	fecal	29900000	mouse	hFMT	0.432444	10196	d1-1292-2_S92_L001_R1_001.fastq.gz	d1-1292-2	d1-1292-2_S92_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d1-1292-2_* | xargs cp -t /home/aseekat/forSRA	no	2015
d1_1293_1	d1_1293_1	1293_1	98.88268156	F	D5_A	hFMT	HF4	1	fecal	5000000	mouse	hFMT	0.360504	17672	d1-1293-1_S83_L001_R1_001.fastq.gz	d1-1293-1	d1-1293-1_S83_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d1-1293-1_* | xargs cp -t /home/aseekat/forSRA	no	2015
d1_1293_2	d1_1293_2	1293_2	98.77300613	F	D5_A	hFMT	HF4	1	fecal	19000000	mouse	hFMT	0.504673	27442	d1-1293-2_S84_L001_R1_001.fastq.gz	d1-1293-2	d1-1293-2_S84_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d1-1293-2_* | xargs cp -t /home/aseekat/forSRA	no	2015
d1_1295_1	d1_1295_1	1295_1	100.4504505	M	R4_F	hFMT	HF4	1	fecal	64000000	mouse	hFMT	0.678579	15975	d1-1295-1_S80_L001_R1_001.fastq.gz	d1-1295-1	d1-1295-1_S80_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d1-1295-1_* | xargs cp -t /home/aseekat/forSRA	no	2015
d1_1295_2	d1_1295_2	1295_2	100	M	R4_F	hFMT	HF4	1	fecal	29000000	mouse	hFMT	0.408578	19053	d1-1295-2_S323_L001_R1_001.fastq.gz	d1-1295-2	d1-1295-2_S323_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d1-1295-2_* | xargs cp -t /home/aseekat/forSRA	no	2015
d1_1296_1	d1_1296_1	1296_1	102.3696682	M	D4_A	hFMT	HF4	1	fecal	9000000	mouse	hFMT	0.601325	5884	d1-1296-1_S90_L001_R1_001.fastq.gz	d1-1296-1	d1-1296-1_S90_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d1-1296-1_* | xargs cp -t /home/aseekat/forSRA	no	2015
d1_1296_2	d1_1296_2	1296_2	101.369863	M	D4_A	hFMT	HF4	1	fecal	5000000	mouse	hFMT	0.498099	5657	d1-1296-2_S89_L001_R1_001.fastq.gz	d1-1296-2	d1-1296-2_S89_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d1-1296-2_* | xargs cp -t /home/aseekat/forSRA	no	2015
d1_1297_1	d1_1297_1	1297_1	101.7021277	M	D5_A	hFMT	HF4	1	fecal	13600000	mouse	hFMT	0.67052	18103	d1-1297-1_S331_L001_R1_001.fastq.gz	d1-1297-1	d1-1297-1_S331_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d1-1297-1_* | xargs cp -t /home/aseekat/forSRA	no	2015
d1_1297_2	d1_1297_2	1297_2	95.79439252	M	D5_A	hFMT	HF4	1	fecal	17600000	mouse	hFMT	0.302489	43516	d1-1297-2_S332_L001_R1_001.fastq.gz	d1-1297-2	d1-1297-2_S332_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d1-1297-2_* | xargs cp -t /home/aseekat/forSRA	no	2015
d1_1835_1	d1_1835_1	1835_1	96.19377163	M	AMS001	hFMT	HF9	1	fecal	610000000	mouse	hFMT	0.053198	18791	d1-1835-1_S99_L001_R1_001.fastq.gz	d1-1835-1	d1-1835-1_S99_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d1-1835-1_* | xargs cp -t /home/aseekat/forSRA	no	2018
d1_1835_3	d1_1835_3	1835_3	98.58657244	M	AMS001	hFMT	HF9	1	fecal	520000000	mouse	hFMT	0.269377	14732	d1-1835-3_S100_L001_R1_001.fastq.gz	d1-1835-3	d1-1835-3_S100_L001_R2_001.fastq.gz	find /home/aseekat/allHF/UM_seqs -name d1-1835-3_* | xargs cp -t /home/aseekat/forSRA	no	2018
