seqID	SRA_ID	BioProjectID	BioSampleID	sampleID	mouse	percent_weight	sex	FMT_input	FMT_type	Experiment	day	type	CFU	sampleType	group	shannon	nseqs	propionate	succinate	acetate	butyrate	DCA	HDCA_UDCA	CDCA	aMCA	bMCA	CA	HCA	wMCA	GLCA	GCDCA	GDCA	GHDCA	GUDCA	GCA	GHCA	TLCA	TCDCA	TDCA	THDCA_TUDCA	THCA	TaMCA_TbMCA	TCA	Acetate_nmol	Propionate_nmol	Butyrate_nmol	Isovalerate_nmol	Valerate_nmol	Hexanoate_nmol	Heptanoate_nmol	Octanoate_nmol
dn7_1293_2	dn7_1293_2	PRJNA1168499	SAMN44422671	dn7_1293_2	1293_2	90.79754601	F	D5_A	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.69374	43202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1293_4	dn7_1293_4	PRJNA1168499	SAMN44422672	dn7_1293_4	1293_4	85.05154639	F	D5_A	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.673663	24318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1295_1	dn7_1295_1	PRJNA1168499	SAMN44422673	dn7_1295_1	1295_1	91.44144144	M	R4_F	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.546124	56028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1295_2	dn7_1295_2	PRJNA1168499	SAMN44422674	dn7_1295_2	1295_2	90.69767442	M	R4_F	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.202025	101446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1296_1	dn7_1296_1	PRJNA1168499	SAMN44422675	dn7_1296_1	1296_1	91.46919431	M	D4_A	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.429658	54059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1296_2	dn7_1296_2	PRJNA1168499	SAMN44422676	dn7_1296_2	1296_2	92.69406393	M	D4_A	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.831879	74609	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1297_1	dn7_1297_1	PRJNA1168499	SAMN44422677	dn7_1297_1	1297_1	92.76595745	M	D5_A	hFMT	HF4	-7	fecal	NA	mouse	hFMT	3.847267	71518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1835_1	dn7_1835_1	PRJNA1168499	SAMN44422678	dn7_1835_1	1835_1	95.84775087	M	AMS001	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.258447	21136	14.29198062	3.462287523	119.3843526	13.61699987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1835_2	dn7_1835_2	PRJNA1168499	SAMN44422679	dn7_1835_2	1835_2	97.17314488	M	AMS001	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.400399	16839	11.30148386	2.817673155	117.297004	11.89946157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1835_3	dn7_1835_3	PRJNA1168499	SAMN44422680	dn7_1835_3	1835_3	93.28621908	M	AMS001	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.111081	20816	12.38713457	2.279644548	83.50191469	3.780998271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1836_1	dn7_1836_1	PRJNA1168499	SAMN44422681	dn7_1836_1	1836_1	96.36363636	F	AMS001	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.092871	12169	12.80230921	6.544094983	95.33404022	12.25082676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1836_2	dn7_1836_2	PRJNA1168499	SAMN44422682	dn7_1836_2	1836_2	94.09090909	F	AMS001	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.271098	16871	12.50115268	5.032005107	95.84769809	9.642273773	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1836_3	dn7_1836_3	PRJNA1168499	SAMN44422683	dn7_1836_3	1836_3	96.01769912	F	AMS001	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.294595	13715	10.27036356	3.943198401	102.4401861	14.50653201	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1836_4	dn7_1836_4	PRJNA1168499	SAMN44422684	dn7_1836_4	1836_4	94.93087558	F	AMS001	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.048717	15533	11.72409447	4.759165956	82.87211124	6.725349642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1837_1	dn7_1837_1	PRJNA1168499	SAMN44422685	dn7_1837_1	1837_1	94.65648855	M	AMS005	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.269304	21550	10.60250327	4.479187089	78.7464897	8.915822529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1837_2	dn7_1837_2	PRJNA1168499	SAMN44422686	dn7_1837_2	1837_2	95.36679537	M	AMS005	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.21872	17967	9.179755539	3.298584032	73.23857229	8.113019775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1837_3	dn7_1837_3	PRJNA1168499	SAMN44422687	dn7_1837_3	1837_3	92.67399267	M	AMS005	hFMT	HF9	-7	fecal	NA	mouse	hFMT	3.929016	20778	9.137618411	3.307763667	56.85059585	2.876640598	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1839_1	dn7_1839_1	PRJNA1168499	SAMN44422688	dn7_1839_1	1839_1	89.62264151	F	AMS005	hFMT	HF9	-7	fecal	NA	mouse	hFMT	3.999454	17377	10.37078381	15.94291511	81.22341399	9.707198888	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1839_2	dn7_1839_2	PRJNA1168499	SAMN44422689	dn7_1839_2	1839_2	90.7079646	F	AMS005	hFMT	HF9	-7	fecal	NA	mouse	hFMT	3.829171	17881	15.79414026	14.44470777	74.54479684	2.94117083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dn7_1839_3	dn7_1839_3	PRJNA1168499	SAMN44422690	dn7_1839_3	1839_3	90.56603774	F	AMS005	hFMT	HF9	-7	fecal	NA	mouse	hFMT	4.01454	21131	10.22620799	17.11278322	88.8361942	6.572722182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d0_1199_1	d0_1199_1	PRJNA1168499	SAMN44422691	d0_1199_1	1199_1	100	F	D2_A	hFMT	HF1	0	fecal	NA	mouse	hFMT	0.050762	17847	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d0_1200_1	d0_1200_1	PRJNA1168499	SAMN44422692	d0_1200_1	1200_1	100	M	D2_A	hFMT	HF1	0	fecal	NA	mouse	hFMT	0.015724	23094	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d0_1223_3	d0_1223_3	PRJNA1168499	SAMN44422693	d0_1223_3	1223_3	100	F	D2_A	hFMT	HF2	0	fecal	NA	mouse	hFMT	0.042803	16267	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d0_1225_1	d0_1225_1	PRJNA1168499	SAMN44422694	d0_1225_1	1225_1	100	M	D2_A	hFMT	HF2	0	fecal	NA	mouse	hFMT	0.031528	15980	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d0_1225_3	d0_1225_3	PRJNA1168499	SAMN44422695	d0_1225_3	1225_3	100	M	D2_A	hFMT	HF2	0	fecal	NA	mouse	hFMT	0.042079	20057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d0_1292_1	d0_1292_1	PRJNA1168499	SAMN44422696	d0_1292_1	1292_1	100	F	D4_A	hFMT	HF4	0	fecal	NA	mouse	hFMT	0.049648	18700	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d0_1293_1	d0_1293_1	PRJNA1168499	SAMN44422697	d0_1293_1	1293_1	100	F	D5_A	hFMT	HF4	0	fecal	NA	mouse	hFMT	0.371187	44437	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d0_1295_1	d0_1295_1	PRJNA1168499	SAMN44422698	d0_1295_1	1295_1	100	M	R4_F	hFMT	HF4	0	fecal	NA	mouse	hFMT	0.04951	21906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d0_1835_1	d0_1835_1	PRJNA1168499	SAMN44422699	d0_1835_1	1835_1	100	M	AMS001	hFMT	HF9	0	fecal	0	mouse	hFMT	0.027402	22471	6.3414674	NA	3.081322822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d0_1835_2	d0_1835_2	PRJNA1168499	SAMN44422700	d0_1835_2	1835_2	100	M	AMS001	hFMT	HF9	0	fecal	0	mouse	hFMT	0.03747	19307	6.603584541	4.180404496	1.886048214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d0_1835_3	d0_1835_3	PRJNA1168499	SAMN44422701	d0_1835_3	1835_3	100	M	AMS001	hFMT	HF9	0	fecal	0	mouse	hFMT	0.025776	19797	5.57862424	NA	9.000932485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d0_1836_1	d0_1836_1	PRJNA1168499	SAMN44422702	d0_1836_1	1836_1	100	F	AMS001	hFMT	HF9	0	fecal	0	mouse	hFMT	0.032479	12519	6.259900441	NA	2.564810462	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d0_1836_2	d0_1836_2	PRJNA1168499	SAMN44422703	d0_1836_2	1836_2	100	F	AMS001	hFMT	HF9	0	fecal	0	mouse	hFMT	0.026948	23882	6.252464478	0.543163595	12.58441075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d0_1836_3	d0_1836_3	PRJNA1168499	SAMN44422704	d0_1836_3	1836_3	100	F	AMS001	hFMT	HF9	0	fecal	0	mouse	hFMT	0.01486	23304	6.717212212	NA	10.65246823	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d0_1836_4	d0_1836_4	PRJNA1168499	SAMN44422705	d0_1836_4	1836_4	100	F	AMS001	hFMT	HF9	0	fecal	0	mouse	hFMT	0.033069	18055	6.811401086	NA	1.768149998	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d0_1837_1	d0_1837_1	PRJNA1168499	SAMN44422706	d0_1837_1	1837_1	100	M	AMS005	hFMT	HF9	0	fecal	0	mouse	hFMT	0.036228	19798	6.944009106	NA	1.143254111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d0_1837_2	d0_1837_2	PRJNA1168499	SAMN44422707	d0_1837_2	1837_2	100	M	AMS005	hFMT	HF9	0	fecal	0	mouse	hFMT	0.015633	18619	7.096446363	NA	2.451936597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d0_1837_3	d0_1837_3	PRJNA1168499	SAMN44422708	d0_1837_3	1837_3	100	M	AMS005	hFMT	HF9	0	fecal	0	mouse	hFMT	0.047134	13785	6.190498113	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d0_1839_1	d0_1839_1	PRJNA1168499	SAMN44422709	d0_1839_1	1839_1	100	F	AMS005	hFMT	HF9	0	fecal	0	mouse	hFMT	0.039212	16216	5.776093656	NA	4.197128698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d0_1839_2	d0_1839_2	PRJNA1168499	SAMN44422710	d0_1839_2	1839_2	100	F	AMS005	hFMT	HF9	0	fecal	0	mouse	hFMT	0.257592	27752	6.182786619	NA	2.249333848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d0_1839_3	d0_1839_3	PRJNA1168499	SAMN44422711	d0_1839_3	1839_3	100	F	AMS005	hFMT	HF9	0	fecal	0	mouse	hFMT	0.123789	28232	5.573922588	NA	5.076150188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d1_1199_1	d1_1199_1	PRJNA1168499	SAMN44422712	d1_1199_1	1199_1	101.1764706	F	D2_A	hFMT	HF1	1	fecal	65000000	mouse	hFMT	0.59646	12165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d1_1199_2	d1_1199_2	PRJNA1168499	SAMN44422713	d1_1199_2	1199_2	101.0582011	F	D2_A	hFMT	HF1	1	fecal	21000000	mouse	hFMT	0.540242	13814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d1_1200_1	d1_1200_1	PRJNA1168499	SAMN44422714	d1_1200_1	1200_1	103.3519553	M	D2_A	hFMT	HF1	1	fecal	86000000	mouse	hFMT	0.674295	12926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d1_1200_2	d1_1200_2	PRJNA1168499	SAMN44422715	d1_1200_2	1200_2	105.2631579	M	D2_A	hFMT	HF1	1	fecal	59000000	mouse	hFMT	0.48505	11981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d1_1223_4	d1_1223_4	PRJNA1168499	SAMN44422716	d1_1223_4	1223_4	99.44751381	F	D2_A	hFMT	HF2	1	fecal	7000000	mouse	hFMT	0.853408	17167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d1_1223_5	d1_1223_5	PRJNA1168499	SAMN44422717	d1_1223_5	1223_5	98.88268156	F	D2_A	hFMT	HF2	1	fecal	17000000	mouse	hFMT	1.028115	16221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d1_1225_1	d1_1225_1	PRJNA1168499	SAMN44422718	d1_1225_1	1225_1	97.57281553	M	D2_A	hFMT	HF2	1	fecal	9000000	mouse	hFMT	0.674934	13344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d1_1225_2	d1_1225_2	PRJNA1168499	SAMN44422719	d1_1225_2	1225_2	95.92760181	M	D2_A	hFMT	HF2	1	fecal	12000000	mouse	hFMT	0.650233	15584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d1_1291_1	d1_1291_1	PRJNA1168499	SAMN44422720	d1_1291_1	1291_1	NA	F	R4_F	hFMT	HF4	1	fecal	16600000	mouse	hFMT	0.640675	3301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d1_1291_2	d1_1291_2	PRJNA1168499	SAMN44422721	d1_1291_2	1291_2	100.6329114	F	R4_F	hFMT	HF4	1	fecal	39000000	mouse	hFMT	0.49345	3351	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d1_1292_1	d1_1292_1	PRJNA1168499	SAMN44422722	d1_1292_1	1292_1	100	F	D4_A	hFMT	HF4	1	fecal	80000000	mouse	hFMT	0.74358	9548	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d1_1292_2	d1_1292_2	PRJNA1168499	SAMN44422723	d1_1292_2	1292_2	98.42105263	F	D4_A	hFMT	HF4	1	fecal	29900000	mouse	hFMT	0.432444	10196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d1_1293_1	d1_1293_1	PRJNA1168499	SAMN44422724	d1_1293_1	1293_1	98.88268156	F	D5_A	hFMT	HF4	1	fecal	5000000	mouse	hFMT	0.360504	17672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d1_1293_2	d1_1293_2	PRJNA1168499	SAMN44422725	d1_1293_2	1293_2	98.77300613	F	D5_A	hFMT	HF4	1	fecal	19000000	mouse	hFMT	0.504673	27442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
d1_1295_1	d1_1295_1	PRJNA1168499	SAMN44422726	d1_1295_1	1295_1	100.4504505	M	R4_F	hFMT	HF4	1	fecal	64000000	mouse	hFMT	0.678579	15975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
