seqID	BioProjectID	BioSampleID	sampleID	mouse	percent_weight	sex	FMT_input	FMT_type	Experiment	day	type	CFU	sampleType	group	shannon	nseqs
d4_1199_2	PRJNA1168499	SAMN44422744	d4_1199_2	1199_2	94.17989418	F	D2_A	hFMT	HF1	4	fecal	6200000	mouse	hFMT	1.154209	22048
d4_1199_3	PRJNA1168499	SAMN44422745	d4_1199_3	1199_3	97.04142012	F	D2_A	hFMT	HF1	4	fecal	3800000	mouse	hFMT	1.305987	17566
d4_1200_1	PRJNA1168499	SAMN44422746	d4_1200_1	1200_1	95.53072626	M	D2_A	hFMT	HF1	4	fecal	500000	mouse	hFMT	1.75848	20730
d4_1200_2	PRJNA1168499	SAMN44422747	d4_1200_2	1200_2	98.94736842	M	D2_A	hFMT	HF1	4	fecal	800000	mouse	hFMT	1.716803	18463
d4_1200_3	PRJNA1168499	SAMN44422748	d4_1200_3	1200_3	93.82716049	M	D2_A	hFMT	HF1	4	fecal	1100000	mouse	hFMT	1.554582	18596
d4_1223_3	PRJNA1168499	SAMN44422749	d4_1223_3	1223_3	80.43478261	F	D2_A	hFMT	HF2	4	fecal	30000000	mouse	hFMT	1.399142	18313
d4_1223_4	PRJNA1168499	SAMN44422750	d4_1223_4	1223_4	93.92265193	F	D2_A	hFMT	HF2	4	fecal	41000000	mouse	hFMT	1.582941	17219
d4_1225_3	PRJNA1168499	SAMN44422751	d4_1225_3	1225_3	91.1627907	M	D2_A	hFMT	HF2	4	fecal	34000000	mouse	hFMT	1.563417	17396
d4_1225_4	PRJNA1168499	SAMN44422752	d4_1225_4	1225_4	91.91489362	M	D2_A	hFMT	HF2	4	fecal	82000000	mouse	hFMT	1.395751	15535
d4_1291_1	PRJNA1168499	SAMN44422753	d4_1291_1	1291_1	89.36170213	F	R4_F	hFMT	HF4	4	fecal	34000000	mouse	hFMT	1.515241	14144
d4_1291_2	PRJNA1168499	SAMN44422754	d4_1291_2	1291_2	87.97468354	F	R4_F	hFMT	HF4	4	fecal	78000000	mouse	hFMT	1.178428	13244
d4_1292_1	PRJNA1168499	SAMN44422755	d4_1292_1	1292_1	93.75	F	D4_A	hFMT	HF4	4	fecal	20400000	mouse	hFMT	1.630327	6504
d4_1292_2	PRJNA1168499	SAMN44422756	d4_1292_2	1292_2	91.57894737	F	D4_A	hFMT	HF4	4	fecal	13000000	mouse	hFMT	1.062197	33832
d4_1293_1	PRJNA1168499	SAMN44422757	d4_1293_1	1293_1	90.5027933	F	D5_A	hFMT	HF4	4	fecal	11900000	mouse	hFMT	0.900851	2936
d4_1293_2	PRJNA1168499	SAMN44422758	d4_1293_2	1293_2	96.93251534	F	D5_A	hFMT	HF4	4	fecal	7100000	mouse	hFMT	0.867815	10219
d4_1295_1	PRJNA1168499	SAMN44422759	d4_1295_1	1295_1	96.84684685	M	R4_F	hFMT	HF4	4	fecal	18900000	mouse	hFMT	1.188828	43298
d4_1295_2	PRJNA1168499	SAMN44422760	d4_1295_2	1295_2	95.81395349	M	R4_F	hFMT	HF4	4	fecal	2800000	mouse	hFMT	1.245636	21202
d4_1296_1	PRJNA1168499	SAMN44422761	d4_1296_1	1296_1	96.20853081	M	D4_A	hFMT	HF4	4	fecal	41700000	mouse	hFMT	0.985338	16962
d4_1296_2	PRJNA1168499	SAMN44422762	d4_1296_2	1296_2	96.34703196	M	D4_A	hFMT	HF4	4	fecal	43000000	mouse	hFMT	0.980321	63294
d4_1297_2	PRJNA1168499	SAMN44422763	d4_1297_2	1297_2	94.39252336	M	D5_A	hFMT	HF4	4	fecal	6900000	mouse	hFMT	1.160861	9774
d4_1297_3	PRJNA1168499	SAMN44422764	d4_1297_3	1297_3	96.52173913	M	D5_A	hFMT	HF4	4	fecal	9000000	mouse	hFMT	0.748514	16456
d4_1835_1	PRJNA1168499	SAMN44422765	d4_1835_1	1835_1	89.61937716	M	AMS001	hFMT	HF9	4	fecal	100000000	mouse	hFMT	1.080514	13441
d4_1835_2	PRJNA1168499	SAMN44422766	d4_1835_2	1835_2	91.51943463	M	AMS001	hFMT	HF9	4	fecal	710000000	mouse	hFMT	1.573843	20021
d4_1836_1	PRJNA1168499	SAMN44422767	d4_1836_1	1836_1	93.18181818	F	AMS001	hFMT	HF9	4	fecal	720000000	mouse	hFMT	1.938944	20913
d4_1836_3	PRJNA1168499	SAMN44422768	d4_1836_3	1836_3	91.15044248	F	AMS001	hFMT	HF9	4	fecal	410000000	mouse	hFMT	2.095773	26918
d4_1837_1	PRJNA1168499	SAMN44422769	d4_1837_1	1837_1	93.51145038	M	AMS005	hFMT	HF9	4	fecal	830000000	mouse	hFMT	0.748331	17042
d4_1837_2	PRJNA1168499	SAMN44422770	d4_1837_2	1837_2	94.20849421	M	AMS005	hFMT	HF9	4	fecal	720000000	mouse	hFMT	1.322464	20824
d4_1837_3	PRJNA1168499	SAMN44422771	d4_1837_3	1837_3	95.6043956	M	AMS005	hFMT	HF9	4	fecal	580000000	mouse	hFMT	1.091276	17977
d4_1839_1	PRJNA1168499	SAMN44422772	d4_1839_1	1839_1	89.62264151	F	AMS005	hFMT	HF9	4	fecal	1210000000	mouse	hFMT	1.50456	19559
d4_1839_2	PRJNA1168499	SAMN44422773	d4_1839_2	1839_2	90.7079646	F	AMS005	hFMT	HF9	4	fecal	470000000	mouse	hFMT	2.01982	20448
d7_1199_1	PRJNA1168499	SAMN44422774	d7_1199_1	1199_1	94.11764706	F	D2_A	hFMT	HF1	7	fecal	NA	mouse	hFMT	0.998023	16303
d7_1200_1	PRJNA1168499	SAMN44422775	d7_1200_1	1200_1	98.88268156	M	D2_A	hFMT	HF1	7	fecal	NA	mouse	hFMT	1.43389	16063
d9_1199_1	PRJNA1168499	SAMN44422776	d9_1199_1	1199_1	91.17647059	F	D2_A	hFMT	HF1	9	fecal	100	mouse	hFMT	1.281047	17097
d9_1199_2	PRJNA1168499	SAMN44422777	d9_1199_2	1199_2	97.88359788	F	D2_A	hFMT	HF1	9	fecal	100	mouse	hFMT	1.081773	11228
d9_1199_3	PRJNA1168499	SAMN44422778	d9_1199_3	1199_3	97.04142012	F	D2_A	hFMT	HF1	9	fecal	100	mouse	hFMT	1.366471	14239
d9_1200_1	PRJNA1168499	SAMN44422779	d9_1200_1	1200_1	96.08938547	M	D2_A	hFMT	HF1	9	fecal	100	mouse	hFMT	1.50121	16319
d9_1200_2	PRJNA1168499	SAMN44422780	d9_1200_2	1200_2	101.0526316	M	D2_A	hFMT	HF1	9	fecal	100	mouse	hFMT	1.689057	15100
d9_1200_3	PRJNA1168499	SAMN44422781	d9_1200_3	1200_3	98.7654321	M	D2_A	hFMT	HF1	9	fecal	100	mouse	hFMT	1.693635	21917
d9_1223_3	PRJNA1168499	SAMN44422782	d9_1223_3	1223_3	96.73913043	F	D2_A	hFMT	HF2	9	fecal	0	mouse	hFMT	1.11982	20998
d9_1223_4	PRJNA1168499	SAMN44422783	d9_1223_4	1223_4	100.5524862	F	D2_A	hFMT	HF2	9	fecal	0	mouse	hFMT	1.058905	22168
d9_1225_3	PRJNA1168499	SAMN44422784	d9_1225_3	1225_3	106.5116279	M	D2_A	hFMT	HF2	9	fecal	0	mouse	hFMT	0.672515	18376
d9_1225_4	PRJNA1168499	SAMN44422785	d9_1225_4	1225_4	103.4042553	M	D2_A	hFMT	HF2	9	fecal	0	mouse	hFMT	0.692195	24642
d9_1225_5	PRJNA1168499	SAMN44422786	d9_1225_5	1225_5	104.5454545	M	D2_A	hFMT	HF2	9	fecal	NA	mouse	hFMT	0.690735	15762
d9_1835_1	PRJNA1168499	SAMN44422787	d9_1835_1	1835_1	99.30795848	M	AMS001	hFMT	HF9	9	fecal	0	mouse	hFMT	0.090053	20191
d9_1835_2	PRJNA1168499	SAMN44422788	d9_1835_2	1835_2	100.7067138	M	AMS001	hFMT	HF9	9	fecal	0	mouse	hFMT	0.131656	19995
d9_1835_3	PRJNA1168499	SAMN44422789	d9_1835_3	1835_3	98.93992933	M	AMS001	hFMT	HF9	9	fecal	0	mouse	hFMT	0.096805	22104
d9_1836_1	PRJNA1168499	SAMN44422790	d9_1836_1	1836_1	97.27272727	F	AMS001	hFMT	HF9	9	fecal	0	mouse	hFMT	0.703513	25240
d9_1836_2	PRJNA1168499	SAMN44422791	d9_1836_2	1836_2	98.63636364	F	AMS001	hFMT	HF9	9	fecal	0	mouse	hFMT	0.708034	24498
d9_1836_3	PRJNA1168499	SAMN44422792	d9_1836_3	1836_3	97.78761062	F	AMS001	hFMT	HF9	9	fecal	0	mouse	hFMT	0.715766	21670
d9_1836_4	PRJNA1168499	SAMN44422793	d9_1836_4	1836_4	99.53917051	F	AMS001	hFMT	HF9	9	fecal	0	mouse	hFMT	0.716673	23556
d9_1837_1	PRJNA1168499	SAMN44422794	d9_1837_1	1837_1	100	M	AMS005	hFMT	HF9	9	fecal	0	mouse	hFMT	0.136428	20998
d9_1837_2	PRJNA1168499	SAMN44422795	d9_1837_2	1837_2	99.61389961	M	AMS005	hFMT	HF9	9	fecal	0	mouse	hFMT	0.150231	21485
d9_1837_3	PRJNA1168499	SAMN44422796	d9_1837_3	1837_3	99.26739927	M	AMS005	hFMT	HF9	9	fecal	0	mouse	hFMT	0.064699	15935
d9_1839_1	PRJNA1168499	SAMN44422797	d9_1839_1	1839_1	92.9245283	F	AMS005	hFMT	HF9	9	fecal	0	mouse	hFMT	0.159598	14593
d9_1839_2	PRJNA1168499	SAMN44422798	d9_1839_2	1839_2	98.2300885	F	AMS005	hFMT	HF9	9	fecal	0	mouse	hFMT	0.198055	19553
d9_1839_3	PRJNA1168499	SAMN44422799	d9_1839_3	1839_3	127.8301887	F	AMS005	hFMT	HF9	9	fecal	0	mouse	hFMT	0.269796	27167
d11_1199_1	PRJNA1168499	SAMN44422800	d11_1199_1	1199_1	98.23529412	F	D2_A	hFMT	HF1	11	fecal	100	mouse	hFMT	1.646689	14647
d11_1199_2	PRJNA1168499	SAMN44422801	d11_1199_2	1199_2	100	F	D2_A	hFMT	HF1	11	fecal	100	mouse	hFMT	1.298549	22555
d11_1199_3	PRJNA1168499	SAMN44422802	d11_1199_3	1199_3	95.26627219	F	D2_A	hFMT	HF1	11	fecal	100	mouse	hFMT	1.645591	18328
d11_1199_4	PRJNA1168499	SAMN44422803	d11_1199_4	1199_4	97.23756906	F	D2_A	hFMT	HF1	11	fecal	100	mouse	hFMT	1.47548	26398
d11_1200_1	PRJNA1168499	SAMN44422804	d11_1200_1	1200_1	98.88268156	M	D2_A	hFMT	HF1	11	fecal	100	mouse	hFMT	1.784745	23040
d11_1200_2	PRJNA1168499	SAMN44422805	d11_1200_2	1200_2	104.7368421	M	D2_A	hFMT	HF1	11	fecal	100	mouse	hFMT	1.777735	20100
d11_1200_3	PRJNA1168499	SAMN44422806	d11_1200_3	1200_3	100.8230453	M	D2_A	hFMT	HF1	11	fecal	100	mouse	hFMT	1.56788	20257
d11_1200_4	PRJNA1168499	SAMN44422807	d11_1200_4	1200_4	99.59349593	M	D2_A	hFMT	HF1	11	fecal	100	mouse	hFMT	1.719423	21858
d11_1225_2	PRJNA1168499	SAMN44422808	d11_1225_2	1225_2	101.3574661	M	D2_A	hFMT	HF2	11	fecal	0	mouse	hFMT	0.624897	22031
d11_1225_3	PRJNA1168499	SAMN44422809	d11_1225_3	1225_3	107.4418605	M	D2_A	hFMT	HF2	11	fecal	0	mouse	hFMT	0.613959	27378
d11_1225_5	PRJNA1168499	SAMN44422810	d11_1225_5	1225_5	108.5858586	M	D2_A	hFMT	HF2	11	fecal	NA	mouse	hFMT	0.685995	14378
d11_1291_1	PRJNA1168499	SAMN44422811	d11_1291_1	1291_1	101.0638298	F	R4_F	hFMT	HF4	11	fecal	0	mouse	hFMT	0.740984	4206
d11_1291_2	PRJNA1168499	SAMN44422812	d11_1291_2	1291_2	99.36708861	F	R4_F	hFMT	HF4	11	fecal	0	mouse	hFMT	0.713404	30968
d11_1292_2	PRJNA1168499	SAMN44422813	d11_1292_2	1292_2	94.21052632	F	D4_A	hFMT	HF4	11	fecal	2000	mouse	hFMT	0.686245	20648
d11_1292_3	PRJNA1168499	SAMN44422814	d11_1292_3	1292_3	100	F	D4_A	hFMT	HF4	11	fecal	0	mouse	hFMT	0.742897	18001
d11_1293_1	PRJNA1168499	SAMN44422815	d11_1293_1	1293_1	94.97206704	F	D5_A	hFMT	HF4	11	fecal	0	mouse	hFMT	0.694164	18066
d11_1293_2	PRJNA1168499	SAMN44422816	d11_1293_2	1293_2	97.54601227	F	D5_A	hFMT	HF4	11	fecal	8000	mouse	hFMT	0.781745	15031
d11_1295_1	PRJNA1168499	SAMN44422817	d11_1295_1	1295_1	100.9009009	M	R4_F	hFMT	HF4	11	fecal	0	mouse	hFMT	0.97928	18038
d11_1295_2	PRJNA1168499	SAMN44422818	d11_1295_2	1295_2	100.4651163	M	R4_F	hFMT	HF4	11	fecal	2200000	mouse	hFMT	1.079235	41824
d11_1296_1	PRJNA1168499	SAMN44422819	d11_1296_1	1296_1	102.8436019	M	D4_A	hFMT	HF4	11	fecal	2000	mouse	hFMT	0.27704	15399
d11_1296_2	PRJNA1168499	SAMN44422820	d11_1296_2	1296_2	99.543379	M	D4_A	hFMT	HF4	11	fecal	0	mouse	hFMT	0.254574	24127
d11_1297_1	PRJNA1168499	SAMN44422821	d11_1297_1	1297_1	102.5531915	M	D5_A	hFMT	HF4	11	fecal	3000	mouse	hFMT	0.75057	40692
