"COMP_ID","PATHWAY.SORTORDER","BIOCHEMICAL","SUPERPATHWAY","SUBPATHWAY","PLATFORM","CHEMICAL_ID","RI","MASS","PUBCHEM","CAS","KEGG","HMDB","dir","dir_noFMT","dir_hFMT","dir_healthy"
514,4249,"cytidine","Nucleotide","""Pyrimidine Metabolism, Cytidine containing""","LC/MS Pos Early",827,2124,244.0928,"6175","65-46-3","C00475","HMDB0000089","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
527,1240,"lactate","Carbohydrate","""Glycolysis, Gluconeogenesis, and Pyruvate Metabolism""","LC/MS Polar",482,1469,89.0244,"612","79-33-4","C00186","HMDB0000190","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
528,1445,"alpha-ketoglutarate","Energy","TCA Cycle","LC/MS Polar",93,2700,145.0143,"51","305-72-6;328-50-7;22202-68-2","C00026","HMDB0000208","Up in cleared","Down in mFMT","Up in mFMT","Down in mFMT"
531,3175,"3-hydroxy-3-methylglutarate","Lipid","Mevalonate Metabolism","LC/MS Polar",112,2850,161.0456,"1662;5459993","503-49-1","C03761","HMDB0000355","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
533,4258,"dCMP","Nucleotide","""Pyrimidine Metabolism, Cytidine containing""","LC/MS Pos Early",298,975,308.0642,"13945","1032-65-1","C00239","HMDB0001202","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
541,159,"4-hydroxyphenylacetate","Amino Acid","Phenylalanine Metabolism","LC/MS Neg",144,1361,151.0401,"127","156-38-7","C00642","HMDB0000020","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
542,1938,"3-hydroxybutyrate (BHBA)","Lipid","Ketone Bodies","LC/MS Polar",254,1480,103.0401,"441;94318;92135","625-72-9","""C03197,C01089""","""HMDB0000011,HMDB0000357,HMDB0000442""","Up in cleared","Down in mFMT","Up in mFMT","Down in mFMT"
554,4145,"adenine","Nucleotide","""Purine Metabolism, Adenine containing""","LC/MS Pos Early",880,2221,136.0618,"190","73-24-5","C00147","HMDB0000034","Up in cleared","Up in mFMT","Up in mFMT","Up in mFMT"
555,4144,"adenosine","Nucleotide","""Purine Metabolism, Adenine containing""","LC/MS Pos Early",798,2169,268.104,"60961","58-61-7","C00212","HMDB0000050","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
566,150,"phenylpyruvate","Amino Acid","Phenylalanine Metabolism","LC/MS Neg",241,2515,163.0401,"997","156-06-9","C00166","HMDB0000205","Up in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
573,4250,"cytosine","Nucleotide","""Pyrimidine Metabolism, Cytidine containing""","LC/MS Pos Early",881,2060,112.0505,"597","71-30-7","C00380","HMDB0000630","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
575,1269,"arabinose","Carbohydrate","Pentose Metabolism","LC/MS Polar",828,1804.5,195.051,"66308","28697-53-2","C00216","HMDB0029942","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
587,4802,"gluconate","Xenobiotics","Food Component/Plant","LC/MS Polar",338,2922,195.051,"3085666;10690","527-07-1","C00257","HMDB0000625","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
590,470,"hypotaurine","Amino Acid","""Methionine, Cysteine, SAM and Taurine Metabolism""","LC/MS Pos Early",358,724,110.027,"107812","300-84-5","C00519","HMDB0000965","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
594,4302,"nicotinamide","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","LC/MS Pos Early",432,1942,123.0553,"936","98-92-0","C00153","HMDB0001406","Up in cleared","Up in mFMT","Up in mFMT","Up in mFMT"
601,4204,"dihydroorotate","Nucleotide","""Pyrimidine Metabolism, Orotate containing""","LC/MS Polar",923,1910,157.0255,"648","155-54-4","C00337","HMDB03349","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
604,4275,"thymine","Nucleotide","""Pyrimidine Metabolism, Thymine containing""","LC/MS Neg",882,1654,125.0357,"1135","65-71-4","C00178","HMDB0000262","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
605,4218,"uracil","Nucleotide","""Pyrimidine Metabolism, Uracil containing""","LC/MS Neg",825,1086,111.02,"1174","66-22-8","C00106","HMDB0000300","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
606,4217,"uridine","Nucleotide","""Pyrimidine Metabolism, Uracil containing""","LC/MS Neg",535,1457.6,243.0623,"6029","58-96-8","C00299","HMDB0000296","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
607,78,"trans-urocanate","Amino Acid","Histidine Metabolism","LC/MS Pos Early",537,2285,139.0502,"736715","104-98-3","C00785","HMDB0000301","Up in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
608,4442,"pyridoxine (Vitamin B6)","Cofactors and Vitamins","Vitamin B6 Metabolism","LC/MS Pos Early",936,2442,170.0812,"1054","58-56-0","D08454","HMDB0000239","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1105,1567,"linoleate (18:2n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","LC/MS Neg",180,5535,279.233,"5280450","60-33-3","C01595","""HMDB0000673,HMDB0006270""","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
1107,4131,"allantoin","Nucleotide","""Purine Metabolism, (Hypo)Xanthine/Inosine containing""","LC/MS Polar",1002,1672,157.0367,"204;439714;439713","97-59-6","""C02350,C02348,C01551""","HMDB0000462","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1110,1573,"arachidonate (20:4n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)","LC/MS Neg",229,5535,303.233,"444899","506-32-1","C00219","HMDB0001043","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
1114,3477,"deoxycholate","Lipid","Secondary Bile Acid Metabolism","LC/MS Neg",302,5294,391.2854,"222528;440355","83-44-3","C04483","HMDB0000626","Up in cleared","Up in mFMT","Up in mFMT","Up in mFMT"
1117,1362,"galactitol (dulcitol)","Carbohydrate","""Fructose, Mannose and Galactose Metabolism""","LC/MS Polar",1003,2360,181.0718,"11850","608-66-2","C01697","HMDB0000107","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
1118,1517,"arachidate (20:0)","Lipid","Long Chain Saturated Fatty Acid","LC/MS Neg",893,6240,311.2956,"10467","506-30-9","C06425","HMDB0002212","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
1121,1512,"margarate (17:0)","Lipid","Long Chain Saturated Fatty Acid","LC/MS Neg",891,5731,269.2486,"10465","506-12-7","","HMDB0002259","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
1123,4117,"inosine","Nucleotide","""Purine Metabolism, (Hypo)Xanthine/Inosine containing""","LC/MS Neg",361,1602.1,267.0735,"6021","58-63-9","C00294","HMDB0000195","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
1124,2201,"myo-inositol","Lipid","Inositol Metabolism","LC/MS Polar",363,3506.3,225.0616,"892","87-89-8","C00137","HMDB0000211","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1125,385,"isoleucine","Amino Acid","""Leucine, Isoleucine and Valine Metabolism""","LC/MS Pos Early",376,2800,132.1019,"6306","73-32-5","""C16424,C00407,C06418""","HMDB0000172","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1126,29,"alanine","Amino Acid","Alanine and Aspartate Metabolism","LC/MS Pos Early",811,1700,90.055,"5950","56-41-7","C00041","HMDB0000161","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1284,17,"threonine","Amino Acid","""Glycine, Serine and Threonine Metabolism""","LC/MS Pos Early",564,1514,120.0655,"6288","72-19-5","C00188","HMDB0000167","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1299,162,"tyrosine","Amino Acid","Tyrosine Metabolism","LC/MS Pos Early",815,2430,182.0812,"6057","60-18-4","C00082","HMDB0000158","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1301,105,"lysine","Amino Acid","Lysine Metabolism","LC/MS Pos Early",407,2850,147.1128,"5962","56-87-1","""C00047,C00739""","HMDB0003405","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1302,434,"methionine","Amino Acid","""Methionine, Cysteine, SAM and Taurine Metabolism""","LC/MS Pos Early",415,2526,150.0583,"6137","63-68-3","C00073","HMDB0000696","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1303,1451,"malate","Energy","TCA Cycle","LC/MS Neg",409,615.6,133.0143,"525","6915-15-7","""C00497,C00149,C00711""","""HMDB0000744,HMDB0031518,HMDB0000156""","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1336,1510,"palmitate (16:0)","Lipid","Long Chain Saturated Fatty Acid","LC/MS Neg",424,5618,255.233,"985","57-10-3","C00249","HMDB0000220","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
1356,1516,"nonadecanoate (19:0)","Lipid","Long Chain Saturated Fatty Acid","LC/MS Neg",892,6068,297.2799,"12591","646-30-0","C16535","HMDB0000772","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
1358,1514,"stearate (18:0)","Lipid","Long Chain Saturated Fatty Acid","LC/MS Neg",439,5872,283.2643,"5281","57-11-4","C01530","HMDB0000827","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
1361,1509,"pentadecanoate (15:0)","Lipid","Long Chain Saturated Fatty Acid","LC/MS Neg",980,5521,241.2173,"13849","1002-84-2;10002-84-2","C16537","HMDB0000826","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
1365,1507,"myristate (14:0)","Lipid","Long Chain Saturated Fatty Acid","LC/MS Neg",519,5440,227.2017,"11005","544-63-8","C06424","HMDB0000806","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
1408,537,"putrescine","Amino Acid","Polyamine Metabolism","LC/MS Pos Early",49,3027,89.1073,"1045","110-60-1","C00134","HMDB0001414","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1411,4198,"2'-deoxyguanosine","Nucleotide","""Purine Metabolism, Guanine containing""","LC/MS Neg",348,1700,266.0895,"135398592","961-07-9","C00330","HMDB0000085","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
1416,57,"gamma-aminobutyrate (GABA)","Amino Acid","Glutamate Metabolism","LC/MS Pos Early",141,2048,104.0706,"119","56-12-2","C00334","HMDB0000112","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1417,272,"kynurenate","Amino Acid","Tryptophan Metabolism","LC/MS Neg",98,2224,188.0353,"3845","492-27-3","C01717","HMDB0000715","Down in cleared","Up in mFMT","Down in mFMT","Up in mFMT"
1419,556,"5-methylthioadenosine (MTA)","Amino Acid","Polyamine Metabolism","LC/MS Pos Early",212,2752,298.0968,"439176","2457-80-9","C00170","HMDB0001173","Down in cleared","Down in mFMT","Down in mFMT","Up in mFMT"
1432,156,"2-hydroxyphenylacetate","Amino Acid","Phenylalanine Metabolism","LC/MS Polar",235,858.6,151.0401,"11970","614-75-5","C05852","HMDB0000669","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1437,1448,"succinate","Energy","TCA Cycle","LC/MS Polar",252,3149,117.0193,"1110","110-15-6","C00042","HMDB0000254","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1444,131,"pipecolate","Amino Acid","Lysine Metabolism","LC/MS Pos Early",1025,2200,130.0863,"849","4043-87-2","C00408","HMDB0000070","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1471,1261,"ribose","Carbohydrate","Pentose Metabolism","LC/MS Polar",914,1508.2,195.051,"5779","50-69-1","C00121","HMDB0000283","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
1483,3492,"lithocholate","Lipid","Secondary Bile Acid Metabolism","LC/MS Neg",405,5372,375.2905,"9903","434-13-9","C03990","HMDB0000761","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
1493,487,"ornithine","Amino Acid","Urea cycle; Arginine and Proline Metabolism","LC/MS Pos Early",444,2800,133.0972,"6262","3184-13-2","C00077","HMDB0000214","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1494,579,"5-oxoproline","Amino Acid","Glutathione Metabolism","LC/MS Neg",1021,738.5,128.0353,"439685;7405","98-79-3","""C01879,C02237""","HMDB0000267","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1495,122,"saccharopine","Amino Acid","Lysine Metabolism","LC/MS Pos Early",392,2530,277.1394,"160556","997-68-2","C00449","HMDB0000279","Down in cleared","Down in mFMT","Down in mFMT","Up in mFMT"
1496,1774,"methylmalonate (MMA)","Lipid","Fatty Acid Metabolism (also BCAA Metabolism)","LC/MS Polar",418,3078.4,117.0193,"487","516-05-2","C02170","HMDB0000202","Down in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
1498,116,"""N6,N6,N6-trimethyllysine""","Amino Acid","Lysine Metabolism","LC/MS Pos Early",189,2825,189.1598,"440120","23284-33-5","C03793","HMDB0001325","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1504,4299,"nicotinate","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","LC/MS Pos Early",567,1673,124.0393,"938","59-67-6","C00253","HMDB0001488","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
1505,4205,"orotate","Nucleotide","""Pyrimidine Metabolism, Orotate containing""","LC/MS Polar",445,1638.1,155.0098,"967","50887-69-9","C00295","HMDB0000226","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1508,4333,"pantothenate (Vitamin B5)","Cofactors and Vitamins","Pantothenate and CoA Metabolism","LC/MS Neg",1024,1498.7,218.1034,"6613","137-08-6","C00864","HMDB0000210","Up in cleared","Up in mFMT","Up in mFMT","Up in mFMT"
1510,3003,"phytosphingosine","Lipid","Sphingolipid Synthesis","LC/MS Pos Late",469,1367,318.3003,"122121","554-62-1","C12144","HMDB0004610","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1515,5956,"salicylate","Xenobiotics","Drug - Topical Agents","LC/MS Polar",501,802,137.0242,"338","69-72-7","C00805","HMDB0001895","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
1516,5,"sarcosine","Amino Acid","""Glycine, Serine and Threonine Metabolism""","LC/MS Pos Early",1023,1280,90.055,"1088","107-97-1","C00213","HMDB0000271","Up in cleared","Up in mFMT","Down in mFMT","Up in mFMT"
1519,1325,"sucrose","Carbohydrate","Disaccharides and Oligosaccharides","LC/MS Polar",935,3092,387.1144,"5988","57-50-1","C00089","HMDB0000258","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1527,4146,"1-methyladenine","Nucleotide","""Purine Metabolism, Adenine containing""","LC/MS Pos Early",54,2133,150.0774,"135398646","5142-22-3","C02216","HMDB0011599","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1549,428,"3-hydroxyisobutyrate","Amino Acid","""Leucine, Isoleucine and Valine Metabolism""","LC/MS Polar",111,1619,103.0401,"11966314","2068-83-9","""C01188,C06001""","""HMDB0000023,HMDB0000336""","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1552,1547,"erucate (22:1n9)","Lipid","Long Chain Monounsaturated Fatty Acid","LC/MS Neg",1087,6355.6,337.3112,"8216;5281116","112-86-7","C08316","HMDB0002068","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
1553,4167,"2'-deoxyadenosine","Nucleotide","""Purine Metabolism, Adenine containing""","LC/MS Pos Early",211,2252,252.1091,"13730","16373-93-6","C00559","HMDB0000101","Up in cleared","Up in mFMT","Up in mFMT","Up in mFMT"
1558,560,"4-acetamidobutanoate","Amino Acid","Polyamine Metabolism","LC/MS Pos Early",1113,1350,146.0812,"18189","3025-96-5","C02946","HMDB0003681","Down in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
1561,4357,"alpha-tocopherol","Cofactors and Vitamins","Tocopherol Metabolism","LC/MS Pos Late",1105,2522,430.3782,"86472","59-02-9;10191-41-0","C02477","HMDB0001893","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
1563,3455,"chenodeoxycholate","Lipid","Primary Bile Acid Metabolism","LC/MS Neg",1123,5264,391.2854,"10133","474-24-9;474-25-9","C02528","HMDB0000518","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1564,1439,"citrate","Energy","TCA Cycle","LC/MS Neg",1124,582,191.0197,"311","77-92-9","C00158","HMDB0000094","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1566,4281,"3-aminoisobutyrate","Nucleotide","""Pyrimidine Metabolism, Thymine containing""","LC/MS Pos Early",1114,2190,104.0706,"64956","10569-72-9;214139-20-5","C05145","HMDB0002166","Down in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
1568,4471,"4-hydroxymandelate","Xenobiotics","Benzoate Metabolism","LC/MS Neg",1115,772.7,167.035,"328","7198-10-9;184901-84-6","C03198","HMDB0000822","Up in cleared","Up in mFMT","Up in mFMT","Up in mFMT"
1572,1243,"glycerate","Carbohydrate","""Glycolysis, Gluconeogenesis, and Pyruvate Metabolism""","LC/MS Polar",1052,2070.4,105.0193,"752;439194","600-19-1","C00258","""HMDB0006372,HMDB0000139""","Up in cleared","Down in mFMT","Up in mFMT","Down in mFMT"
1573,4180,"guanosine","Nucleotide","""Purine Metabolism, Guanine containing""","LC/MS Neg",1099,1662,282.0844,"6802","118-00-3","C00387","HMDB0000133","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
1574,88,"histamine","Amino Acid","Histidine Metabolism","LC/MS Pos Early",354,3035,112.0869,"774","51-45-6","C00388","HMDB0000870","Down in cleared","Down in mFMT","Down in mFMT","Up in mFMT"
1584,4960,"methyl indole-3-acetate","Xenobiotics","Food Component/Plant","LC/MS Pos Early",1104,3380,190.0863,"74706","1912-33-0","","HMDB0029738","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1585,31,"N-acetylalanine","Amino Acid","Alanine and Aspartate Metabolism","LC/MS Polar",1110,1564.8,130.051,"88064","97-69-8","C02847","HMDB0000766","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1587,336,"N-acetylleucine","Amino Acid","""Leucine, Isoleucine and Valine Metabolism""","LC/MS Neg",1082,2400,172.0979,"70912","1188-21-2","C02710","HMDB0011756","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1589,435,"N-acetylmethionine","Amino Acid","""Methionine, Cysteine, SAM and Taurine Metabolism""","LC/MS Neg",1083,1787,190.0543,"448580","65-82-7","C02712","HMDB0011745","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1591,417,"N-acetylvaline","Amino Acid","""Leucine, Isoleucine and Valine Metabolism""","LC/MS Neg",1084,1704,158.0823,"66789","96-81-1","","HMDB0011757","Down in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
1594,4203,"N-carbamoylaspartate","Nucleotide","""Pyrimidine Metabolism, Orotate containing""","LC/MS Polar",1108,3800,175.036,"93072","923-37-5","C00438","HMDB0000828","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1603,170,"tyramine","Amino Acid","Tyrosine Metabolism","LC/MS Pos Early",1133,2540,138.0913,"5610","60-19-5","C00483","HMDB0000306","Down in cleared","Up in mFMT","Down in mFMT","Up in mFMT"
1604,4129,"urate","Nucleotide","""Purine Metabolism, (Hypo)Xanthine/Inosine containing""","LC/MS Neg",1134,757.1,167.0211,"1175","69-93-2;120K5305","C00366","HMDB0000289","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1605,3502,"ursodeoxycholate","Lipid","Secondary Bile Acid Metabolism","LC/MS Neg",1135,5055,391.2854,"31401","128-13-2","C07880","HMDB0000946","Down in cleared","Up in mFMT","Up in mFMT","Up in mFMT"
1638,483,"arginine","Amino Acid","Urea cycle; Arginine and Proline Metabolism","LC/MS Pos Early",231,2825,175.119,"6322","1119-34-2","C00062","HMDB0000517","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1642,1494,"caprate (10:0)","Lipid","Medium Chain Fatty Acid","LC/MS Neg",888,5090.7,171.1391,"2969","334-48-5","C01571","HMDB0000511","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
1643,1449,"fumarate","Energy","TCA Cycle","LC/MS Polar",330,3084,115.0037,"444972","100-17-8","C00122","HMDB0000134","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1644,1490,"heptanoate (7:0)","Lipid","Medium Chain Fatty Acid","LC/MS Neg",925,3670,129.0921,"8094","111-14-8","C17714","HMDB0000666","Up in cleared","Up in mFMT","Up in mFMT","Up in mFMT"
1648,10,"serine","Amino Acid","""Glycine, Serine and Threonine Metabolism""","LC/MS Pos Early",503,1239,106.0499,"5951","56-45-1","C00065","HMDB0000187","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1649,416,"valine","Amino Acid","""Leucine, Isoleucine and Valine Metabolism""","LC/MS Pos Early",566,2479,118.0863,"6287","72-18-4","C00183","HMDB0000883","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1651,4447,"pyridoxal","Cofactors and Vitamins","Vitamin B6 Metabolism","LC/MS Pos Early",491,2343,168.0655,"1050","65-22-5","C00250","HMDB0001545","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
1669,175,"4-hydroxyphenylpyruvate","Amino Acid","Tyrosine Metabolism","LC/MS Neg",1141,1690,179.035,"979","156-39-8","C01179","HMDB0000707","Up in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1670,485,"urea","Amino Acid","Urea cycle; Arginine and Proline Metabolism","LC/MS Pos Early",533,700,121.072,"1176","57-13-6","C00086","HMDB0000294","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1759,3012,"N-stearoyl-sphinganine (d18:0/18:0)*","Lipid","Dihydroceramides","LC/MS Pos Late",922,3526,568.5663,"5283573","2304-80-5","","","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
1806,4426,"retinol (Vitamin A)","Cofactors and Vitamins","Vitamin A Metabolism","LC/MS Pos Late",498,1636,269.2264,"445354","68-26-8","C00473","HMDB0000305","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
1827,4329,"riboflavin (Vitamin B2)","Cofactors and Vitamins","Riboflavin Metabolism","LC/MS Pos Early",500,2292,377.1456,"493570","83-88-5","C00255","HMDB0000244","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
1868,455,"cysteine","Amino Acid","""Methionine, Cysteine, SAM and Taurine Metabolism""","LC/MS Pos Early",800,1475,122.027,"5862","52-90-4;56-89-3","C00097","HMDB0000574","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1898,495,"proline","Amino Acid","Urea cycle; Arginine and Proline Metabolism","LC/MS Pos Early",480,1603,116.0706,"145742;614;8988","147-85-3","""C00148,C000763""","""HMDB0000162,HMDB0003411""","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
1899,4298,"quinolinate","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","LC/MS Pos Early",182,845,168.0291,"1066","89-00-9","C03722","HMDB0000232","Up in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
2125,471,"taurine","Amino Acid","""Methionine, Cysteine, SAM and Taurine Metabolism""","LC/MS Pos Early",512,660,126.022,"1123","107-35-7","C00245","HMDB0000251","Up in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
2132,492,"citrulline","Amino Acid","Urea cycle; Arginine and Proline Metabolism","LC/MS Pos Early",391,1520,176.103,"9750","372-75-8","C00327","HMDB0000904","Up in cleared","Up in mFMT","Down in mFMT","Down in mFMT"
2134,4330,"FAD","Cofactors and Vitamins","Riboflavin Metabolism","LC/MS Neg",327,2425,784.1499,"643975","146-14-5;84366-81-4","C00016","HMDB0001248","Up in cleared","Up in mFMT","Up in mFMT","Down in mFMT"
2137,4408,"biliverdin","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","LC/MS Pos Late",250,1016,583.2551,"5280353","55482-27-4;55482-27-4","C00500","HMDB0001008","Down in cleared","Down in mFMT","Down in mFMT","Up in mFMT"
2150,4444,"pyridoxamine","Cofactors and Vitamins","Vitamin B6 Metabolism","LC/MS Pos Early",568,2975,169.0972,"1052","58052-48-5","C00534","HMDB0001431","Down in cleared","Down in mFMT","Down in mFMT","Down in mFMT"
