Gene	UnirefID	definition	GF2_hFMT2A_S44	GF2_mjMb2B_input_S53	GF2_myFMT1_S56	GF3_AMS001_inoc1_S36	HF10_hFMT1_S68	HF9_hFMT2_S42	Healthy_cecalSeekatz26_S2	c21_1835_3_S30	c21_1836_2_S31	c21_1836_3_S110	c21_1837_1_S114	c21_1837_2_S143	c21_1837_3_S138	c21_1839_1_S139	c21_1839_2_S115	c21_1841_1_S137	c21_1901_3_S29	c21_1907_1_S69	cecal_1191_2_S134	cecal_1275_1_S135	cecal_1275_2_S136	cecal_19_1210_1_S77	cecal_19_1210_3_S80	cecal_19_1212_3_S84	cecal_d21_1199_2_S99	cecal_d21_1199_3_S100	cecal_d21_1200_1_S90	cecal_d21_1200_3_S94	cecal_d21_1200_4_S133	cecal_d21_1203_1_S89	cecal_d21_1203_4_S103	cecal_d21_1205_2_S88	cecal_d21_1205_4_S93	cecal_d21_1207_2_S97	cecal_d21_1207_3_S95	cecal_d21_1207_4_S102	cecal_d21_1209_3_S96	cecal_d25_2935_S59	cecal_d25_3739_S45	cecal_d25_5925_S43	cecal_d25_5942_S46	cecal_d28_429_S66	cecal_d28_448_S65	cecal_d28_5505_S67	cecal_d28_5520_S64	cecal_d42_1216_1_S92	cecal_d42_1216_2_S87	cecal_d42_1217_2_S91	cecal_d42_1223_5_S101	cecal_d42_1225_1_S98	cecal_d42_1225_2_S132	cecal_d46_2933_S48	cecal_d46_2949_S47	cecal_d46_2956_S58	cecal_d46_2966_S38	cecal_d46_3755_S49	cecal_d46_3765_S39	cecal_d46_3827_S57	cecal_d46_3_C18_C23836_S51	cecal_d46_4837_S52	cecal_d46_4914_S54	cecal_d46_5957_S50	cecal_d46_5964_S55	d0_1840_2_S112	d11_1203_1_S72	d11_1205_2_S75	d11_1840_1_S21	d11_1840_2_S24	d11_1840_3_S27	d11_1901Seekatz24_S1	d18_1835_1_S25	d18_1835_3_S22	d18_1836_2_S111	d18_1836_3_S105	d18_1836_4_S116	d18_1837_1_S142	d18_1837_2_S113	d18_1839_1_S108	d18_1839_2_S34	d18_1839_3_S109	d18_1840Seekatz18_S3	d18_1901_3_S26	d18_1907_1_S71	d19_1199_2_S79	d19_1199_3_S81	d19_1200_1_S83	d19_1200_2_S78	d19_1203Seekatz34_S6	d19_1203_1_S35	d19_1203_3_S32	d19_1205_2_S82	d19_1207_1_S85	d19_1207_4_S33	d21_2935_S37	d21_3739_S36	d21_429_S63	d21_448_S62	d21_5220_S61	d21_5505_S60	d21_5925_S40	d21_5942_S41	d4_1203_2_S131	d4_1205_2_S73	d4_1840_1_S140	d4_1840_2_S141	dGF2_hFMT1B_S117	dn7_1203_1_S74	dn7_1205_1_S76	dn7_1835_1_S23	dn7_1840_2_S106	dn7_1840_3_S107	healthy_cecal_1913_1_S28	healthy_cecal_1913_2_S70	humanDonor_exp2_S86	mouseFMT_exp1_S130
3b-HSDH	UniRef90_A0A0B7NYC8	3-beta hydroxysteroid dehydrogenase/isomerase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127431	0	0	0	0	0	0	0	0	0
3b-HSDH	UniRef90_A0A108T9G9	3 beta-hydroxysteroid dehydrogenase/delta 5--&gt 4-isomerase	0	0	0	0.105803	0.2187	0.184424	0	7.07298	6.26955	6.09451	0	0	0	0	0	14.8005	0	25.7158	0	0	0	0	0	14.8715	30.01	28.3299	40.6425	30.3235	31.0493	0	0	0.105828	0	0	0.170728	0.174063	0	0	0	38.7322	34.5157	32.7064	0	36.5233	0	0	0	0	30.9752	42.4889	49.1481	0	0	0	0	0	0.0806348	0	0	40.8035	36.8265	28.5303	35.0833	0	0	0	0	0	0.035443	0	4.97755	5.65551	5.24048	2.1675	2.68239	0	0	0	0	0	0	0	10.7311	26.524	25.4291	46.6983	46.7073	0	0	0	0	0	0	0	0	0	0	0	26.2572	29.0672	23.6967	0	0	0	0	0	0	0	0	0.211122	0	0	0	0	0
3b-HSDH	UniRef90_A0A133PDY5	3-beta hydroxysteroid dehydrogenase/isomerase family protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0468146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205609	0	0	0	0.0429594
3b-HSDH	UniRef90_A0A143Q314	3-beta hydroxysteroid dehydrogenase	0	0	4.71527	0	0	0	0.234719	0	0	0	0	0	0	0	0	0	0.309108	0	0	0.40598	0.104981	0	0.0738225	0.148151	0	0	0	0.229806	0	0	0	0	0	0	0	0	0.108198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.695682	0	0.387755	0	0	0	0	0	0	0	0	0.365153	0.329475	0	0	0	0	0.15557000000000001	0.239798	0	0	0	0.815928	0.270509	0.198206	0	0.969079	0	0.216246	0	0.114318	0	0	0	0.435881	0.119005	0.188214	0	0.279907	0.242781	0	0	0	0	0	0	0	0	0	0	0	0	0	1.96274	0	0.0806562	0.692127	0.196556	0.225616	0	0.368662	0.150483
3b-HSDH	UniRef90_A0A1C7HH84	3-beta hydroxysteroid dehydrogenase	0	0	6.30352	0	0	0	7.02255	0	0	0	0	0	0	0	0	0	2.33566	0	0	13.2306	14.8561	0	0	0	0	0	0	0	0	0	0	7.21926	8.25822	0	0	0	9.73426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.3808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31078	1.75147	0	0	0	0	0	0	0	0	13.3919	0	0	0	0	0	0	0	0	0	0	19.0695	0	0	0	0	0.336428	5.92337	4.88144	9.57661	2.77247	5.94861	6.52727	0	5.57086
3b-HSDH	UniRef90_A0A2K4ZMM7	3 beta-hydroxysteroid dehydrogenase/delta 5--&gt 4-isomerase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.322074	0	0.177151	0	0.130706	0	0	0	0	0	0	0	0	0	0	0.326904	0.22448100000000001	0	0.285589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26917	0.152538	0.275336	0	0	0	0	0	0.931907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.326548	0.236334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0823048	0	0.0843433	0	0	0.369534	0.344691	0	0
3b-HSDH	UniRef90_A0A2T1MFR7	3-beta hydroxysteroid dehydrogenase/isomerase family protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.178542	0	0.0395446	0	0	0.129895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.77544	0	0	0	0
3b-HSDH	UniRef90_A0A377TXR8	3-beta hydroxysteroid dehydrogenase/isomerase family protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3b-HSDH	UniRef90_A0A3C0DD93	3-beta hydroxysteroid dehydrogenase	0	0	0	0	0	0	0	0	0.641245	0.44528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01873	0.331678	0.443606	0	0	0	0	0	0	0	0	0	0	1.28233	0.737773	0.75654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3b-HSDH	UniRef90_C2E331	3-beta hydroxysteroid dehydrogenase/isomerase family protein	0	0.172763	2.9774	0	0	0	0	0	0	0	0	0	0	0	0	0	0.514465	0	0	0	0.071939	0	0	0	0	0	0	0	0	0	0	0	0.10646	0	0	0	0.316835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26546	1.23223	0	0	0	0	0	0.559415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0609778	1.43688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.286318	0.454402	0.155751	0.301579	0.471196	0.32998	0.504934	0	0.0944938
3b-HSDH	UniRef90_J1LQF5	3-beta hydroxysteroid dehydrogenase/isomerase family protein	0.05292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.136253	0	0	0	0	0	0	0	0	0
3b-HSDH	UniRef90_P26150	3 beta-hydroxysteroid dehydrogenase/delta 5--&gt 4-isomerase type 3	0	0	0	0	0	0	0.121957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0837458	0	0	0	0	0	0	0	0
3b-HSDH	UniRef90_U2C8Z7	3-beta hydroxysteroid dehydrogenase/isomerase family protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.608789	0.857543	0	0	0	2.3004	0	1.79776	0	0	0	0	0	0	0	0	0	0	0	0.378328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.334488	0	0.504629	1.25408	0.680126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3b-HSDH	UniRef90_UPI0007EDE71E	3 beta-hydroxysteroid dehydrogenase/delta 5--&gt 4-isomerase type 3 isoform x3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0335936	0	0	0	0	0	0	0	0
7b-HSDH	UniRef90_A7B4V1	7-beta-hydroxysteroid dehydrogenase (nadp(+))	1.97829	0	0	0	0	0	0	0	0	0	8.84196	6.16502	2.00459	0.220792	0	0	0	0	0	0	0	0	0	0.435285	0	0	0	0	0	0	0	0	0	0	0	0	0	0.363038	0	0	0	0	1.46694	0	0.329777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.61569	3.04838	0.373431	0.139368	0.116691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284422	0.297101	0.419013	0	0	0	0	0	0	0	2.38555	0	0	0	0	0.530033	0	0	0	0
7a-HSDH	UniRef90_A0A0C3R6N4	7-alpha-hydroxysteroid dehydrogenase	0	0	0	0	0	0	1.62284	0	0	0	0	0	0	0	0	0	0.583772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333535	0	0	0	0	0	0	0	0	3.88733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.75648	0	0	0	0	1.4503
7a-HSDH	UniRef90_A0A174A918	nadp-dependent 7-alpha-hydroxysteroid dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221964	0	0	0	0	0	0	0	0	0
7a-HSDH	UniRef90_A0A174M615	nadp-dependent 7-alpha-hydroxysteroid dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.084734	0	0	0
7a-HSDH	UniRef90_A0A174VPI1	nadp-dependent 7-alpha-hydroxysteroid dehydrogenase	0.0744076	0	0	0	0	0	0	6.24631	2.23753	1.81131	0.103727	2.57834	1.0821	0.596207	1.03699	2.20191	0	0.194935	0	0	0	2.8884	2.28512	2.6145	1.43442	1.36902	0.609609	0.424103	0.714042	0	0	0	0	0	0	0	0	0.271562	2.20214	1.00151	1.19917	1.17469	4.90202	1.81455	1.83769	0	0	0	2.82021	1.18528	2.22512	0	0	0	1.17586	0	2.60596	0.564198	0	2.49411	1.92853	1.71193	3.3682	0	0	0	0	0	0	0	4.74048	5.50575	3.26354	2.24977	2.8092	2.40091	4.37857	2.16113	3.19066	3.80624	0	0	3.15985	1.09507	1.07481	0.747909	1.80742	0	0	0	0	0	0	0.454073	2.0001	1.73628	1.21253	1.52761	2.46418	1.77241	3.40784	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7a-HSDH	UniRef90_A0A174W0P1	nadp-dependent 7-alpha-hydroxysteroid dehydrogenase	0	0	0	0	0.0487729	0	0	1.63004	0.500784	0	0	0.767277	0.398683	0.27354	0.15984400000000001	0	0	0	0	0	0	0	0	0.600484	0.229212	0.23982	0	0	0	0	0	0	0	0	0	0	0	0	1.25277	0	0	0	0.92404	0	0.416597	0	0	0	0.546817	0	0.29941	0	0	0	0.249093	0	0.666038	0	0	0.582045	0	0	0.872016	0	0	0	0	0	0	0	0	1.5167	0.750843	0.21641	0.54118	0.797359	1.15919	0.957755	0.96859	1.0672	0	0	0.81197	0	0.236772	0	0.375057	0	0	0	0	0	0	0	0.364752	0.468864	0	0.415186	0	0	1.03442	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7a-HSDH	UniRef90_A0A178GET9	7-alpha-hydroxysteroid dehydrogenase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.729006	0	0	0	0	0	0
7a-HSDH	UniRef90_A0A1C5NLX9	nadp-dependent 7-alpha-hydroxysteroid dehydrogenase	0.285733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.413621	0	0	0	0	0	0	0	0	0
7a-HSDH	UniRef90_A0A1M4WZ85	7-alpha-hydroxysteroid dehydrogenase	0	0	0	0	0	0	0	0	0.026351	0	0	0	0	1.66431	0.581526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.457116	0.406475	0	0	0	0.46134	0	0.398498	0	0	0	0	0	0	0	0	0	0	0	0.101197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.340584	0	0.070125	0.799368	0.827042	1.95033	0	0	0	0	0	0	0	0	0	0	0	0	0	0.321346	0.457545	2.10602	2.97807	2.7483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
