description	pathway	GF2_hFMT2A_S44	GF2_mjMb2B_input_S53	GF2_myFMT1_S56	GF3_AMS001_inoc1_S36	HF10_hFMT1_S68	HF9_hFMT2_S42	Healthy_cecalSeekatz26_S2	c21_1835_3_S30	c21_1836_2_S31	c21_1836_3_S110	c21_1837_1_S114	c21_1837_2_S143	c21_1837_3_S138	c21_1839_1_S139	c21_1839_2_S115	c21_1841_1_S137	c21_1901_3_S29	c21_1907_1_S69	cecal_1191_2_S134	cecal_1275_1_S135	cecal_1275_2_S136	cecal_19_1210_1_S77	cecal_19_1210_3_S80	cecal_19_1212_3_S84	cecal_d21_1199_2_S99	cecal_d21_1199_3_S100	cecal_d21_1200_1_S90	cecal_d21_1200_3_S94	cecal_d21_1200_4_S133	cecal_d21_1203_1_S89	cecal_d21_1203_4_S103	cecal_d21_1205_2_S88	cecal_d21_1205_4_S93	cecal_d21_1207_2_S97	cecal_d21_1207_3_S95	cecal_d21_1207_4_S102	cecal_d21_1209_3_S96	cecal_d25_2935_S59	cecal_d25_3739_S45	cecal_d25_5925_S43	cecal_d25_5942_S46	cecal_d28_429_S66	cecal_d28_448_S65	cecal_d28_5505_S67	cecal_d28_5520_S64	cecal_d42_1216_1_S92	cecal_d42_1216_2_S87	cecal_d42_1217_2_S91	cecal_d42_1223_5_S101	cecal_d42_1225_1_S98	cecal_d42_1225_2_S132	cecal_d46_2933_S48	cecal_d46_2949_S47	cecal_d46_2956_S58	cecal_d46_2966_S38	cecal_d46_3755_S49	cecal_d46_3765_S39	cecal_d46_3827_S57	cecal_d46_3_C18_C23836_S51	cecal_d46_4837_S52	cecal_d46_4914_S54	cecal_d46_5957_S50	cecal_d46_5964_S55	d0_1840_2_S112	d11_1203_1_S72	d11_1205_2_S75	d11_1840_1_S21	d11_1840_2_S24	d11_1840_3_S27	d11_1901Seekatz24_S1	d18_1835_1_S25	d18_1835_3_S22	d18_1836_2_S111	d18_1836_3_S105	d18_1836_4_S116	d18_1837_1_S142	d18_1837_2_S113	d18_1839_1_S108	d18_1839_2_S34	d18_1839_3_S109	d18_1840Seekatz18_S3	d18_1901_3_S26	d18_1907_1_S71	d19_1199_2_S79	d19_1199_3_S81	d19_1200_1_S83	d19_1200_2_S78	d19_1203Seekatz34_S6	d19_1203_1_S35	d19_1203_3_S32	d19_1205_2_S82	d19_1207_1_S85	d19_1207_4_S33	d21_2935_S37	d21_3739_S36	d21_429_S63	d21_448_S62	d21_5220_S61	d21_5505_S60	d21_5925_S40	d21_5942_S41	d4_1203_2_S131	d4_1205_2_S73	d4_1840_1_S140	d4_1840_2_S141	dGF2_hFMT1B_S117	dn7_1203_1_S74	dn7_1205_1_S76	dn7_1835_1_S23	dn7_1840_2_S106	dn7_1840_3_S107	healthy_cecal_1913_1_S28	healthy_cecal_1913_2_S70	humanDonor_exp2_S86	mouseFMT_exp1_S130
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	670.965	303.848	194.987	623.027	666.498	617.194	168.258	146.951	220.152	191.457	246.915	135.549	175.97	262.766	234.775	145.775	352.505	63.4665	241.493	255.067	297.182	150.004	136.791	122.922	136.083	241.432	155.126	115.195	192.756	312.681	235.257	292.042	252.294	313.843	296.933	318.339	145.552	327.776	180.615	175.14	176.846	188.178	255.592	172.246	194.399	414.77	429.994	445.343	139.756	100.71	143.11	191.364	170.591	327.528	145.488	251.829	196.385	207.933	263.056	178.52	214.395	215.563	171.79	0	323.105	507.532	404.57	405.208	442.796	0	181.819	162.822	210.724	158.275	214.98	218.738	219.78	328.768	336.8	331.683	354.82	346.75	179.151	240.531	222.723	115.462	88.0484	211.749	287.874	254.842	58.0546	177.324	120.763	256.932	188.615	193.487	238.159	231.983	247.409	258.618	229.102	266.745	55.0265	262.695	236.399	643.885	153.845	215.607	315.82	232.759	276.355	318.596	276.386	229.182	214.905
ARO-PWY	chorismate biosynthesis I	656.957	255.697	236.536	664.599	697.509	657.869	195.193	393.69	404.976	408.939	503.755	512.56	505.128	461.534	486.245	363.581	313.571	425.522	413.963	282.133	296.476	453.038	433.154	467.949	371.784	378.763	414.874	339.212	383.218	451.398	571.61	304.892	289.339	428.94	435.338	455.266	371.416	408.604	428.716	407.615	405.897	432.275	474.808	427.683	464.207	357.759	380.722	380.82	424.029	418.515	448.293	337.175	462.536	212.306	429.742	374.282	461.951	393.221	408.537	419.479	409.613	356.983	410.177	0.621887	279.106	391.389	314.577	305.783	356.081	0	381.316	379.993	398.453	353.712	398.596	410.074	426.051	457.244	469.229	465.222	305.098	366.688	385.834	413.173	387.919	413.377	446.024	421.663	396.887	344.526	431.559	415.439	504.545	463.304	447.764	510.047	474.698	488.008	423.529	425.954	424.423	247.146	727.568	403.337	359.778	641.36	141.616	250.595	302.313	222.776	265.444	265.148	238.261	411.25	268.561
ASPASN-PWY	L-aspartate and L-asparagine biosynthesis	278.344	119.613	163.069	213.356	255.803	226.249	104.581	310.092	289.656	321.341	438.913	572.385	494.611	246.684	138.538	309.794	124.809	328.498	108.709	69.8418	60.3378	314.282	372.049	299.565	341.897	334.753	358.469	308.486	375.489	201.898	215.882	47.3736	49.3029	157.432	110.811	192.876	55.6574	281.412	399.805	316.161	288.772	310.49	126.64	326.255	133.613	258.631	310.161	349.981	388.216	296.568	338.769	209.303	248.551	182.446	276.303	30.3274	415.398	122.542	227.246	221.975	184.073	189.021	205.779	1.12429	290.546	187.249	237.991	215.512	233.709	0	324.165	311.846	311.834	297.915	275.302	453.223	470.884	278.695	266.441	243.274	69.5243	130.826	261.218	359.225	346.134	367.564	383.586	252.375	298.266	276.289	57.6193	158.63	115.913	292.072	220.988	146.212	123.815	96.6684	305.373	305.128	296.535	305.486	140.07	278.201	334.478	273.741	99.4392	222.417	137.792	80.536	149.655	75.465	96.114	216.81	147.149
AST-PWY	L-arginine degradation II (AST pathway)	0	0	0	0	0	0	0	0.512458	3.53404	2.04722	0	0	0	0	0	5.81023	0.240712	5.79357	0	0	0	10.7282	18.2516	15.5039	0	4.54681	0	0	0	18.1324	18.573	0	0	15.6299	10.7101	20.5123	0	0	0	0	0	0.277543	0	0.305081	0	84.3218	105.566	123.585	3.09354	0	0	0	0	47.5208	1.77073	0	0	0	0	1.99603	1.85643	0	0	0	95.8209	65.3449	79.5522	72.785	87.4478	0	1.43289	1.68002	4.2334	2.34099	2.70983	0	0	0	0.147246	0	0	0	9.40337	0	10.1448	0	0	39.5073	72.8526	64.8961	1.24175	19.3326	13.1337	0	0	0	0	0	0	0	0	70.8834	0	45.5187	61.96	0	0	0	0.170185	0	7.18074	0	0	16.5552	0
BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	32.2012	5.0316	8.99319	66.8446	47.5141	76.5918	12.3317	183.315	188.773	180.43	311.489	337.598	338.43	43.3628	96.4558	236.401	19.2265	333.449	2.07141	0	3.16236	117.523	160.895	371.212	260.238	251.891	328.667	257.851	277.564	189.536	168.418	20.0819	18.084	141.58	116.318	183.549	3.43887	102.85	223.989	271.735	249.136	278.865	147.595	302.199	136.282	272.64	322.265	360.09	318.301	341.449	358.952	1.10895	0	197.394	49.6509	0	240.472	5.59894	52.6414	251.515	236.005	179.677	251.426	0	285.245	248.388	279.337	262.558	292.253	0	170.194	182.384	183.813	153.521	170.279	262.066	269.661	13.7356	10.6787	7.8047	11.6703	20.8791	211.512	274.861	266.625	332.26	354.583	263.577	317.191	283.121	34.0202	202.577	141.706	119.63	104.76	61.4942	64.1705	93.1954	227.827	211.421	204.488	237.72	0	289.393	317.959	26.331	4.64048	14.7816	15.3243	7.00307	93.5895	0	6.10212	176.733	12.625
BRANCHED-CHAIN-AA-SYN-PWY	branched chain amino acid biosynthesis	679.49	328.456	306.17	675.202	781.56	702.087	273.934	426.069	415.331	439.004	478.364	431.129	455.368	579.107	562.568	408.321	401.171	470.778	591.985	234.396	305.684	587.004	555.806	616.87	292.736	347.364	355.052	254.619	356.878	614.02	774.727	359.51	324.821	595.02	605.741	647.242	204.086	462.407	422.249	390.271	399.858	438.9	549.34	425.97	533.726	582.307	614.931	680.444	379.563	359.081	427.504	309.003	237.135	437.312	588.727	471.111	424.267	423.218	304.276	371.712	357.479	315.114	374.683	1.09247	513.886	606.1	553.445	542.31	587.372	0	396.632	395.593	428.802	382.529	456.191	456.152	405.913	547.306	510.657	596.708	320.032	422.695	438.331	430.307	385.844	326.339	336.797	571.004	605.108	524.359	360.123	578.748	640.873	548.235	532.469	634.321	569.661	600.063	458.452	459.508	456.914	488.198	902.115	676.211	621.709	642.364	224.301	402.322	427.217	310.998	368.718	310.304	363.29	558.354	354.778
CALVIN-PWY	Calvin-Benson-Bassham cycle	703.534	374.294	275.277	625.777	689.451	638.145	259.661	361.378	416.449	455.824	395.815	307.9	350.03	316.549	251.042	371.323	398.946	308.17	333.302	157.803	356.779	291.965	294.646	287.998	301.6	368.031	265.605	223.268	336.958	424.828	276.328	357.84	308.026	400.14	291.932	381.487	101.889	444.011	400.885	400.745	395.795	431.667	385.371	411.869	363.163	448.948	474.387	488.63	327.253	168.091	226.473	404.19	270.665	336.779	349.087	156.641	487.789	369.589	419.847	422.72	480.543	441.096	413.236	2.31882	407.271	366.924	395.262	385.052	399.14	0	412.953	396.521	479.19	407.998	431.046	437.078	465.834	515.065	535.75	395.306	318.973	380.76	399.878	372.288	383.726	232.681	214.51	303.918	357.446	387.758	181.878	228.087	264.651	436.729	340.555	314.664	390.256	345.678	455.828	443.831	416.659	418.693	83.1945	329.881	351.322	700.552	202.027	335.68	362.722	279.111	330.345	238.845	326.471	339.112	306.754
CARNMET-PWY	L-carnitine degradation I	0	0	0	0	0	0	0	0.372992	0.675049	0.373978	0	0	0	0	0	2.89512	0	2.16624	0	0	0	1.54849	2.75177	2.79526	0	0.690207	0	0	0	3.91831	3.78695	0	0	3.07499	1.54989	3.85471	0	0	0	0	0	0	0	0	0	16.128	19.0823	21.0373	0.70093	0	0	0	0	10.3808	0.962691	0	0.126725	0	0	0.761737	0.618799	0	0	0	17.8107	11.5436	12.5726	11.7806	13.5492	0	0.815937	0.869465	1.54973	0.670491	1.50277	0	0	0	0.0418983	0	0	0	3.91491	0	2.19701	0	0	6.73889	11.771	9.80947	0.428148	4.61934	1.93088	0	0	0	0	0	0	0	0	12.1152	0	8.14332	12.3118	0	0	0	0	0	2.80645	0	0	3.94138	0
CENTFERM-PWY	pyruvate fermentation to butanoate	43.6796	25.7442	16.8891	59.2794	51.414	61.9218	16.8932	21.1718	38.3216	34.7843	0	0.795038	1.27524	3.91627	1.80739	11.7493	31.6922	1.69158	20.0897	6.41187	10.6744	37.8002	15.5056	32.9124	7.41397	31.6565	3.65661	8.78182	12.0979	5.64493	1.68491	29.1933	26.7735	8.67475	2.51782	3.69424	10.4091	13.425	11.9388	10.4179	5.4026	19.9618	33.3928	21.4156	9.25561	75.5091	23.9109	9.61645	36.3166	6.75022	20.3248	12.3969	10.1776	0	9.18548	7.25264	4.93346	0	22.529	15.8033	11.7226	3.96473	14.0904	0	0	2.93135	0	0	0	0	20.2668	22.3373	49.5722	30.5217	30.5065	6.26025	8.71935	3.91812	4.73854	23.7814	24.2644	24.6037	19.8161	14.0658	34.2738	3.83445	4.30596	3.05954	1.90883	1.18586	3.88187	1.5304	0	17.0563	16.1555	23.9119	28.1206	30.1427	22.4175	8.84877	11.1562	0.753968	0	0	0.856206	42.9107	27.2489	20.4458	23.3305	24.7461	30.9701	18.1311	29.4667	1.82579	22.1099
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.526582	0	0	0	0	4.9364	0	2.84013	0	1.95881	0	0	0	0	0	0	0	0	0	0.872	0	0	0	0	0	0	0	0	0	0	0	0	2.91073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10732	1.21702	0	0	0	0	0	0	0	0	0	1.08926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.56106	0	0	0	0
CITRULBIO-PWY	L-citrulline biosynthesis	14.0809	2.23439	0	23.0342	7.78037	24.309	1.3743	183.231	196.532	192.466	289.95	211.438	244.044	29.6626	60.8215	152.335	1.50246	94.3571	0	0	2.57628	189.375	150.923	146.713	103.793	126.48	121.643	97.561	124.792	58.5555	59.7891	2.42991	2.32504	35.132	30.0511	55.5168	1.26723	137.788	229.398	131.59	131.888	140.653	123.406	150.84	102.799	176.348	206.227	231.783	170.237	108.664	138.813	2.10983	0	127.852	76.4157	1.49589	233.538	91.6182	0	139.443	131.957	117.273	146.679	0	184.17	161.057	173.689	168.449	174.497	0	196.674	179.935	189.216	178.381	148.991	262.768	259.039	39.568	36.6528	55.2056	3.06117	0.830359	98.8505	106.889	96.6478	97.593	81.4179	93.225	146.201	135.518	1.04677	61.8183	31.8256	140.81	124.358	37.4191	41.2606	55.3358	158.988	132.485	114.203	132.54	0	116.419	137.65	14.2417	1.34495	1.38777	4.36623	3.63853	33.5687	3.88229	1.603	43.7387	0
COA-PWY-1	coenzyme A biosynthesis III (mammals)	537.327	240.034	346.769	561.377	573.328	556.545	191.991	354.241	349.517	339.56	419.161	456.034	433.618	407.145	434.1	332.019	286.578	367.456	454.41	283.622	312.673	340.127	320.51	356.549	296.316	299.219	343.216	266.46	327.342	342.835	436.022	297.194	263.35	318.754	306.024	347.704	401.98	343.551	361.482	338.752	332.95	367.603	407.365	374.837	378.244	212.426	206.794	213.395	356.262	339.414	369.199	333.764	455.406	543.41	431.16	329.626	368.041	279.731	404.805	331.862	303.667	279.971	328.485	1624.13	204.129	176.335	518.844	514.751	440.88	1215.37	323.833	335.215	326.979	286.611	339.824	459.273	400.976	382.321	407.174	411.084	283.633	346.137	317.339	347.706	294.662	344.823	373.112	335.012	323.511	304.498	420.759	328.522	451.792	362.212	356.617	422.694	370.436	401.684	364.501	348.021	364.787	250.479	610.887	384.192	355.298	517.767	179.276	262.979	306.068	229.992	258.638	251.558	254.563	306.755	281.863
COA-PWY	coenzyme A biosynthesis I (prokaryotic)	518.147	221.72	330.496	528.337	548.043	524.864	206.039	331.48	363.923	342.603	436.429	468.781	445.77	424.284	450.741	312.953	287.804	363.162	443.426	291.277	315.645	342.641	320.924	351.257	297.293	323.322	358.063	272.362	332.951	395.424	484.251	282.746	246.327	368.056	365.235	409.288	391.387	327.031	347.725	322.18	312.033	349.025	403.536	360.035	373.487	298.556	291.281	296.584	366.489	356.274	390.024	323.735	433.792	553.247	424.365	325.222	362.019	267.916	389.445	307.147	278.723	259.653	305.786	1558.63	237.788	400.41	571.539	568.175	527.493	1229.45	298.445	312.845	317.755	275.349	332.233	453.457	398.218	392.735	423.157	450.842	266.553	327.656	299.24	375.672	309.954	359.453	377.638	369.059	359.34	308.38	415.139	346.955	457.788	351.381	348.561	423.128	367.691	401.601	348.716	327.299	342.166	240.391	626.118	389.627	336.867	507.769	178.35	331.623	322.593	215.156	241.032	267.766	241.616	320.828	282.149
