description	category
PWY-4922	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7449	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7450	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5125	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5153	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7267	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7253	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7464	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7256	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7452	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7260	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-2321	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5307	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-2762	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-2002	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-2083	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-4681	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7252	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5139	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-3042	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7074	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-84	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5116	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5268	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5284	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7280	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5295	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7520	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7458	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-4502	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-2861	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-2343	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-2904	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-2345	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-2701	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-2561	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7075	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7679	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7678	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5286	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5045	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7259	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5160	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7262	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7261	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5313	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5310	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5312	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7557	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5428	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5429	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7681	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7009	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7480	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7627	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6051	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7628	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5642	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7703	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7698	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5643	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6210	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7008	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7011	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5648	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5636	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5641	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7010	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7521	AROMATIC-COMPOUNDS-DEGRADATION
PWY-721	AROMATIC-COMPOUNDS-DEGRADATION
HCAMHPDEG-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7006	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7081	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5645	AROMATIC-COMPOUNDS-DEGRADATION
PWY-8002	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7046	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6080	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7002	AROMATIC-COMPOUNDS-DEGRADATION
4-HYDROXYMANDELATE-DEGRADATION-PWY	AROMATIC-COMPOUNDS-DEGRADATION
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PWY-8432	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6185	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7700	AROMATIC-COMPOUNDS-DEGRADATION
PWY-2381	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5487	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5488	AROMATIC-COMPOUNDS-DEGRADATION
P421-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5644	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6041	AROMATIC-COMPOUNDS-DEGRADATION
4TOLCARBDEG-PWY	AROMATIC-COMPOUNDS-DEGRADATION
TOLSULFDEG-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5165	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6340	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7044	AROMATIC-COMPOUNDS-DEGRADATION
P345-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6533	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6079	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6077	AROMATIC-COMPOUNDS-DEGRADATION
2AMINOBENZDEG-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6504	AROMATIC-COMPOUNDS-DEGRADATION
P141-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5727	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5731	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5450	AROMATIC-COMPOUNDS-DEGRADATION
PWY-8386	AROMATIC-COMPOUNDS-DEGRADATION
PWY-8376	AROMATIC-COMPOUNDS-DEGRADATION
PWY-8375	AROMATIC-COMPOUNDS-DEGRADATION
DESULFONATION-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PWY-2503	AROMATIC-COMPOUNDS-DEGRADATION
PWY-283	AROMATIC-COMPOUNDS-DEGRADATION
PWY-1361	AROMATIC-COMPOUNDS-DEGRADATION
CENTBENZCOA-PWY	AROMATIC-COMPOUNDS-DEGRADATION
P321-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PWY5F9-12	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7757	AROMATIC-COMPOUNDS-DEGRADATION
PWY-8111	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6550	AROMATIC-COMPOUNDS-DEGRADATION
PWY-8286	AROMATIC-COMPOUNDS-DEGRADATION
PWY-8287	AROMATIC-COMPOUNDS-DEGRADATION
PWY-8288	AROMATIC-COMPOUNDS-DEGRADATION
P183-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5419	AROMATIC-COMPOUNDS-DEGRADATION
CATECHOL-ORTHO-CLEAVAGE-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6781	AROMATIC-COMPOUNDS-DEGRADATION
PWY-8065	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6690	AROMATIC-COMPOUNDS-DEGRADATION
PWY-8025	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5169	AROMATIC-COMPOUNDS-DEGRADATION
PWY-8161	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5726	AROMATIC-COMPOUNDS-DEGRADATION
P661-PWY	AROMATIC-COMPOUNDS-DEGRADATION
P662-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PWY-681	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7747	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6532	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7951	AROMATIC-COMPOUNDS-DEGRADATION
PWY-481	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6343	AROMATIC-COMPOUNDS-DEGRADATION
FLUORENE-DEG-9-ONE-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PWY-1381	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7113	AROMATIC-COMPOUNDS-DEGRADATION
GALLATE-DEGRADATION-II-PWY	AROMATIC-COMPOUNDS-DEGRADATION
GALLATE-DEGRADATION-I-PWY	AROMATIC-COMPOUNDS-DEGRADATION
P3-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7773	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7772	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6223	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7469	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7430	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7825	AROMATIC-COMPOUNDS-DEGRADATION
M-CRESOL-DEGRADATION-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PWY-142	AROMATIC-COMPOUNDS-DEGRADATION
PWY-1501	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5170	AROMATIC-COMPOUNDS-DEGRADATION
PWY-8306	AROMATIC-COMPOUNDS-DEGRADATION
PWY-8305	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5489	AROMATIC-COMPOUNDS-DEGRADATION
METHYLGALLATE-DEGRADATION-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6184	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5171	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5427	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7620	AROMATIC-COMPOUNDS-DEGRADATION
PWY-722	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5033	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5055	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5637	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5640	AROMATIC-COMPOUNDS-DEGRADATION
P342-PWY	AROMATIC-COMPOUNDS-DEGRADATION
2ASDEG-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6752	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5163	AROMATIC-COMPOUNDS-DEGRADATION
PWY-741	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5490	AROMATIC-COMPOUNDS-DEGRADATION
PARATHION-DEGRADATION-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5418	AROMATIC-COMPOUNDS-DEGRADATION
PHENOLDEG-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PWY0-321	AROMATIC-COMPOUNDS-DEGRADATION
PWY-1341	AROMATIC-COMPOUNDS-DEGRADATION
PWY-8162	AROMATIC-COMPOUNDS-DEGRADATION
PWY5F9-3233	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7982	AROMATIC-COMPOUNDS-DEGRADATION
P184-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6336	AROMATIC-COMPOUNDS-DEGRADATION
P343-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6667	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6183	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6224	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6636	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6640	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6941	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7795	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7403	AROMATIC-COMPOUNDS-DEGRADATION
TOLUENE-DEG-3-OH-PWY	AROMATIC-COMPOUNDS-DEGRADATION
TOLUENE-DEG-DIOL-PWY	AROMATIC-COMPOUNDS-DEGRADATION
TOLUENE-DEG-2-OH-PWY	AROMATIC-COMPOUNDS-DEGRADATION
TOLUENE-DEG-4-OH-PWY	AROMATIC-COMPOUNDS-DEGRADATION
TOLUENE-DEG-CATECHOL-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PWY-81	AROMATIC-COMPOUNDS-DEGRADATION
PWY-8003	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5691	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7394	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7849	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7097	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7098	AROMATIC-COMPOUNDS-DEGRADATION
PWY-2421	AROMATIC-COMPOUNDS-DEGRADATION
PWY-8087	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5647	AROMATIC-COMPOUNDS-DEGRADATION
PWY0-1277	AROMATIC-COMPOUNDS-DEGRADATION
P281-PWY	AROMATIC-COMPOUNDS-DEGRADATION
BENZCOA-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5431	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5415	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5420	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5417	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6957	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5430	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6956	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5273	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5266	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5183	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6954	AROMATIC-COMPOUNDS-DEGRADATION
PWY-2504	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5724	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5062	AROMATIC-COMPOUNDS-DEGRADATION
P165-PWY	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6182	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6338	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6339	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5180	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5181	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5178	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5179	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5184	AROMATIC-COMPOUNDS-DEGRADATION
PWY-8264	Arsenic-Detoxification
PWY-8101	Arsenic-Detoxification
PWY-8263	Arsenic-Detoxification
PWY-6421	Arsenic-Detoxification
PWY1YI0-1	Arsenic-Detoxification
PWY-4202	Arsenic-Detoxification
PWY-8259	Arsenic-Detoxification
PWY-4621	Arsenic-Detoxification
PWY-4621-1	Arsenic-Detoxification
PWY-8266	Arsenic-Detoxification
P482-PWY	Arsenic-Detoxification
PWY-8267	Arsenic-Detoxification
PWY-8268	Arsenic-Detoxification
PWY-8269	Arsenic-Detoxification
PWY-8262	Arsenic-Detoxification
PWY-8265	Arsenic-Detoxification
PWY-8260	Arsenic-Detoxification
PWY-8261	Arsenic-Detoxification
PWY-4521	Arsenic-Detoxification // Energy-Metabolism
PWY-7429	Arsenic-Detoxification // Energy-Metabolism
PWY-7723	Bioluminescence
PWY-7914	Bioluminescence
PWY-7912	Bioluminescence
PWY-7913	Bioluminescence
PWY-7937	Bioluminescence
PWY-7915	Bioluminescence
PWY-7916	Bioluminescence
PWY-5743	C1-COMPOUNDS
PWY-5789	C1-COMPOUNDS
PWY-7750	C1-COMPOUNDS
PWYQT-4429	C1-COMPOUNDS
PWY-7854	C1-COMPOUNDS
PWY-1622	C1-COMPOUNDS
PWY-1861	C1-COMPOUNDS
P185-PWY	C1-COMPOUNDS
PWY-1801	C1-COMPOUNDS
PWY1G-170	C1-COMPOUNDS
FORMASS-PWY	C1-COMPOUNDS
PWY-7908	C1-COMPOUNDS
PWY-1723	C1-COMPOUNDS
PWY-7909	C1-COMPOUNDS
PWY-1722	C1-COMPOUNDS
P42-PWY	C1-COMPOUNDS
PWY-1641	C1-COMPOUNDS
PWY-6742	C1-COMPOUNDS
PWY-6966	C1-COMPOUNDS
PWY-6510	C1-COMPOUNDS
PWY-6509	C1-COMPOUNDS
PWY-5506	C1-COMPOUNDS
CODH-PWY	C1-COMPOUNDS
PWY-7784	C1-COMPOUNDS
PWY-8303	C1-COMPOUNDS
PWY-5493	C1-COMPOUNDS
P23-PWY	C1-COMPOUNDS
PWY-5392	C1-COMPOUNDS
PWY-1701	C1-COMPOUNDS
PWY-1882	C1-COMPOUNDS
PWY-7024	C1-COMPOUNDS
PWY-5744	C1-COMPOUNDS
PWY-8347	Carbohydrates-Biosynthesis
PWY0-1241	Carbohydrates-Biosynthesis
PWY-5833	Carbohydrates-Biosynthesis
PWY-8139	Carbohydrates-Biosynthesis
PWY-5831	Carbohydrates-Biosynthesis
PWY-5830	Carbohydrates-Biosynthesis
PWY-5832	Carbohydrates-Biosynthesis
PWY-5834	Carbohydrates-Biosynthesis
PWY-6140	Carbohydrates-Biosynthesis
PWY-1269	Carbohydrates-Biosynthesis
PWY-7674	Carbohydrates-Biosynthesis
PWY-7719	Carbohydrates-Biosynthesis
PWY-6749	Carbohydrates-Biosynthesis
PWY-7131	Carbohydrates-Biosynthesis
PWY-7529	Carbohydrates-Biosynthesis
PWY-6138	Carbohydrates-Biosynthesis
PWY-6139	Carbohydrates-Biosynthesis
PWY-6144	Carbohydrates-Biosynthesis
PWY-6143	Carbohydrates-Biosynthesis
PWY-8317	Carbohydrates-Biosynthesis
PWY-5054	Carbohydrates-Biosynthesis
PWY-7318	Carbohydrates-Biosynthesis
PWY-6953	Carbohydrates-Biosynthesis
PWY-7301	Carbohydrates-Biosynthesis
PWY-7413	Carbohydrates-Biosynthesis
PWY-6808	Carbohydrates-Biosynthesis
PWY-7414	Carbohydrates-Biosynthesis
PWY-6973	Carbohydrates-Biosynthesis
PWY-7688	Carbohydrates-Biosynthesis
PWY-7312	Carbohydrates-Biosynthesis
PWY-7440	Carbohydrates-Biosynthesis
PWY-7657	Carbohydrates-Biosynthesis
PWY-7439	Carbohydrates-Biosynthesis
PWY-7104	Carbohydrates-Biosynthesis
PWY-6976	Carbohydrates-Biosynthesis
PWY-6974	Carbohydrates-Biosynthesis
DTDPRHAMSYN-PWY	Carbohydrates-Biosynthesis
PWY-6942	Carbohydrates-Biosynthesis
PWY-7814	Carbohydrates-Biosynthesis
PWY-7315	Carbohydrates-Biosynthesis
PWY-7316	Carbohydrates-Biosynthesis
PWY-8380	Carbohydrates-Biosynthesis
PWY-8372	Carbohydrates-Biosynthesis
PWY-8373	Carbohydrates-Biosynthesis
PWY-7610	Carbohydrates-Biosynthesis
PWY-7613	Carbohydrates-Biosynthesis
PWY-5738	Carbohydrates-Biosynthesis
PWY-5661	Carbohydrates-Biosynthesis
PWY-6478	Carbohydrates-Biosynthesis
PWY-5739	Carbohydrates-Biosynthesis
GDPRHAMSYN-PWY	Carbohydrates-Biosynthesis
PWY-5740	Carbohydrates-Biosynthesis
PWY-66	Carbohydrates-Biosynthesis
PWY-6	Carbohydrates-Biosynthesis
PWY-5115	Carbohydrates-Biosynthesis
PWY-5659	Carbohydrates-Biosynthesis
PWY-7573	Carbohydrates-Biosynthesis
PWY-8225	Carbohydrates-Biosynthesis
PWY2B4Q-2	Carbohydrates-Biosynthesis
GLUCONEO-PWY	Carbohydrates-Biosynthesis
PWY66-399	Carbohydrates-Biosynthesis
PWY-3881	Carbohydrates-Biosynthesis
PWY-6116	Carbohydrates-Biosynthesis
PWY0-662	Carbohydrates-Biosynthesis
PWY-5530	Carbohydrates-Biosynthesis
PWY-7238	Carbohydrates-Biosynthesis
PWY-7347	Carbohydrates-Biosynthesis
PWY-7090	Carbohydrates-Biosynthesis
PWY-7467	Carbohydrates-Biosynthesis
PWY-8229	Carbohydrates-Biosynthesis
PWY-8273	Carbohydrates-Biosynthesis
PWY-7344	Carbohydrates-Biosynthesis
PWY-4861	Carbohydrates-Biosynthesis
PWY-4	Carbohydrates-Biosynthesis
PWY-7343	Carbohydrates-Biosynthesis
PWY-7346	Carbohydrates-Biosynthesis
PWY-63	Carbohydrates-Biosynthesis
PWY-82	Carbohydrates-Biosynthesis
PWY-3261	Carbohydrates-Biosynthesis
PWY-5113	Carbohydrates-Biosynthesis
PWY-7028	Carbohydrates-Biosynthesis
PWY-7333	Carbohydrates-Biosynthesis
PWY-7336	Carbohydrates-Biosynthesis
PWY-8462	Carbohydrates-Biosynthesis
PWY-7335	Carbohydrates-Biosynthesis
PWY-7334	Carbohydrates-Biosynthesis
PWY-7330	Carbohydrates-Biosynthesis
PWY-7331	Carbohydrates-Biosynthesis
PWY-5512	Carbohydrates-Biosynthesis
PWY-5514	Carbohydrates-Biosynthesis
PWY-8013	Carbohydrates-Biosynthesis
UDPNAGSYN-PWY	Carbohydrates-Biosynthesis
UDPNACETYLGALSYN-PWY	Carbohydrates-Biosynthesis
PWY-7842	Carbohydrates-Biosynthesis
CALVIN-PWY	Carbohydrates-Biosynthesis
PWY-4841	Carbohydrates-Biosynthesis
PWY-5114	Carbohydrates-Biosynthesis
OANTIGEN-PWY	Carbohydrates-Biosynthesis
COLANSYN-PWY	Carbohydrates-Biosynthesis
PWY-6142	Carbohydrates-Biosynthesis
SUCSYN-PWY	Carbohydrates-Biosynthesis
PWY-5823	Carbohydrates-Biosynthesis
PWY-6145	Carbohydrates-Biosynthesis
PWY-7438	Carbohydrates-Biosynthesis
PWY-7317	Carbohydrates-Biosynthesis
PWY-7323	Carbohydrates-Biosynthesis
PWY-7328	Carbohydrates-Biosynthesis
PWY0-1611	Carbohydrates-Biosynthesis
PWY-7332	Carbohydrates-Biosynthesis
PWY-7622	Carbohydrates-Biosynthesis
PWY-4821	Carbohydrates-Biosynthesis
TRESYN-PWY	Carbohydrates-Biosynthesis
PWY-881	Carbohydrates-Biosynthesis
TREHALOSESYN-PWY	Carbohydrates-Biosynthesis
PWY-2622	Carbohydrates-Biosynthesis
PWY-2661	Carbohydrates-Biosynthesis
PWY-5983	Carbohydrates-Biosynthesis
PWY-5985	Carbohydrates-Biosynthesis
PWY2B4Q-9	Carbohydrates-Biosynthesis
PWY2B4Q-3	Carbohydrates-Biosynthesis
PWY-1001	Carbohydrates-Biosynthesis
PWY-7530	Carbohydrates-Biosynthesis
PWY-8219	Carbohydrates-Biosynthesis
PWY-8221	Carbohydrates-Biosynthesis
PWY-8220	Carbohydrates-Biosynthesis
PWY-8231	Carbohydrates-Biosynthesis
PWY-8222	Carbohydrates-Biosynthesis
PWY-8253	Carbohydrates-Biosynthesis
PWY-8209	Carbohydrates-Biosynthesis
PWY-8226	Carbohydrates-Biosynthesis
PWY-8224	Carbohydrates-Biosynthesis
PWY-8233	Carbohydrates-Biosynthesis
PWY-8244	Carbohydrates-Biosynthesis
PWY-8234	Carbohydrates-Biosynthesis
PWY-8237	Carbohydrates-Biosynthesis
PWY-8251	Carbohydrates-Biosynthesis
PWY-8235	Carbohydrates-Biosynthesis
PWY-8272	Carbohydrates-Biosynthesis
PWY-8252	Carbohydrates-Biosynthesis
PWY-8242	Carbohydrates-Biosynthesis
PWY-8257	Carbohydrates-Biosynthesis
PWY-8217	Carbohydrates-Biosynthesis
PWY-8218	Carbohydrates-Biosynthesis
PWY-8211	Carbohydrates-Biosynthesis
PWY-8241	Carbohydrates-Biosynthesis
PWY-8205	Carbohydrates-Biosynthesis
PWY-8212	Carbohydrates-Biosynthesis
PWY-8207	Carbohydrates-Biosynthesis
PWY-7290	Carbohydrates-Biosynthesis
PWY-8250	Carbohydrates-Biosynthesis
PWY-7905	Carbohydrates-Biosynthesis
PWY2DNV-5	Carbohydrates-Biosynthesis
PWY-8421	Carbohydrates-Biosynthesis
PWY-1061	Carbohydrates-Biosynthesis
PWY-8422	Carbohydrates-Biosynthesis
PWY-8228	Carbohydrates-Biosynthesis
PWY-8230	Carbohydrates-Biosynthesis
PWY-8206	Carbohydrates-Biosynthesis
PWY-8198	Carbohydrates-Biosynthesis
PWY-8196	Carbohydrates-Biosynthesis
PWY-8236	Carbohydrates-Biosynthesis
PWY-8192	Carbohydrates-Biosynthesis
PWY-8204	Carbohydrates-Biosynthesis
PWY-8208	Carbohydrates-Biosynthesis
PWY-8193	Carbohydrates-Biosynthesis
PWY-8195	Carbohydrates-Biosynthesis
PWY-8197	Carbohydrates-Biosynthesis
PWY-8199	Carbohydrates-Biosynthesis
PWY-8423	Carbohydrates-Biosynthesis
PWY-8232	Carbohydrates-Biosynthesis
PWY-5980	Carbohydrates-Biosynthesis
PWY-6404	Carbohydrates-Biosynthesis
PWY-6773	Carbohydrates-Biosynthesis
PWY-6658	Carbohydrates-Biosynthesis
PWY-5342	Carbohydrates-Biosynthesis
PWY-5343	Carbohydrates-Biosynthesis
